"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"MAF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOB",41.27690567,63.95652417,84.36818082,219.53870708,474.91121139,12.70058636,30.39068879,61.461766135,5.125593781,0,156.48936765,320.735164827,63.276135615,336.792334725,160.027388136,194.59112673,140.16004233,233.60007055,327.94728351,2.041165665,1.587573295,0.45359237,102.05828325
"BG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BC",0,2.72155422,0,0,0,0,0.45359237,0,0,0,0,0,0,0,0.816466266,0,0.90718474,0,0,0,0,0.45359237,0
"BIV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OCT",204.57015887,45.359237,39.00894382,5.89670081,13.6077711,0.90718474,12.24699399,13.6077711,2.630835746,2.041165665,111.538363783,23.496084766,3.447302012,19.912705043,129.183106976,59.783474366,22.906414685,27.124823726,69.626428795,75.523129605,95.299756937,34.064786987,50.80234544
"CEP",57.15263862,0,6.80388555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SHP",178098.05456443,140883.52216015,319491.41454846,523916.42386006,421615.92228448,442418.57555742,299133.28179812,292057.921214675,243153.088736096,349213.644262791,332764.525197874,289629.705180354,385021.45064999,191117.96995291,151056.555756799,252290.480233561,169153.6666204,146860.463460403,136362.56700836,150653.130702921,197137.685013654,205934.927592856,132059.880505014
"PIS",2516.07687639,1133.07374026,1299.54214005,1675.11662241,1706.41449594,2190.39755473,1230.59609981,1054.874415672,7200.234562906,5378.652964223,1635.790163931,606.407639453,957.669570781,2100.495546996,2552.636421412,2636.142776729,795.918531639,4535.288670682,758.587879588,421.296593256,431.230266159,542.95006689,600.510938643
"SHR",48.98797596,68.0388555,32.20505827,725.747792,0,4.08233133,0,0,0,1.587573295,0,0,0,4.98951607,6.80388555,0,0,0,0,0,0,0,0
"UKU",0,0,94.34721296,4.5359237,16.78291769,0,0,0,4.98951607,5.307030729,5.170953018,23.405366292,13.063460256,0,8.708973504,45.177800052,1.36077711,1.496854821,2.404039561,3.084428116,6.48637089099999,0,0.90718474
