"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"MAF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BIV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OCT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SHP",115386.593221564,191946.421173486,191946.421173486,82641.042121583,191946.421173486,74030.0046901147,105285.702685843,115386.593221564,166085.039407585,105285.702685843,82641.042121583,165452.821443439,141869.874448434,74030.0046901147,149582.972221069,155385.096052732,61577.8629397214,115386.593221564,166085.039407585,191946.421173486,216625.957224296,165452.821443439,105285.702685843
"PIS",18577.737411082,5313.59223848698,5313.59223848698,6500.74584379147,9818.38675420994,9818.38675420994,6500.74584379147,8604.13758576542,7803.33272867984,10530.9726629115,10439.4524266036,18577.737411082,5313.59223848698,11324.9684953139,6500.74584379147,9818.38675420994,7803.33272867984,11329.406372302,9180.49324860573,8604.13758576542,13061.9465915604,10530.9726629115,9180.49324860573
"SHR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UKU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RBC",10264.7380361541,16686.4570755582,9554.78305577512,21798.7374785513,10264.7380361541,10264.7380361541,10264.7380361541,10264.7380361541,9554.78305577512,19580.4644420472,14426.8194901779,16686.4570755582,10264.7380361541,10310.2657466991,12669.5680620577,9654.24126811086,5508.45685323931,9554.78305577512,21798.7374785513,22634.5356315442,31907.8603296556,22634.5356315442,9554.78305577512
"RBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RBR",219538.360281108,49098.285017927,49098.285017927,34974.0925046735,44055.7740860546,40459.7527445744,49098.285017927,20333.8865246361,34974.0925046735,44055.7740860546,20333.8865246361,49098.285017927,12053.9956952589,219538.360281108,29458.405273462,27135.9605525924,9269.28651319639,21437.1614906316,19062.6125372251,40459.7527445744,34974.0925046735,49098.285017927,20333.8865246361
"RGR",42630.9223020067,44512.9023037563,42630.9223020067,32966.8460622107,44512.9023037563,44512.9023037563,51327.8788642472,24343.1368624495,24343.1368624495,32966.8460622107,49895.5859465205,44512.9023037563,17536.0483146169,24343.1368624495,66581.6980597911,53440.1115272152,29935.1695311078,46190.8675734645,42630.9223020067,51327.8788642472,30210.2895404556,17536.0483146169,24343.1368624495
"ROF",137.544539103896,1053.0467491019,419.141548423144,740.472992507306,280.647228374485,386.991761032692,386.991761032692,1053.0467491019,566.146183786485,1308.43615814003,1053.0467491019,566.146183786485,280.647228374485,386.991761032692,419.141548423144,277.804604445428,137.544539103896,740.472992507306,834.168641244587,295.36017765382,304.834122934069,277.804604445428,304.834122934069
"RPA",26.3603340290385,40.2939714766567,71.8128082686102,26.3603340290385,48.6027100971063,19.0980701554266,48.6027100971063,71.8128082686102,26.3603340290385,83.5089833524807,53.8972992653872,53.6343620708635,76.740082543637,58.7787760256697,26.3603340290385,23.0749680721146,19.0980701554266,17.0805279490097,71.8128082686102,40.2939714766567,48.6027100971063,26.3603340290385,53.8972992653872
"RLP",1190.54078750588,575.838751530344,1047.30047517743,471.911943203468,882.582080979332,832.27414004836,744.190340505591,1190.54078750588,736.189984481962,744.190340505591,1190.54078750588,471.911943203468,93.6959626818901,911.45055539019,832.27414004836,882.582080979332,3091.13024907842,575.838751530344,736.189984481962,1047.30047517743,950.331292380488,736.189984481962,832.27414004836
"RSP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MBC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MPL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SBC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BFB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BFW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RCO",0,0,0,0,0,1.00334225600044,0,0,0,6.32579461455988,0,1.00334225600044,0,0,0,0,0,0,0,0,0,0,0
"BD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
