"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"MAF",3040.88324848,3287.63749776,3798.38250638,2710.66800312,2292.90943035,4239.27429002,5771.96290825,2603.6202038,4589.538318134,2918.050434684,1887.080336911,2249.001688934,2157.557467142,4034.477334965,4847.723095138,5170.181910971,5749.328648987,10232.680993304,7603.886412969,2712.255576415,2028.01148627,1975.984441431,2263.516644774
"LOB",26254.37996797,20018.39206521,13644.51208197,87499.555746295,16121.58001454,3995.69518733,8063.51156149,5729.143788522,4985.62156146123,4056.47656491,54160.834065954,21333.583142025,3606.39180034884,8460.314166766,4234.919803268,3824.600145366,5038.62498198085,7484.636978896,10809.469050996,22508.432739562,14523.664813504,9390.80058539722,2797.939175108
"BG",0,13.6077711,7.25747792,0,0,0,8.61825503,37.64816671,26.76194983,0,0,0,0.136077711,0,25.40117272,0.680388555,0,0,0,0,0,1.587573295,0
"BFF",0,0,0,0,0,0,0,1026.434174073,4596.206125973,3628.693600763,3146.797066875,4485.302791508,3029.9970316,4410.822924354,9893.983570625,11696.423571294,7096.361910176,7841.750251797,11439.191338267,10168.270876764,6395.833853948,4084.962165746,4879.882794171
"BC",5405.00668092,2122.35869923,6360.27221214,10269.78484917,7267.91054451,4848.44884293,2250.27174757,2980.1018709,6935.563415011,9531.25716476988,7786.275904946,9573.203046561,15091.1233008585,14348.396721736,16556.665815844,15557.263907895,10149.5963121555,8836.97384199102,19227.9942399574,14868.6757354488,5233.79245628547,10627.5755915162,5245.68506395469
"BIV",0,0,0,0,0,0,0,218.223289207,575.064406686,34.01942775,17.009713875,100.516069192,22.044589182,11.33980925,213.1884139,224.165349254,175.449528716,504.228398237667,259.288518437667,52.9644690703333,39.8254100859999,64.5499741874167,22.290229768625
"OCT",3070.8203449,2144.58472536,3713.56073319,2852.18882256,3151.10619439,3020.9251842,3965.30449854,2877.13640291,2616.683664056,3102.435733089,3519.922150437,3027.638351276,2076.455151386,2684.586441845,3255.387080253,2486.956246236,2257.619943964,2479.109098235,3638.26439977,2111.608560061,1543.846990532,1537.859571248,1678.064972815
"CEP",652.26582806,448.14926156,655.44097465,251.74376535,224.98181552,1023.30438672,262.17638986,671.77029997,743.664690615,158.666611026,176.674228115,72.5747792,158.7573295,173.27228534,55.111472955,507.433784319,269.751382439,430.549877604,644.690835481,322.0505827,529.387655027,451.959437468,528.571188761
"DFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SHP",154749.38731868,197488.67478956,175669.52101545,160780.3514702,166071.05287388,162513.98150834,132448.97204,133501.623853059,139965.677999455,105865.782963017,70406.244797504,108830.825567233,113515.845079252,95158.780428404,128501.312284653,137207.654952907,112705.320873299,94100.231914535,89316.465343567,78963.62773145,81676.019385576,57799.00774725,45173.445565248
"PIS",13684.8818029,13588.72022046,17978.13358495,16995.65251153,11983.00323066,11207.81387033,10508.37443579,9743.935214629,7139.679981511,8741.722873114,5577.054266861,3704.216730368,4727.702554036,5592.158892782,6966.72521083,6648.711600223,9611.078009456,7707.169395618,6336.776127374,6861.49178099,5737.263091945,3442.902166011,6430.669747964
"SHR",109.76935354,79.37866475,501.67316122,284.85600836,419.572942249999,19.50447191,254.0117272,869.082980919999,226.796185,0,87.54332741,56.69904625,106.14061458,92.895717376,74.38914868,135.442681682,45.359237,348.132143975,241.537937025,37.19457434,357.43078756,195.0447191,55.565065325
"UKU",2301.07409301,3960.76857484,7779.1091455,5949.77111729,5158.25243164,4878.83953172,5058.46211024,3002.554693215,3202.861083807,3855.08155263,2875.140596482,5252.327489178,5891.348420034,5263.122987584,5288.161286408,7566.328964733,8676.133416412,9756.000771671,9233.961313038,7445.083724232,6834.366957264,6364.898854314,8731.471685552
"RBC",1456.48510007,1311.33554167,1218.34910582,1015.13972406,1077.73547112,798.77616357,853.66084034,1181.517405376,1324.897953533,2014.902666777,916.075150452,378.931065898,1198.39104154,1635.699445457,1934.752894998,1932.847807044,1944.731927138,1858.36793989,1549.91117160169,1219.165572086,715.224449016,1280.1057069955,761.037278386
"RBP",38.10175908,43.54486752,36.74098197,27.2155422,128.36664071,24.94758035,48.53438359,31.29787353,21.908511471,29.256707865,14.197441181,27.351619911,14.787111262,17.009713875,41.73049804,45.041722341,76.067440449,59.057726574,70.533613535,78.47148001,24.902221113,33.066883773,24.357910269
"RBR",555.19706088,107.95498406,113.3980925,131.08819493,1113.56926835,257.18687379,223.16744604,337.92631565,55.746502273,39.825410086,6.486370891,88.269075202,73.572682414,76.929265952,69.717147269,166.695195975,92.53284348,2939.369276074,3352.591925144,86.908298092,36.922418918,54.930036007,51.119860099
"RGR",3505.81542773,5402.2851267,5858.14545855,9158.0299503,8433.18934304,6187.90711154,6220.11216981,8292.12211597,5329.166036656,5716.125687503,2755.12005538,3342.204659871,4378.300351425,3859.299961671,2969.21565402,3203.541472362,2832.23075828,4325.83105402525,5343.544914785,3686.34519099,3005.04945125,2163.953119559,2437.423959432
"ROF",1505.9266684,2315.58904885,3391.51015049,3161.08522653,6852.87352596,11838.30726463,3847.82407471,1977.027703882,1595.874035371,2973.434063061,845.04258531,1379.555834118,979.169849119,796.916434853,890.583259258,919.1822581865,943.12059551325,1398.334558236,1063.447311465,1448.864748254,1380.961970465,1103.862391632,1004.843177261
"RPA",874.97968173,931.22513561,1233.31765403,1002.4391377,1740.88751606,967.51252521,837.78510739,1933.21068094,2705.134176206,2425.81199476,1915.021626903,2621.219587756,3578.526284641,4568.491632166,3011.626540615,1813.643732208,1810.876818751,3656.135939148,3001.466071527,2577.31184634,1740.751438349,467.472296522,578.78386412
"RLP",1548.11075881,1880.59396602,2190.8511471,5805.07515126,4057.38374965,3116.63317427,3779.78521921,2010.548180025,473.368997332,640.154911781,113.942403344,247.117123176,584.725924167,570.16560909,987.878822623,1865.398621625,698.940482933,1909.215644567,3983.266756392,619.335021998,1457.210847862,1194.535506395,1461.565334614
"RSP",24.49398798,41.73049804,71.66759446,29.02991168,120.20197805,81.19303423,102.05828325,177.944286751,39.598613901,33.157602247,15.331422106,11.203731539,77.518936033,11.385168487,11.294450013,24.992939587,9.888313666,33.293679958,25.718687379,19.413753436,12.745945597,2.086524902,1.043262451
"MBC",15729.22261449,19592.92242215,33611.64820937,30436.048027,26359.15980544,21898.53243886,16267.18316531,20734.070106596,6586.025134689,8121.616744087,4822.639437077,4616.345627201,6831.826839992,7571.318480803,8139.93634422073,9686.99167102834,7638.132636904,9082.27781186429,6956.247227083,5936.16334619,4749.474987796,6512.06855824478,5574.559508826
"MBP",205.47734361,349.71971727,329.30806062,175.54024719,137.43848811,76.20351816,116.11964672,119.067997125,34.699816305,11.113013065,1.451495584,28.757756258,48.171509694,15.921092187,224.755019335,400.476703473,259.863068773,385.5535145,838.057262812,934.264204489,134.444778468,221.035561901,602.189230412
"MPL",13231.2894329,13007.66839449,15781.38573704,13681.25306394,13121.384001649,12551.80806264,11058.12838823,12026.729535128,8953.187636008,5460.617105482,4363.5585994,3769.534031648,6516.171909709,13606.319604416,11572.819650469,19313.827036889,17271.618109438,11118.819047336,10292.0108753,8763.994258481,9691.772092079,12006.680752374,8702.804647768
"SBC",1088.16809563,1280.94485288,1548.56435118,1058.68459158,1167.09316801,690.36758714,882.23715965,824.585569423,544.628358659,2147.260920343,512.423300389,375.710560071,1117.606240443,788.842490667,606.45299869,841.731361009,719.034624924,661.881986304,1265.613430774,1314.646765971,2048.513861394,1327.89405050326,452.639826023
"SPL",152.40703632,9.52543977,55.79186151,15.42214058,20.547734361,22.22602613,64.41011654,33.11224301,19.277675725,25.083658061,16.78291769,77.836450692,65.181223569,104.825196707,32.159699033,44.043819127,62.459669349,63.003980193,91.943173399,23.722880951,41.685138803,39.00894382,51.573452469
