"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"MAF",0,0,0,0,0,0,0,0,0,1837.50269087,0,0,0,0,67.13167076,0,0,0,0,0,0,0,0
"LOB",2091.0608257,2948.80399737,2883.94028846,3552.53544184,3404.21073685,3997.05596444,2853.0960073,3720.682133399,3179.954669122,3514.342964286,5380.694129888,3555.982743852,3883.294998044,4847.587017427,6406.810789302,5546.845015019,4792.974496079,4456.907909146,4590.80837677,4723.075911862,2665.30876612,2251.950039339,2369.611900117
"BG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.50447191,0,0,0.45359237,0,0,0
"BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,17.23651006,0,93.89362059,9.570799007,0,0,0,0,0,0
"BC",0,0,0,0,0,0,0,0,0,179.469149697028,173.706891486389,123.951993077583,64.5394968497221,92.3939787286666,98.0741421977916,175.8917980062,49.178171529986,94.2040865066998,76.7022460849166,108.121689792567,129.505982603533,111.536825394511,113.824392558514
"BIV",0,0,15.87573295,0,0,0,0,0,13.6077711,2.35808159566667,4.27589438199999,3.548350405,4.86477816824999,3.06217891079166,2.080087954,4.99312769137499,6.25966848920832,44.5482723235833,48.4197880408333,31.1467809126333,22.2441587687083,2.359971563875,26.588503168125
"OCT",5146.00543765,6314.45938277,6535.35886696,6253.67800519,7365.43290406,7504.23216928,7590.41471958,6708.222919167,7691.792614275,6974.073407224,4908.731268903,5503.209429025,5168.866493098,10405.998637881,9898.837008984,12730.342019472,11242.196171976,13515.328974994,14115.885272874,13342.918515157,13528.437794487,8628.823732221,6356.915628602
"CEP",0,0,0,0,0,5.44310844,1.36077711,0,24.04039561,0,0,10.88621688,1.496854821,19.95806428,3.719457434,0.90718474,2.177243376,2.041165665,1.36077711,0.45359237,0.90718474,0.226796185,0
"DFF",2729.26529029,2206.72688005,689.4604024,695.81069558,2669.84468982,4068.7235589,7175.8312934,3792.0322132,1647.90108021,3429.1583172,1995.806428,1474.1752025,1712.31119675,2168.1715286,0,92.07925111,0,514.82733995,2133.199556873,678.302030098,12.24699399,12.791304834,0
"SHP",267.16590593,153.31422106,78.92507238,117.02683146,21.31884139,43.09127515,30.39068879,51.936326365,79.469383224,96.887330232,99.654243689,119.793744917,91.444221792,108.050394868862,93.802902116,244.123413534,77.337499085,2605.797447176,2981.961599617,67.267748471,52.888870342,46.493217925,154.629638933
"PIS",987.92418186,700.80021165,778.81809929,965.24456336,879.9691978,715.76875986,595.11318944,724.885966497,306.129490513,379.339299031,1208.279355206,574.157221946,1058.140280736,750.24177998,1546.886059411,2311.143843624,2218.928514803,2946.808190942,1185.463658995,1314.918921393,1413.620621105,809.843817398,413.177289833
"SHR",0,47.62719885,0,0,0,0,1.81436948,0,0,0,0,0,2.72155422,0,0,0,0,0,0,0,0,0,0
"UKU",251.29017298,157.85014476,156.03577528,131.99537967,236.77521714,142.88159655,75.29633342,115.393898928,129.183106976,55.882579984,112.808422419,68.084214737,145.966024666,146.283539325,320.190853983,492.102362213,271.792548104,654.170916014,208.425694015,420.525486227,439.576365767,358.156535352,167.8291769
"RBC",1314.05709589,752.50974183,693.54273373,858.65035641,902.6488163,703.52176587,419.11934988,707.15050483,721.801538381,971.3453807365,841.232409402,1042.627421682,1310.337638456,1239.804024921,2033.091720814,3377.90237939,2996.975507064,4358.433005619,2801.477195594,1840.405682038,1218.213028109,922.60688058,829.076133886
"RBP",100.24391377,179.62257852,191.41598014,157.85014476,395.98613901,268.07309067,251.29017298,264.671147895,472.733968014,272.382218185,190.5087954,406.282685809,586.857808306,1203.561994558,1397.790247392,2391.293615403,2348.928088045,2079.630297976,1344.493143917,673.085717843,461.212721816,816.148751341,592.618431405
"RBR",1117.19800731,1002.4391377,747.97381813,564.72250065,796.05460935,627.77184008,664.05922968,740.708402343525,643.496375573333,576.595658928392,1028.248543553,1140.830169787,1306.981054918,1498.487753532,2634.192329538,2893.647165178,4993.825197515,5287.753053275,3419.678236667,3422.309072413,3119.762961623,2957.921204007,2455.567654232
"RGR",8941.66638981,5158.25243164,4373.08403917,4035.61131589,4774.05969425,7618.53744652,3302.1524536,5144.761298578,9941.494131437,10555.3034754748,9686.238265165,8195.370863449,10019.051946816,10192.648226706,12561.819494235,21427.658199563,23390.624539975,24595.184437747,17624.195458639,13453.005383356,9562.498266629,9553.517137703,10955.525794136
"ROF",278.05212281,380.56399843,324.31854455,334.75116906,799.68334831,1927.31398013,1141.23840292,59.87419284,36.559545022,79.313461944355,59.738115129,71.440798275,106.503488476,124.919338698,281.907657955,362.828536763,454.454195503,1031.786564039,796.2179026032,583.77338019,102.330438672,351.942319883,173.952673895
"RPA",14271.83032968,11176.96958917,10904.3605748,10551.91930331,10604.9896106,8386.01573656,4347.22927408,7996.561327678,6946.24448443275,7611.234609363,7865.019540378,7093.413559771,8765.445754065,11428.486558335,16758.650498205,27663.600743086,27114.436460727,31740.035372276,27291.654999686,22089.222671208,10095.514660616,9182.07034591,8946.293031984
"RLP",2238.93193832,1445.59888319,990.64573608,1301.8101019,975.2235955,1787.60753017,967.05893284,2120.952562883,2738.201059979,4402.11395085,4105.91813324,3308.412028306,2485.414032178,3794.774385255,3567.776145472,8456.640068569,7356.860008267,11718.649597424,8172.645885712,5803.578296439,2984.909950022,2562.524735078,2329.468975372
"RSP",170.55073112,82.10021897,87.54332741,115.21246198,30.39068879,34.01942775,69.39963261,87.99691978,47.672558087,306.714343683876,652.810138904,665.918958397,339.241733523,443.023667779,348.313580923,393.173866316,458.899400729,840.143787714,358.292613063,132.494331277,218.041852259,157.714067049,224.98181552
