"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"MAF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BIV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OCT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SHP",11410.022651395,18980.6540976407,18980.6540976407,8171.97333083174,18980.6540976407,7320.46944808515,10411.1943941942,11410.022651395,16423.3470179638,10411.1943941942,8171.97333083174,16360.83003839,14028.826363726,7320.46944808515,14791.5373324881,15365.2813221244,6089.13731959817,11410.022651395,16423.3470179638,18980.6540976407,21421.0941652745,16360.83003839,10411.1943941942
"PIS",32717.116976354,9357.72828436699,9357.72828436699,11448.4157838296,17291.0888365206,17291.0888365206,11448.4157838296,15152.6835397194,13742.391984577,18546.0186492751,18384.843032959,32717.116976354,9357.72828436699,19944.3188810327,11448.4157838296,17291.0888365206,13742.391984577,19952.134393618,16167.6992665474,15152.6835397194,23003.2982552572,18546.0186492751,16167.6992665474
"SHR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UKU",22787.9865347641,10676.4132266542,11320.9006455569,10676.4132266542,16777.6754897472,11410.4908099554,11410.4908099554,10676.4132266542,20159.9359668647,11320.9006455569,16777.6754897472,6173.05313936035,10676.4132266542,3548.26333012484,7007.83531795233,8762.72957781511,11705.254030313,22787.9865347641,3508.93258160313,11410.4908099554,20159.9359668647,6173.05313936035,11410.4908099554
"RBC",17551.7908447212,28532.3603484135,16337.8308507213,37273.9060222398,17551.7908447212,17551.7908447212,17551.7908447212,17551.7908447212,16337.8308507213,33480.8560451171,24668.5806646288,28532.3603484135,17551.7908447212,17629.6391882746,21663.8367131201,16507.8955649457,9418.97223530626,16337.8308507213,37273.9060222398,38703.0466703563,54559.6087144298,38703.0466703563,16337.8308507213
"RBP",1264.15684922654,2985.80307041405,454.289513782787,454.289513782787,1264.15684922654,2233.16691488781,5645.22020182268,3495.70754136048,1322.19255939725,2233.16691488781,5840.72452481536,2338.81314435614,2171.10049006123,7714.20425779697,454.289513782787,786.369296714111,1322.19255939725,3495.70754136048,2985.80307041405,5645.22020182268,1264.15684922654,786.369296714111,5840.72452481536
"RBR",72563.5729772527,16228.3574651573,16228.3574651573,11559.9165017288,14561.6664617035,13373.0807552869,16228.3574651573,6720.91864425108,11559.9165017288,14561.6664617035,6720.91864425108,16228.3574651573,3984.18297003049,72563.5729772527,9736.82748708356,8969.19450133715,3063.75864102357,7085.58190130776,6300.72700830436,13373.0807552869,11559.9165017288,16228.3574651573,6720.91864425108
"RGR",46232.5756137579,48273.5538060212,46232.5756137579,35752.0344627057,48273.5538060212,48273.5538060212,55664.2904386193,26399.7552691061,26399.7552691061,35752.0344627057,54110.9909310284,48273.5538060212,19017.5730641857,26399.7552691061,72206.8213358074,57954.9740793043,32464.2281734649,50093.2811780794,46232.5756137579,55664.2904386193,32762.5915667062,19017.5730641857,26399.7552691061
"ROF",472.123393879046,3614.5964669942,1438.70873861286,2541.68304009694,963.325209464145,1328.35418121524,1328.35418121524,3614.5964669942,1943.30403418666,4491.22388776564,3614.5964669942,1943.30403418666,963.325209464145,1328.35418121524,1438.70873861286,953.567866383481,472.123393879046,2541.68304009694,2863.29455562305,1013.82759649445,1046.34703513066,953.567866383481,1046.34703513066
"RPA",18239.7549068725,27880.9882738629,49690.1147212608,18239.7549068725,33630.1322663221,13214.7080702962,33630.1322663221,49690.1147212608,18239.7549068725,57783.1596213238,37293.6673586939,37111.7307421575,53099.4901501314,40671.3536806148,18239.7549068725,15966.4806089193,13214.7080702962,11818.6910350501,49690.1147212608,27880.9882738629,33630.1322663221,18239.7549068725,37293.6673586939
"RLP",13578.5455999486,6567.64793607175,11944.8383526921,5382.32533248424,10066.1658618027,9492.38571320164,8487.75831928103,13578.5455999486,8396.51138324765,8487.75831928103,13578.5455999486,5382.32533248424,1068.63613171325,10395.4211887117,9492.38571320164,10066.1658618027,35255.4515418351,6567.64793607175,8396.51138324765,11944.8383526921,10838.8699690667,8396.51138324765,9492.38571320164
"RSP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MBC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MPL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SBC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BFB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BFW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
