Community,Diacritical
Hilo,Hilo
Honokaa-Kukuihaele,Honokaʻa-Kukuihaele
Kau,Kaʻū
Keaau-Mountain View,Keaʻau-Mountain View
North Hilo,North Hilo
North Kohala,North Kohala
North Kona,North Kona
Paauhau-Paauilo,Pāʻauhau-Paʻauilo
Pahoa-Kalapana,Pāhoa-Kalapana
Papaikou-Wailea,Pāpaʻikou-Wailea
South Kohala,South Kohala
South Kona,South Kona
Ewa,ʻEwa
Honolulu,Honolulu
Koolauloa,Koʻolauloa
Koolaupoko,Koʻolaupoko
Wahiawa,Wahiawā
Waialua,Waialua
Waianae,Waiʻanae
Kalawao,Kalawao
Eleele-Kalaheo,ʻEleʻele-Kalāheo
Hanalei,Hanalei
Kapaa,Kapaʻa
Kaumakani-Hanapepe,Kaumakani-Hanapēpē
Kekaha-Waimea,Kekaha-Waimea
Koloa-Poipu,Kōloa-Poʻipū
Lihue,Līhuʻe
Niihau,Niʻihau
Puhi-Hanamaulu,Puhi-Hanamāʻulu
Wailua-Anahola,Wailua-Anahola
East Molokai,East Molokaʻi
Haiku-Pauwela,Haʻikū-Paʻuwela
Hana,Hāna
Kahului,Kahului
Kihei,Kīhei
Kula,Kula
Lahaina,Lahaina
Lanai,Lānaʻi
Makawao-Paia,Makawao-Pāʻia
Puunene,Puʻunēnē
Spreckelsville,Spreckelsville
Waihee-Waikapu,Waiheʻe-Waikapū
Wailuku,Wailuku
West Molokai,West Molokaʻi
