"Year","SST","SmallCalanoida","LargeCalanoida","Euphausiacea","Cnidaria","SI","PlanktivoreL","OtherL","PiscivoreL","BenthivoreL","ApexL","BenthosL","Rtrips","rwhales","QT"
1990,12.1875,14.5878720019966,2.68844976679092,0.0808218575608581,0.142369495616115,34.9240509109136,87167.4270521447,42478.8577172564,217397.432774981,143194.160055943,3244.51122176084,147793.758626727,46.336929,264,6.41276147448813
1991,12.33719,11.3472692371228,3.65463813130944,0.0411973113305546,0.30751211112258,31.1978980608178,110223.894051492,46484.9426220429,228153.04863034,142141.700590321,4292.17214697979,148863.622625686,47.970472,271,6.80159380666861
1992,11.34781,10.4178357218492,8.38751086322091,0.200870879340552,0.364591788626221,28.9996706923543,119208.186331252,47172.7549172229,219720.790073623,110542.915364214,3847.83240925255,160520.26219473,47.286397,280,6.61012741290296
1993,11.66042,7.57938496314013,8.74118428637344,0.276876105928339,0.319732981705555,20.4429782316967,96129.3584756309,53956.5305186955,214669.815522895,134307.580400815,3188.06869922516,166411.383521144,50.52062,278,6.68662737138405
1994,11.88385,8.28627438963277,11.2020642613305,0.192749390343528,0.336242131204224,24.9735594910143,85452.2388070747,49307.458603645,169835.202832248,116976.229548016,2809.61467542558,160519.070408752,51.87445,287,5.8489981487516
1995,12.06583,7.69562006054328,7.56712547275323,0.132577121495434,0.372050493874238,26.4202318948106,125774.167580844,54934.0067364178,149068.788539817,113910.693125726,3533.65177134877,131947.69063474,52.910547,292,5.79168998388895
1996,10.96677,70.6648054367541,7.05445985627607,0.177522787416897,1.27979243753332,25.9927138699174,140825.755438923,66566.6381694384,151296.535238138,110327.461702065,2600.89817855659,115377.855669592,53.629592,303,5.86995144396714
1997,11.52271,9.66714295439739,5.27097542405544,0.159189385040728,0.299207749025765,24.8545420134049,147421.155849264,63178.3694382937,156973.140758205,125992.486468229,2929.77854186077,109553.777156112,57.277216,314,6.06048708211965
1998,12.15198,13.2806519289295,5.7777535354973,0.1249217289298,1.57676115452285,26.4817606079606,128455.006644744,62486.880912813,163350.926606482,118665.640903022,2230.94249034182,107276.660280477,56.76187,312,5.8246605783788
1999,12.84594,8.84296568172184,7.85857710539511,0.0946906110493754,0.500444091890377,27.5756734988884,128320.708158967,47541.4073208716,132549.900558538,131756.000567983,2749.56726731455,113509.234904155,61.115483,311,5.5642681877783
2000,12.56635,13.8585867333889,8.9326035370583,0.300404688820736,2.16367780162349,29.2360582523539,119908.589455112,52817.3149123067,123851.078763545,133558.035202866,2866.5133204303,147265.467277382,64.740768,309,5.80266998931643
2001,12.32448,10.8939296876768,11.3658167064687,0.200798486450776,0.13390579801628,28.7872657103077,141984.509572751,61277.3245645036,124463.583841705,143797.747587519,2600.80361735836,158042.197169521,68.261444,332,6.32166166353359
2002,12.72396,8.71036107104178,6.70383468455611,0.135482111051004,0.144036687436058,41.3657418721398,119745.656847615,51976.0164836461,112211.718718406,129186.447219842,2652.47601587756,170946.042104948,66.900552,345,5.86718357390334
2003,11.47135,8.78586089627865,13.6844799658177,0.114112322649196,0.118472016858441,30.5802831669782,140326.314112754,50864.8764318081,103404.209782722,94210.6633751937,1502.58565248525,118199.936290398,70.015727,359,5.08508585645361
2004,11.76854,6.98100824391011,13.6515192363063,0.0996661820593754,0.280435200650141,32.207596135936,153779.23496997,80385.9594157747,124429.782406118,146385.098127306,1923.60760516132,154507.553444778,70.741391,368,6.61411235969108
2005,12.17875,2.81423192739545,5.39423079143186,0.0802755656139247,0.131373847830345,34.5746795194363,130918.778862863,41152.2759375806,107332.193958388,139650.296698351,1481.65032611317,118255.075197528,72.605078,391,5.38790270980825
2006,12.7249,9.97545490818248,4.6615360843523,0.241947379738398,0.276445263034786,34.8021190907835,149861.384468968,62717.6633511274,95017.5347065683,96270.8228607529,1435.33042262847,126636.0114559,72.072087,402,5.31938747265945
2007,12.27521,4.95683785530096,6.18234283695013,0.0560314320829462,0.42792816392957,36.514632835359,102138.910070901,57184.7155017822,91563.3627618555,120096.376887408,1720.38116431948,136302.154814377,72.472211,412,5.09005901200643
2008,12.355,8.87440161408351,9.09106819806782,0.23811436824727,0.0956581859313553,31.7552255851734,101834.288901889,95166.6577570389,98291.19761346,122654.877267286,1373.25622498909,86352.324087948,73.916746,429,5.05672601852611
2009,12.33271,5.90284418616259,8.20368114024686,0.0905485923767942,0.190769855203078,32.0827037749404,119534.624901082,57278.388718982,95860.3773640867,117966.81577457,1261.82598472906,82121.8790097032,75.395698,459,4.74023911753153
2010,12.97542,18.7747523711229,14.718146389821,1.32054121973897,0.470820386629874,30.2241494624226,75939.4588866391,61023.9958195833,87701.0499624442,114395.64306027,1430.73817703358,122993.472077403,79.409322,476,4.63484357983373
