"Year","NMFS.Name","Pounds","Dollars"
2000,"TUNAS **",6702,10273
2000,"SWORDFISH",6521184,12794362
2000,"SNAPPER, RED",420815,1959380
2000,"TUNA, BIGEYE",6170906,21445144
2000,"CRUSTACEANS **",57848,211467
2000,"SPEARFISHES **",271001,328000
2000,"TUNA, ALBACORE",2288550,3350405
2000,"TUNA, SKIPJACK",1653920,2061350
2000,"TUNA, YELLOWFIN",4808084,12611257
2000,"VERTEBRATES, JAWED",6685995,11813223
2000,"SHRIMPS, PENAEOID **",886,5938
2000,"LOBSTER, BANDED SPINY",10394,121196
2000,"TUNA, BLUEFIN PACIFIC",8000,86000
2000,"SNAPPERS, LUTJANIDAE (FAMILY) **",326845,786091
2000,"SHARKS, CHONDRICHTHYES (CLASS) **",3300200,863318
1981,"SWORDFISH",30000,40000
1981,"MULLETS **",9000,18000
1981,"SNAPPER, RED",80000,120000
1981,"TUNA, BIGEYE",60000,96000
1981,"CRUSTACEANS **",52000,124000
1981,"TUNA, ALBACORE",159000,126000
1981,"TUNA, SKIPJACK",4837000,3628000
1981,"TUNA, YELLOWFIN",3100000,4340000
1981,"TUNA, LITTLE TUNNY",50000,30000
1981,"VERTEBRATES, JAWED",3650000,4025000
1981,"SHRIMPS, PENAEID **",95000,238000
1981,"TUNA, BLUEFIN PACIFIC",20000,32000
1981,"SQUIDS, LOLIGINIDAE **",17000,14000
1981,"LOBSTER, CARIBBEAN SPINY",781000,4686000
1981,"CRABS, DECAPODA (ORDER) **",16000,32000
1981,"SNAPPERS, LUTJANIDAE (FAMILY) **",425000,786000
1981,"SHARKS, CHONDRICHTHYES (CLASS) **",15000,3000
1982,"CORALS **",5000,35000
1982,"SWORDFISH",25000,35000
1982,"MULLETS **",9000,18000
1982,"SNAPPER, RED",80000,180000
1982,"TUNA, BIGEYE",45000,60000
1982,"BILLFISHES **",6e+05,3e+05
1982,"CRUSTACEANS **",45000,75000
1982,"TUNA, ALBACORE",3810000,2704000
1982,"TUNA, SKIPJACK",3876000,2906000
1982,"TUNA, YELLOWFIN",2e+06,2800000
1982,"TUNA, LITTLE TUNNY",50000,30000
1982,"VERTEBRATES, JAWED",3e+06,3700000
1982,"SHRIMPS, PENAEID **",90000,225000
1982,"TUNA, BLUEFIN PACIFIC",15000,25000
1982,"SQUIDS, LOLIGINIDAE **",20000,16000
1982,"LOBSTER, CARIBBEAN SPINY",120000,432000
1982,"CRABS, DECAPODA (ORDER) **",15000,30000
1982,"SNAPPERS, LUTJANIDAE (FAMILY) **",425000,850000
1982,"SHARKS, CHONDRICHTHYES (CLASS) **",15000,5000
1983,"SWORDFISH",33000,44000
1983,"MULLETS **",11000,24000
1983,"SNAPPER, RED",16000,38000
1983,"TUNA, BIGEYE",10000,21000
1983,"BILLFISHES **",447000,265000
1983,"CRUSTACEANS **",70000,112000
1983,"TUNA, ALBACORE",2213000,1402000
1983,"TUNA, SKIPJACK",13917000,6088000
1983,"SEA BASS, GIANT",50000,64000
1983,"TUNA, YELLOWFIN",11485000,7384000
1983,"TUNA, LITTLE TUNNY",40000,31000
1983,"VERTEBRATES, JAWED",224000,1624000
1983,"SHRIMPS, PENAEID **",6000,16000
1983,"TUNA, BLUEFIN PACIFIC",16000,25000
1983,"SQUIDS, LOLIGINIDAE **",9000,10000
1983,"LOBSTER, CARIBBEAN SPINY",209000,627000
1983,"CRABS, DECAPODA (ORDER) **",14000,33000
1983,"SNAPPERS, LUTJANIDAE (FAMILY) **",58000,88000
1983,"SHARKS, CHONDRICHTHYES (CLASS) **",1000,NA
1984,"TUNA, BIGEYE",121000,52000
1984,"BILLFISHES **",5e+05,4e+05
1984,"CRUSTACEANS **",3e+05,817000
1984,"TUNA, ALBACORE",1049000,628000
1984,"TUNA, SKIPJACK",18789000,8727000
1984,"TUNA, YELLOWFIN",8625000,7322000
1984,"VERTEBRATES, JAWED",4400000,8400000
1984,"SHRIMPS, PENAEID **",4e+05,1360000
1984,"LOBSTER, CARIBBEAN SPINY",640000,1696000
1985,"SNAPPER, RED",3e+05,1035000
1985,"TUNA, BIGEYE",122000,288000
1985,"BILLFISHES **",450000,459000
1985,"CRUSTACEANS **",799000,2308000
1985,"TUNA, ALBACORE",1536000,1051000
1985,"TUNA, SKIPJACK",6250000,3423000
1985,"SEA BASS, GIANT",192000,326000
1985,"TUNA, YELLOWFIN",3251000,3845000
1985,"TUNA, LITTLE TUNNY",27000,23000
1985,"VERTEBRATES, JAWED",2109000,3625000
