Year,State,NMFS Name,Spatial,Pounds,Dollars,Collection,Confidentiality
2019,HAWAII,AMBERJACKS **,Reef,"6,394","12,256",Commercial,Public
2019,HAWAII,"BARRACUDAS, SPHYRAENIDAE (FAMILY) **",Reef,"11,450","20,212",Commercial,Public
2019,HAWAII,BLACK MARLIN,Pelagic,"26,750","22,396",Commercial,Public
2019,HAWAII,"CRABS, DECAPODA (ORDER) **",Reef,"4,940","36,672",Commercial,Public
2019,HAWAII,CRUSTACEANS **,Reef,"26,098","177,606",Commercial,Confidential
2019,HAWAII,DOLPHINFISH ,Pelagic,"1,885,276","6,908,304",Commercial,Public
2019,HAWAII,EELS **,Reef,56,134,Commercial,Public
2019,HAWAII,EMPERORS **,Reef,"13,322","63,044",Commercial,Public
2019,HAWAII,ESCOLAR ,Pelagic,"13,740","27,646",Commercial,Public
2019,HAWAII,GOATFISHES **,Reef,"50,398","227,092",Commercial,Public
2019,HAWAII,"GROUPERS, SERRANIDAE (FAMILY) **",Reef,"22,608","124,088",Commercial,Public
2019,HAWAII,JACKS **,Reef,"33,264","126,192",Commercial,Public
2019,HAWAII,"JOBFISH, GREEN /UKU ",Reef,"165,546","836,094",Commercial,Public
2019,HAWAII,"LEATHERSKIN, LARGEMOUTHED ",Reef,516,"1,064",Commercial,Public
2019,HAWAII,LIMPETS **,Reef,"21,272","155,526",Commercial,Public
2019,HAWAII,"LOBSTER, BANDED SPINY ",Reef,"6,700","60,060",Commercial,Public
2019,HAWAII,"LOBSTERS, SLIPPER **",Reef,268,"4,154",Commercial,Public
2019,HAWAII,"MARLIN, BLUE ",Pelagic,"3,776,170","2,665,724",Commercial,Public
2019,HAWAII,MILKFISH ,Reef,"2,952","5,010",Commercial,Public
2019,HAWAII,"MULLET, STRIPED ",Reef,"4,338","23,058",Commercial,Public
2019,HAWAII,MULLETS **,Reef,"1,136","4,718",Commercial,Public
2019,HAWAII,OCTOPUSES **,Reef,"22,962","126,548",Commercial,Public
2019,HAWAII,OILFISH ,Pelagic,"534,292","504,428",Commercial,Public
2019,HAWAII,OPAH ,Pelagic,"3,227,630","6,241,258",Commercial,Public
2019,HAWAII,PARROTFISHES **,Reef,"92,058","458,776",Commercial,Public
2019,HAWAII,POMFRETS **,Reef,"1,562,324","5,467,166",Commercial,Public
2019,HAWAII,RUDDERFISH **,Reef,"22,290","45,840",Commercial,Public
2019,HAWAII,"RUNNER, RAINBOW ",Reef,"8,118","18,922",Commercial,Public
2019,HAWAII,SAILFISH ,Pelagic,"93,228","44,840",Commercial,Public
2019,HAWAII,"SCAD, BIGEYE ",Reef,"456,108","1,543,106",Commercial,Public
2019,HAWAII,"SCAD, MACKEREL ",Reef,"169,632","474,980",Commercial,Public
2019,HAWAII,SCORPIONFISHES **,Reef,"3,184","19,118",Commercial,Public
2019,HAWAII,SEAWEED,Reef,"8,416","113,144",Commercial,Public
2019,HAWAII,"SHARKS, CHONDRICHTHYES (CLASS) **",Reef,"145,088","165,160",Commercial,Confidential
2019,HAWAII,"SHRIMP, MARINE **",Reef,"4,494","33,306",Commercial,Public
2019,HAWAII,"SNAPPER, GLASSEYE ",Reef,"3,192","14,288",Commercial,Public
2019,HAWAII,"SNAPPERS, LUTJANIDAE (FAMILY) **",Reef,"396,324","2,674,014",Commercial,Public
2019,HAWAII,SPEARFISHES **,Pelagic,"922,364","836,254",Commercial,Public
2019,HAWAII,"SQUIDS, LOLIGINIDAE **",Reef,"3,178","16,384",Commercial,Public
2019,HAWAII,SQUIRRELFISHES **,Reef,"94,106","447,852",Commercial,Public
2019,HAWAII,STRIPED MARLIN,Pelagic,"2,814,988","2,463,324",Commercial,Public
2019,HAWAII,SURGEONFISHES **,Reef,"118,096","248,958",Commercial,Public
2019,HAWAII,SWORDFISH ,Pelagic,"2,981,402","7,609,162",Commercial,Public
2019,HAWAII,"TENPOUNDER, HAWAIIAN",Reef,"1,482","2,892",Commercial,Public
2019,HAWAII,THREADFINS **,Reef,868,"7,054",Commercial,Public
2019,HAWAII,TRIGGERFISHES **,Reef,218,558,Commercial,Public
2019,HAWAII,"TUNA, ALBACORE ",Pelagic,"538,526","976,174",Commercial,Public
2019,HAWAII,"TUNA, BIGEYE ",Pelagic,"32,956,900","127,081,816",Commercial,Public
2019,HAWAII,"TUNA, KAWAKAWA ",Pelagic,"11,054","35,042",Commercial,Public
2019,HAWAII,"TUNA, SKIPJACK ",Pelagic,"1,290,974","1,632,000",Commercial,Public
2019,HAWAII,"TUNA, YELLOWFIN ",Pelagic,"11,721,084","41,217,406",Commercial,Public
2019,HAWAII,TUNAS **,Pelagic,"22,728","130,804",Commercial,Public
2019,HAWAII,"VERTEBRATES, JAWED",Reef,"22,864","73,422",Commercial,Confidential
2019,HAWAII,WAHOO ,Pelagic,"3,045,556","7,276,330",Commercial,Public
2018,HAWAII,AMBERJACKS **,Reef,"3,262","7,118",Commercial,Public
2018,HAWAII,"BARRACUDAS, SPHYRAENIDAE (FAMILY) **",Reef,"16,714","14,405",Commercial,Public
2018,HAWAII,BLACK MARLIN,Pelagic,"16,041","23,664",Commercial,Public
2018,HAWAII,"CRABS, DECAPODA (ORDER) **",Reef,"1,460","10,372",Commercial,Public
