"Year","NMFS.Name","Pounds","Dollars","nominal_revenue"
1981,"CRABS, DECAPODA (ORDER) **",16000,77632.9560495962,32000
1981,"CRUSTACEANS **",52000,300827.704692185,124000
1981,"LOBSTER, CARIBBEAN SPINY ",781000,11368376.0015127,4686000
1981,"MULLETS **",9000,43668.5377778978,18000
1981,"SHARKS, CHONDRICHTHYES (CLASS) **",15000,7278.08962964964,3000
1981,"SHRIMPS, PENAEID **",95000,577395.110618872,238000
1981,"SNAPPER, RED ",80000,291123.585185986,120000
1981,"SNAPPERS, LUTJANIDAE (FAMILY) **",425000,1906859.48296821,786000
1981,"SQUIDS, LOLIGINIDAE **",17000,33964.4182716983,14000
1981,"SWORDFISH ",30000,97041.1950619952,40000
1981,"TUNA, ALBACORE ",159000,305679.764445285,126000
1981,"TUNA, BIGEYE ",60000,232898.868148788,96000
1981,"TUNA, BLUEFIN PACIFIC ",20000,77632.9560495962,32000
1981,"TUNA, LITTLE TUNNY ",50000,72780.8962964964,30000
1981,"TUNA, SKIPJACK ",4837000,8801636.39212297,3628000
1981,"TUNA, YELLOWFIN ",3100000,10528969.6642265,4340000
1981,"VERTEBRATES, JAWED",3650000,9764770.25311327,4025000
1982,"BILLFISHES **",6e+05,685472.225190432,3e+05
1982,"CORALS **",5000,79971.7596055504,35000
1982,"CRABS, DECAPODA (ORDER) **",15000,68547.2225190432,30000
1982,"CRUSTACEANS **",45000,171368.056297608,75000
1982,"LOBSTER, CARIBBEAN SPINY ",120000,987080.004274222,432000
1982,"MULLETS **",9000,41128.3335114259,18000
1982,"SHARKS, CHONDRICHTHYES (CLASS) **",15000,11424.5370865072,5000
1982,"SHRIMPS, PENAEID **",90000,514104.168892824,225000
1982,"SNAPPER, RED ",80000,411283.335114259,180000
1982,"SNAPPERS, LUTJANIDAE (FAMILY) **",425000,1942171.30470622,850000
1982,"SQUIDS, LOLIGINIDAE **",20000,36558.518676823,16000
1982,"SWORDFISH ",25000,79971.7596055504,35000
1982,"TUNA, ALBACORE ",3810000,6178389.65638309,2704000
1982,"TUNA, BIGEYE ",45000,137094.445038086,60000
1982,"TUNA, BLUEFIN PACIFIC ",15000,57122.685432536,25000
