"Year","NMFS Name","Pounds","Metric Tons","Dollars","Confidentiality","Collection","Scientific Name","Tsn"
"2000","TUNAS **","6,702","3","10,273","Public","Commercial","Thunnus","172418"
"2000","SWORDFISH","6,521,184","2,958","12,794,362","Public","Commercial","Xiphias gladius","172482"
"2000","SNAPPER, RED","420,815","191","1,959,380","Public","Commercial","Lutjanus campechanus","168853"
"2000","TUNA, BIGEYE","6,170,906","2,799","21,445,144","Public","Commercial","Thunnus obesus","172428"
"2000","CRUSTACEANS **","57,848","26","211,467","Public","Commercial","Crustacea","83677"
"2000","SPEARFISHES **","271,001","123","328,000","Public","Commercial","Tetrapturus ","172498"
"2000","TUNA, ALBACORE","2,288,550","1,038","3,350,405","Public","Commercial","Thunnus alalunga","172419"
"2000","TUNA, SKIPJACK","1,653,920","750","2,061,350","Public","Commercial","Katsuwonus pelamis","172401"
"2000","TUNA, YELLOWFIN","4,808,084","2,181","12,611,257","Public","Commercial","Thunnus albacares","172423"
"2000","VERTEBRATES, JAWED","6,685,995","3,033","11,813,223","Public","Commercial","Gnathostomata ","914179"
"2000","SHRIMPS, PENAEOID **","886","0","5,938","Public","Commercial","Penaeoidea","95601"
"2000","LOBSTER, BANDED SPINY","10,394","5","121,196","Public","Commercial","Panulirus marginatus","199948"
"2000","TUNA, BLUEFIN PACIFIC","8,000","4","86,000","Public","Commercial","Thunnus orientalis","172422"
"2000","SNAPPERS, LUTJANIDAE (FAMILY) **","326,845","148","786,091","Public","Commercial","Lutjanidae","168845"
"2000","SHARKS, CHONDRICHTHYES (CLASS) **","3,300,200","1,497","863,318","Public","Commercial","Chondrichthyes","159785"
"1981","SWORDFISH","30,000","14","40,000","Public","Commercial","Xiphias gladius","172482"
"1981","MULLETS **","9,000","4","18,000","Public","Commercial","Mugilidae","170333"
"1981","SNAPPER, RED","80,000","36","120,000","Public","Commercial","Lutjanus campechanus","168853"
"1981","TUNA, BIGEYE","60,000","27","96,000","Public","Commercial","Thunnus obesus","172428"
