,SITEVISITID,METHOD,OBS_YEAR,REGION,REGION_NAME,ISLAND,ANALYSIS_SEC,ANALYSIS_YEAR,ANALYSIS_STRATA,SEC_NAME,SITE,DATE_,REEF_ZONE,DEPTH_BIN,LATITUDE,LONGITUDE,DEPTH,HARD_CORAL,MA,CCA,SAND,OTHER_BENTHIC,ComplexityValue,MEAN_SH,SD_SH_DIFF,MAX_HEIGHT,nCounts,nReps,Fish Benthic Piscivores,Fish Browsers,Fish Coralivores,Fish Parrotfish,Fish Grazer/Detritivores,Fish Invertivores,Fish Small Planktivores,Fish Roving Piscivores,Large Planktivores,NONE,Ray,Shallow Prey,Sharks,Target BC,TotFish
1,10000,nSPC,2016,MHI,Main Hawaiian Islands,Oahu,OAH_SOUTH,2016,ForereefMid,OAH_SOUTH,OAH-02391,8/18/16,Forereef,Mid,21.311209,-158.125831,7.3,1,2.5,0.5,1.5,94.5,NA,0.10375,0.029937343,0.35,2,1,1.283425461,1.232872485,0.021513094,0.024146296,10.3796419,7.197364665,0.147719232,0,0,0,0,0,0,0.081195287,20.36787842
2,10001,nSPC,2016,MHI,Main Hawaiian Islands,Oahu,OAH_SOUTH,2016,ForereefDeep,OAH_SOUTH,OAH-02460,8/18/16,Forereef,Deep,21.341493,-158.139885,22.55,11,0,7,20,62,NA,0.38,0.463890602,1.85,2,1,4.107954552,0,0.196567192,0.367092715,5.334970797,3.993776332,9.93133591,0,60.60221552,0,0,0,0,107.1051227,191.6390357
3,10002,nSPC,2016,MHI,Main Hawaiian Islands,Oahu,OAH_SOUTH,2016,ForereefShallow,OAH_SOUTH,OAH-02418,8/18/16,Forereef,Shallow,21.36039,-158.133699,3.2,1.5,0.5,0.5,0,97.5,NA,0.1045,0.034528973,0.6,2,1,0,1.493116011,0.283857879,0.06036574,5.729345623,4.162426023,0.116284525,0,0,0,0,0,0,0.118411278,11.96380708
4,10003,nSPC,2016,MHI,Main Hawaiian Islands,Oahu,OAH_SOUTH,2016,ForereefMid,OAH_SOUTH,OAH-02408,8/18/16,Forereef,Mid,21.415681,-158.18632,8.95,4,0,3,0.5,92.5,NA,0.235,0.310513834,1.5,2,1,0.258469193,0.181748384,0.103356786,0.026085927,24.84801466,7.550991455,1.960560503,0,0,0,0,0,0,0.063769741,34.99299665
5,10004,nSPC,2016,MHI,Main Hawaiian Islands,Oahu,OAH_SOUTH,2016,ForereefMid,OAH_SOUTH,OAH-02390,8/18/16,Forereef,Mid,21.428016,-158.195502,15.6,1.5,1,0,1.5,96,NA,0.107,0.052028973,0.7,2,1,0.022197075,0,0.019707328,0,0.146698019,2.08554042,0.564035748,0,0,0,0,0,0,0.987018897,3.825197487
6,10009,nSPC,2016,MHI,Main Hawaiian Islands,Oahu,OAH_SOUTH,2016,ForereefDeep,OAH_SOUTH,OAH-02461,8/19/16,Forereef,Deep,21.547161,-158.252005,25.55,1,1.5,0,20,77.5,NA,0.10125,0.012437343,0.295,2,1,0.541445116,0,0,0.040033844,7.982867978,3.808769259,5.189433205,0,0.007588118,0,0,0,0,0.748348379,18.3184859
7,10010,nSPC,2016,MHI,Main Hawaiian Islands,Oahu,OAH_SOUTH,2016,ForereefMid,OAH_SOUTH,OAH-02406,8/19/16,Forereef,Mid,21.501435,-158.236933,11.6,1,2.5,0.5,1,95,NA,0.1075,0.039680461,0.3,2,1,0,0,0.007576931,0,0.012257851,9.336797939,0.058971782,2.644183544,2.898814688,0,0,0,0,0.008043661,14.96664639
8,10011,nSPC,2016,MHI,Main Hawaiian Islands,Oahu,OAH_SOUTH,2016,ForereefShallow,OAH_SOUTH,OAH-02416,8/19/16,Forereef,Shallow,21.46914,-158.219437,3.35,1.5,0.5,1,4.5,92.5,NA,0.16,0.120754129,0.55,2,1,0,0.356898404,0.105808595,0,9.227226395,0.52106478,0.0939498,0.940272052,0,0,0,0,0,0.059985413,11.30520544
9,10012,nSPC,2016,MHI,Main Hawaiian Islands,Oahu,OAH_SOUTH,2016,ForereefShallow,OAH_SOUTH,OAH-02412,8/19/16,Forereef,Shallow,21.451023,-158.202334,4.85,2,1,0,2.5,94.5,NA,0.154,0.150209951,0.9,2,1,0,0.796194282,0.383146558,0,3.118543719,4.904560608,2.035103654,0,0,0,0,0,0,1.942105866,13.17965469
10,10023,nSPC,2016,MHI,Main Hawaiian Islands,Oahu,OAH_NORTH,2016,ForereefDeep,OAH_NORTH,OAH-02322,8/20/16,Forereef,Deep,21.621528,-158.10004,21.85,2,4,0,2.5,91.5,NA,0.10625,0.027243118,0.25,2,1,0,0,0.006296612,0,0.013338272,1.625974396,0.025863589,0,0,0,0,0,0,0.08954894,1.761021809
11,10024,nSPC,2016,MHI,Main Hawaiian Islands,Oahu,OAH_NORTH,2016,ForereefDeep,OAH_NORTH,OAH-02330,8/20/16,Forereef,Deep,21.680705,-158.056404,24.25,1,5,1,1.5,91.5,NA,0.105,0.033760746,0.45,2,1,0,0,0.01179809,0.054664764,0.636834781,4.484599192,0.341418994,0,0.007349223,0,0,0,0,0.82215839,6.358823434
12,10025,nSPC,2016,MHI,Main Hawaiian Islands,Oahu,OAH_NORTH,2016,ForereefMid,OAH_NORTH,OAH-02351,8/20/16,Forereef,Mid,21.669815,-158.060849,10.2,1,5,0,0,94,NA,0.1025,0.0175,0.3,2,1,0,0,0,0,2.551273826,1.195056838,0.000983191,0,0,0,0,0,0,0.571063215,4.31837707
13,10026,nSPC,2016,MHI,Main Hawaiian Islands,Oahu,OAH_NORTH,2016,ForereefMid,OAH_NORTH,OAH-02337,8/20/16,Forereef,Mid,21.661396,-158.059957,14.3,2,5,1,3,89,NA,0.13175,0.125895146,0.9,2,1,2.705824309,0,0,0,2.418372788,2.135287235,0.192863536,0,0,0,0,0,0,0.364769727,7.817117594
14,10027,nSPC,2016,MHI,Main Hawaiian Islands,Oahu,OAH_NORTH,2016,ForereefMid,OAH_NORTH,OAH-02365,8/20/16,Forereef,Mid,21.630035,-158.08193,9.1,1,5.5,1.5,6.5,85.5,NA,0.11,0.048566521,0.45,2,1,0,0,0.006296612,0,0.019176151,2.954842739,0.032273007,0,0.003794059,0,0,0,0,0,3.016382568
15,10028,nSPC,2016,MHI,Main Hawaiian Islands,Oahu,OAH_NORTH,2016,ForereefShallow,OAH_NORTH,OAH-02383,8/20/16,Forereef,Shallow,21.628116,-158.07916,4.55,1,1.5,1,1,95.5,NA,0.10375,0.029937343,0.3,2,1,0,0,0,0,0.054626369,1.207292405,0,0.285294295,0,0,0,0,0,0,1.547213069
16,10029,nSPC,2016,MHI,Main Hawaiian Islands,Oahu,OAH_NORTH,2016,ForereefMid,OAH_NORTH,OAH-02347,8/20/16,Forereef,Mid,21.618759,-158.098195,8.05,1.5,12.5,0.5,0,85.5,NA,0.12025,0.070004695,0.625,2,1,0,0,0,0,0.101868023,2.003097319,0,21.20587772,0,0,0,1.887610288,0,0.045360486,25.24381383
17,10044,nSPC,2016,MHI,Main Hawaiian Islands,Kahoolawe,KAH_SOUTH,2016,ForereefDeep,KAH_SOUTH,KAH-00163,8/21/16,Forereef,Deep,20.526242,-156.530687,23.5,11.5,3,2.5,10,73,NA,0.52125,0.440560961,1.85,2,1,2.588637662,1.187243836,0.442428269,2.809320641,7.499872687,7.576138018,4.661636276,0,0,0,0,0,0,7.624197897,34.38947529
18,10045,nSPC,2016,MHI,Main Hawaiian Islands,Kahoolawe,KAH_SOUTH,2016,ForereefMid,KAH_SOUTH,KAH-00198,8/21/16,Forereef,Mid,20.510727,-156.545882,14.65,3.5,0.5,0.5,0.5,95,NA,0.67875,0.493557504,1.9,2,1,4.287678392,4.862003931,1.032308259,14.77801332,8.663464021,5.360617041,9.296007624,8.053640518,0.337697202,0,0,0,0,8.071969671,64.74339998
19,10046,nSPC,2016,MHI,Main Hawaiian Islands,Kahoolawe,KAH_SOUTH,2016,ForereefDeep,KAH_SOUTH,KAH-00178,8/21/16,Forereef,Deep,20.51379,-156.621091,19.7,3.5,3.5,1,22.5,69.5,NA,0.66,0.540922226,1.85,2,1,6.720095541,3.683954528,0.400125468,19.04618182,20.38614414,13.66864169,2.989296108,17.31578584,23.91694561,0,0,0,0,6.508376683,114.6355474
20,10047,nSPC,2016,MHI,Main Hawaiian Islands,Kahoolawe,KAH_SOUTH,2016,ForereefShallow,KAH_SOUTH,KAH-00119,8/21/16,Forereef,Shallow,20.51524,-156.646965,4.5,0.5,0,0.5,1,98,NA,0.334,0.225658264,1.05,2,1,2.658683471,8.010477968,0.666401552,1.766537658,9.217703851,2.412513478,4.966822667,2.908700369,0,0,0,0,0,4.659055858,37.26689687
21,10048,nSPC,2016,MHI,Main Hawaiian Islands,Kahoolawe,KAH_SOUTH,2016,ForereefShallow,KAH_SOUTH,KAH-00123,8/21/16,Forereef,Shallow,20.502835,-156.668186,4.8,3.5,1.5,4,11.5,79.5,NA,0.83375,0.754301766,3,2,1,8.808545435,27.8112249,0.264773409,24.14996636,24.02630171,4.452685998,1.67347416,3.498429162,0.242087404,0,0,0,0,5.737232145,100.6647207
22,10049,nSPC,2016,MHI,Main Hawaiian Islands,Kahoolawe,KAH_SOUTH,2016,ForereefMid,KAH_SOUTH,KAH-00145,8/21/16,Forereef,Mid,20.516105,-156.692717,9.3,1.5,0,0.5,12.5,85.5,NA,0.7075,0.481935755,2.05,2,1,11.25337185,0,0.804629265,0,5.889890745,4.221839851,1.305953313,3.798359214,7.479155438,0,0,0,0,0.903666685,35.65686637
23,10050,nSPC,2016,MHI,Main Hawaiian Islands,Kahoolawe,KAH_SOUTH,2016,ForereefDeep,KAH_SOUTH,KAH-00146,8/21/16,Forereef,Deep,20.556635,-156.547118,21.95,1.5,0,0.5,22.5,75.5,NA,0.1745,0.194410445,1.2,2,1,6.200557153,0.580417013,0.358222585,0,6.638040105,2.79295565,0.246330435,0,3.710653643,0,0,0,0,6.673109838,27.20028642
24,10051,nSPC,2016,MHI,Main Hawaiian Islands,Kahoolawe,KAH_SOUTH,2016,ForereefShallow,KAH_SOUTH,KAH-00127,8/21/16,Forereef,Shallow,20.521888,-156.538552,5.15,3,0,2.5,0.5,94,NA,0.6875,0.534971256,2.05,2,1,11.40224254,24.79275254,0.179111292,2.889187142,18.71922534,1.723015002,5.820719962,1.74979613,0,0,0,0,0,3.588731857,70.86478181
25,10052,nSPC,2016,MHI,Main Hawaiian Islands,Kahoolawe,KAH_SOUTH,2016,ForereefMid,KAH_SOUTH,KAH-00128,8/21/16,Forereef,Mid,20.51067,-156.576497,13.45,3.5,0,2.5,0,94,NA,0.34875,0.32822199,1.35,2,1,2.057601446,2.467168067,0.168852927,0.685948754,4.019974412,2.424838506,1.962214927,8.823415626,0.778138666,0,0,0,0,6.042587905,29.43074124
