"County","Year","fit","se.fit","inc.trend","dec.trend","threshold","se.threshold"
"Maui County",2009.67097587897,7741.99272419336,2217.47980124159,NA,NA,NA,NA
"Maui County",2009.68797202039,7746.40825343639,2207.73844918696,NA,NA,NA,NA
"Maui County",2009.70496816181,7750.82378604373,2198.04156612575,NA,NA,NA,NA
"Maui County",2009.72196430323,7755.239325512,2188.3898410621,NA,NA,NA,NA
"Maui County",2009.73896044465,7759.65487514844,2178.78397213944,NA,NA,NA,NA
"Maui County",2009.75595658607,7764.07043752508,2169.22466640161,NA,NA,NA,NA
"Maui County",2009.77295272749,7768.48601475271,2159.71260661177,NA,NA,NA,NA
"Maui County",2009.78994886891,7772.90160891486,2150.24843123378,NA,NA,NA,NA
"Maui County",2009.80694501032,7777.31722070857,2140.83274389857,NA,NA,NA,NA
"Maui County",2009.82394115174,7781.73284847837,2131.46611725919,NA,NA,NA,NA
"Maui County",2009.84093729316,7786.14849034069,2122.14907386383,NA,NA,NA,NA
"Maui County",2009.85793343458,7790.56414438553,2112.88208442201,NA,NA,NA,NA
"Maui County",2009.874929576,7794.97980611202,2103.66557606581,NA,NA,NA,NA
"Maui County",2009.89192571742,7799.39546092941,2094.49995347287,NA,NA,NA,NA
"Maui County",2009.90892185884,7803.81108509134,2085.38559347586,NA,NA,NA,NA
"Maui County",2009.92591800026,7808.22665387898,2076.32282213002,NA,NA,NA,NA
"Maui County",2009.94291414167,7812.64214257352,2067.31191294515,NA,NA,NA,NA
"Maui County",2009.95991028309,7817.05752645614,2058.35308805095,NA,NA,NA,NA
"Maui County",2009.97690642451,7821.47278080802,2049.4465195915,NA,NA,NA,NA
"Maui County",2009.99390256593,7825.88788091033,2040.59233135541,NA,NA,NA,NA
"Maui County",2010.01089870735,7830.30280204427,2031.79060064817,NA,NA,NA,NA
"Maui County",2010.02789484877,7834.71751949099,2023.04136041325,NA,NA,NA,NA
"Maui County",2010.04489099019,7839.13200853169,2014.34460160855,NA,NA,NA,NA
"Maui County",2010.06188713161,7843.54624444755,2005.70027584467,NA,NA,NA,NA
"Maui County",2010.07888327302,7847.96020210868,1997.10829941442,NA,NA,NA,NA
"Maui County",2010.09587941444,7852.37384867246,1988.56857733941,NA,NA,NA,NA
"Maui County",2010.11287555586,7856.7871444427,1980.08100783083,NA,NA,NA,NA
"Maui County",2010.12987169728,7861.2000494847,1971.64546846272,NA,NA,NA,NA
"Maui County",2010.1468678387,7865.61252386382,1963.26181840774,NA,NA,NA,NA
"Maui County",2010.16386398012,7870.02452764523,1954.92990148765,NA,NA,NA,NA
"Maui County",2010.18086012154,7874.43602089429,1946.64954941473,NA,NA,NA,NA
"Maui County",2010.19785626296,7878.84696367631,1938.42058522998,NA,NA,NA,NA
"Maui County",2010.21485240438,7883.25731488913,1930.24283092105,NA,NA,NA,NA
"Maui County",2010.23184854579,7887.66702208695,1922.116146852,NA,NA,NA,NA
"Maui County",2010.24884468721,7892.0760181122,1914.04045004792,NA,NA,NA,NA
"Maui County",2010.26584082863,7896.48421785006,1906.01573125952,NA,NA,NA,NA
"Maui County",2010.28283697005,7900.89152572658,1898.04203242007,NA,NA,NA,NA
"Maui County",2010.29983311147,7905.297845386,1890.11941294157,NA,NA,NA,NA
"Maui County",2010.31682925289,7909.70307243272,1882.24797427073,NA,NA,NA,NA
"Maui County",2010.33382539431,7914.10709176297,1874.42786843482,NA,NA,NA,NA
"Maui County",2010.35082153573,7918.50978753016,1866.65926075901,NA,NA,NA,NA
"Maui County",2010.36781767714,7922.91104388767,1858.94232442829,NA,NA,NA,NA
"Maui County",2010.38481381856,7927.3107449889,1851.27723773449,NA,NA,NA,NA
"Maui County",2010.40180995998,7931.70877498724,1843.66418141633,NA,NA,NA,NA
"Maui County",2010.4188061014,7936.1050180361,1836.10333609682,NA,NA,NA,NA
"Maui County",2010.43580224282,7940.49935828885,1828.59487982239,NA,NA,NA,NA
"Maui County",2010.45279838424,7944.89167989891,1821.13898570822,NA,NA,NA,NA
"Maui County",2010.46979452566,7949.28186701972,1813.73581969416,NA,NA,NA,NA
"Maui County",2010.48679066708,7953.66980380455,1806.38553841646,NA,NA,NA,NA
"Maui County",2010.50378680849,7958.05537440687,1799.0882871986,NA,NA,NA,NA
"Maui County",2010.52078294991,7962.43846298006,1791.84419816782,NA,NA,NA,NA
"Maui County",2010.53777909133,7966.81895367752,1784.65338850066,NA,NA,NA,NA
"Maui County",2010.55477523275,7971.19673065264,1777.51595880313,NA,NA,NA,NA
"Maui County",2010.57177137417,7975.57167805883,1770.43199163014,NA,NA,NA,NA
"Maui County",2010.58876751559,7979.94368004947,1763.40155014922,NA,NA,NA,NA
"Maui County",2010.60576365701,7984.31262077796,1756.42467695355,NA,NA,NA,NA
"Maui County",2010.62275979843,7988.6783843977,1749.50139302918,NA,NA,NA,NA
"Maui County",2010.63975593984,7993.04085506207,1742.63169688172,NA,NA,NA,NA
"Maui County",2010.65675208126,7997.39991692447,1735.8155638273,NA,NA,NA,NA
"Maui County",2010.67374822268,8001.7554541383,1729.05294545303,NA,NA,NA,NA
"Maui County",2010.6907443641,8006.10735085695,1722.34376925198,NA,NA,NA,NA
"Maui County",2010.70774050552,8010.45549106581,1715.68793877867,NA,NA,NA,NA
"Maui County",2010.72473664694,8014.79975177077,1709.08534719966,NA,NA,NA,NA
"Maui County",2010.74173278836,8019.14000064299,1702.53588076712,NA,NA,NA,NA
"Maui County",2010.75872892978,8023.47610468056,1696.03940054149,NA,NA,NA,NA
"Maui County",2010.77572507119,8027.80792637308,1689.59575006577,NA,NA,NA,NA
"Maui County",2010.79272121261,8032.13531817488,1683.20476607036,NA,NA,NA,NA
"Maui County",2010.80971735403,8036.45813110121,1676.86626123418,NA,NA,NA,NA
