,Year,Region,Population
1,1970,Alaska,222486
2,1971,Alaska,234400
3,1972,Alaska,243900
4,1973,Alaska,249500
5,1974,Alaska,258400
6,1975,Alaska,279900
7,1976,Alaska,296800
8,1977,Alaska,302400
9,1978,Alaska,307800
10,1979,Alaska,309700
11,1980,Alaska,316187
12,1981,Alaska,329192
13,1982,Alaska,355508
14,1983,Alaska,386063
15,1984,Alaska,407812
16,1985,Alaska,423006
17,1986,Alaska,432750
18,1987,Alaska,427019
19,1988,Alaska,427560
20,1989,Alaska,430671
21,1990,Alaska,437997
23,1991,Alaska,450949
24,1992,Alaska,466263
25,1993,Alaska,475072
26,1994,Alaska,477831
27,1995,Alaska,480019
28,1996,Alaska,482660
29,1997,Alaska,486984
30,1998,Alaska,492520
31,1999,Alaska,497263
32,2000,Alaska,523130
33,2001,Alaska,527074
34,2002,Alaska,534356
35,2003,Alaska,540531
36,2004,Alaska,547679
37,2005,Alaska,553207
38,2006,Alaska,560627
39,2007,Alaska,562291
40,2008,Alaska,567763
41,2009,Alaska,577712
42,2010,Alaska,593735
44,2011,Alaska,602159
45,2012,Alaska,608273
46,2013,Alaska,613944
47,2014,Alaska,614966
48,2015,Alaska,623720
49,2016,Alaska,626510
50,2017,Alaska,625714
51,2018,Alaska,624163
52,1970,California.Current,18335758
53,1971,California.Current,18610300
54,1972,California.Current,18752600
55,1973,California.Current,18972800
56,1974,California.Current,19224500
57,1975,California.Current,19525900
58,1976,California.Current,19837400
59,1977,California.Current,20147000
60,1978,California.Current,20529800
61,1979,California.Current,20850800
62,1980,California.Current,21196206
63,1981,California.Current,21685907
64,1982,California.Current,22062639
65,1983,California.Current,22452008
66,1984,California.Current,22800969
67,1985,California.Current,23230641
68,1986,California.Current,23733280
69,1987,California.Current,24217428
70,1988,California.Current,24702751
71,1989,California.Current,25207580
72,1990,California.Current,25630261
74,1991,California.Current,25905803
75,1992,California.Current,26254248
76,1993,California.Current,26459543
77,1994,California.Current,26565344
78,1995,California.Current,26702856
79,1996,California.Current,26932623
80,1997,California.Current,27312518
81,1998,California.Current,27688290
82,1999,California.Current,28013696
83,2000,California.Current,28693025
84,2001,California.Current,28991421
85,2002,California.Current,29164061
86,2003,California.Current,29298114
87,2004,California.Current,29388826
88,2005,California.Current,29452303
89,2006,California.Current,29514351
90,2007,California.Current,29653835
91,2008,California.Current,29949688
92,2009,California.Current,30266931
93,2010,California.Current,30457090
95,2011,California.Current,30763289
96,2012,California.Current,31087532
97,2013,California.Current,31422186
98,2014,California.Current,31732814
99,2015,California.Current,31913729
100,2016,California.Current,32155043
101,2017,California.Current,32310653
102,2018,California.Current,32423634
103,2015,Caribbean,2141249
104,2016,Caribbean,2096549
105,2017,Caribbean,2042951
106,2018,Caribbean,1960208
107,1970,Gulf.of.Mexico,6939288
108,1971,Gulf.of.Mexico,7199700
109,1972,Gulf.of.Mexico,7422800
110,1973,Gulf.of.Mexico,7641800
111,1974,Gulf.of.Mexico,7843300
112,1975,Gulf.of.Mexico,8067800
113,1976,Gulf.of.Mexico,8281100
114,1977,Gulf.of.Mexico,8478800
115,1978,Gulf.of.Mexico,8698300
116,1979,Gulf.of.Mexico,8946800
117,1980,Gulf.of.Mexico,9147131
118,1981,Gulf.of.Mexico,9496689
119,1982,Gulf.of.Mexico,9827918
120,1983,Gulf.of.Mexico,10042799
121,1984,Gulf.of.Mexico,10156054
122,1985,Gulf.of.Mexico,10264225
123,1986,Gulf.of.Mexico,10408657
124,1987,Gulf.of.Mexico,10439449
125,1988,Gulf.of.Mexico,10475683
126,1989,Gulf.of.Mexico,10589124
127,1990,Gulf.of.Mexico,10764103
129,1991,Gulf.of.Mexico,10944935
130,1992,Gulf.of.Mexico,11108779
131,1993,Gulf.of.Mexico,11264263
132,1994,Gulf.of.Mexico,11409205
133,1995,Gulf.of.Mexico,11528328
134,1996,Gulf.of.Mexico,11644928
135,1997,Gulf.of.Mexico,11790332
136,1998,Gulf.of.Mexico,11938829
137,1999,Gulf.of.Mexico,12065758
138,2000,Gulf.of.Mexico,12593895
139,2001,Gulf.of.Mexico,12767661
140,2002,Gulf.of.Mexico,12970468
141,2003,Gulf.of.Mexico,13147213
142,2004,Gulf.of.Mexico,13366550
143,2005,Gulf.of.Mexico,13589539
144,2006,Gulf.of.Mexico,13473930
145,2007,Gulf.of.Mexico,13747512
146,2008,Gulf.of.Mexico,13949941
147,2009,Gulf.of.Mexico,14115963
148,2010,Gulf.of.Mexico,14324436
150,2011,Gulf.of.Mexico,14510382
151,2012,Gulf.of.Mexico,14704779
152,2013,Gulf.of.Mexico,14924409
153,2014,Gulf.of.Mexico,15158338
154,2015,Gulf.of.Mexico,15428100
155,2016,Gulf.of.Mexico,15670433
156,2017,Gulf.of.Mexico,15843992
157,2018,Gulf.of.Mexico,16002994
158,1970,Hawaii,769913
159,1971,Hawaii,801200
160,1972,Hawaii,827600
161,1973,Hawaii,850600
162,1974,Hawaii,866600
163,1975,Hawaii,884400
164,1976,Hawaii,902100
165,1977,Hawaii,915800
166,1978,Hawaii,928900
167,1979,Hawaii,950000
168,1980,Hawaii,964691
169,1981,Hawaii,978195
170,1982,Hawaii,993780
171,1983,Hawaii,1012717
172,1984,Hawaii,1027922
173,1985,Hawaii,1039698
174,1986,Hawaii,1051762
175,1987,Hawaii,1067917
176,1988,Hawaii,1079827
177,1989,Hawaii,1094588
178,1990,Hawaii,1112703
180,1991,Hawaii,1131412
181,1992,Hawaii,1149926
182,1993,Hawaii,1161508
183,1994,Hawaii,1173903
184,1995,Hawaii,1180490
185,1996,Hawaii,1184434
186,1997,Hawaii,1189322
187,1998,Hawaii,1190472
188,1999,Hawaii,1185497
189,2000,Hawaii,1211566
190,2001,Hawaii,1218305
191,2002,Hawaii,1228069
192,2003,Hawaii,1239298
193,2004,Hawaii,1252782
194,2005,Hawaii,1266117
195,2006,Hawaii,1275599
196,2007,Hawaii,1276832
197,2008,Hawaii,1287481
198,2009,Hawaii,1295178
199,2010,Hawaii,1363950
201,2011,Hawaii,1378251
202,2012,Hawaii,1392766
203,2013,Hawaii,1408987
204,2014,Hawaii,1419561
