Year,Community,County,ZI,EI,EQI
2010,Eleele-Kalaheo,Kauai County,0.999976771735848,1.85161,1.85165301068525
2011,Eleele-Kalaheo,Kauai County,0.9307100880351212,2.19882,2.3625187136867325
2012,Eleele-Kalaheo,Kauai County,0.936284871431558,2.05341,2.1931466187853528
2013,Eleele-Kalaheo,Kauai County,0.999976771735848,1.69815,1.6981894459930318
2014,Eleele-Kalaheo,Kauai County,0.9913358574713712,2.42438,2.4455687562678667
2015,Eleele-Kalaheo,Kauai County,1.0001393695849108,1.80851,1.8082579838353816
2016,Eleele-Kalaheo,Kauai County,1.0001393695849108,1.31752,1.317336403372274
2017,Eleele-Kalaheo,Kauai County,1.0001393695849108,1.38478,1.3845870306802612
2018,Eleele-Kalaheo,Kauai County,1.0001393695849108,1.30342,1.303238368209583
2010,Hanalei,Kauai County,1.0002090543773663,2.04858,2.048151824895495
2011,Hanalei,Kauai County,1.0002090543773663,2.12349,2.1230461679052484
2012,Hanalei,Kauai County,1.0002090543773663,2.06751,2.06707786832327
2013,Hanalei,Kauai County,1.000232282641518,2.81709,2.8164357908548343
2014,Hanalei,Kauai County,1.000232282641518,2.86301,2.8623451269129845
2015,Hanalei,Kauai County,0.9998838586792408,1.99662,1.996851917019003
2016,Hanalei,Kauai County,0.9222549998838586,2.08724,2.263191850695144
2017,Hanalei,Kauai County,0.8482265220320084,2.09248,2.466888202207192
2018,Hanalei,Kauai County,0.90453183433602,1.78314,1.9713402362548471
2010,Kapaa,Kauai County,1.000905902301921,3.06763,3.064853542121142
2011,Kapaa,Kauai County,1.000905902301921,2.80864,2.806097949408215
2012,Kapaa,Kauai County,1.000905902301921,2.84086,2.8382887876537484
2013,Kapaa,Kauai County,1.000905902301921,2.8183,2.8157492063123697
2014,Kapaa,Kauai County,1.000905902301921,2.70552,2.703071281503829
2015,Kapaa,Kauai County,0.9990011846414716,2.4284,2.4308279482886905
2016,Kapaa,Kauai County,0.9990011846414716,2.55287,2.555422395135789
2017,Kapaa,Kauai County,0.9990011846414716,2.30837,2.3106779406156996
2018,Kapaa,Kauai County,0.9897331072448956,2.02441,2.0454100051632285
2010,Kaumakani-Hanapepe,Kauai County,0.9946807275092332,1.90156,1.9117290075194997
2011,Kaumakani-Hanapepe,Kauai County,1.0000464565283036,1.56684,1.566767213434604
2012,Kaumakani-Hanapepe,Kauai County,1.0000464565283036,1.91203,1.911941177850556
2013,Kaumakani-Hanapepe,Kauai County,1.0000464565283036,2.2225799999999998,2.222476751445892
2014,Kaumakani-Hanapepe,Kauai County,1.0000464565283036,2.55931,2.559191108865817
2015,Kaumakani-Hanapepe,Kauai County,1.0000464565283036,2.23104,2.230936358441921
2016,Kaumakani-Hanapepe,Kauai County,1.0000929130566072,1.86974,1.869566292881199
2017,Kaumakani-Hanapepe,Kauai County,1.0000929130566072,2.2117,2.2114945232841716
2018,Kaumakani-Hanapepe,Kauai County,1.0000929130566072,1.63572,1.6355680343746373
