"Year","CommDiv","Revenue.Millions","Catch.Millions"
1981,2.23609811665925,2.775,0.6
1982,2.21625102152909,2.868,0.595
1983,3.0875863574163,0.453,0.13
1984,1,2.887,0.4
1985,2.9524399441747,7.238,1.246
1986,2.71471153621288,7.076,1.278
1987,2.75736158775154,8.305,1.338
1988,1.98667051738553,5.032,1.675
1989,2.41734641147646,7.923,1.408
1990,2.58193342373523,7.276,1.309
1991,1.51119714509176,6.459,0.824
1992,2.16071944635222,4.304,0.852
1993,2.69826273067378,6.403,1.013
1994,2.23691636294611,3.992,0.6
1995,2.24226287328843,4.655,0.807
1996,2.10394733177846,4.18,0.678
1997,1.96193507251021,3.547,0.536
1998,2.67451812402452,3.731,0.612
1999,2.20856059850109,3.876,0.745
2000,2.00085857893756,3.956,0.749
2001,2.12081036322371,2.893,0.587
2002,1.00877910954198,2.449,0.4
2003,1.02958704043021,2.271,0.355
2004,1.00084154016121,2.428,0.372
2005,1.00266109568861,1.94,0.289
2006,1.00024901359267,1.628,0.236
2007,1.01323110210041,1.479,0.232
2008,1.00558176102269,1.453,0.24
2009,1.00672008869209,1.762,0.284
2010,1.00808926196952,1.465,0.233
2011,1.12999469445624,1.157,0.179
2012,1.06778786116346,1.508,0.218
2013,1.21963998722756,1.827,0.266
2014,1.2869212464579,2.128,0.305
2015,1.24067071499104,1.012,0.135
2016,1.14525781073138,1.85,0.273
2017,1.10001083711258,2.132,0.303
2018,1.25492983165724,1.535,0.208
2019,1.15181310913576,2.72,0.407
