"Year","CommDiv","Revenue.Millions","Catch.Millions"
1981,2.36038131022966,20.117,8.256
1982,3.63245802311818,20.244,10.421
1983,2.72929548678207,33.561,28.161
1984,2.35189575809182,36.356,29.084
1985,3.14259591083416,18.699,11.636
1986,3.20835599499396,14.403,5.36
1987,3.84975133206007,32.608,11.579
1988,3.47033907685777,45.206,12.725
1989,4.97811006434678,56.056,18.077
1990,5.02083390911049,87.399,20.717
1991,5.02847154092981,73.887,20.514
1992,4.45909858198993,98.329,23.034
1993,4.42411756125026,92.517,27.914
1994,5.30112583183243,83.328,20.955
1995,5.93448138756324,75.812,22.462
1996,5.95241112713796,80.52,23.006
1997,5.03699323781493,79.647,23.783
1998,4.48670170260247,68.97,22.485
1999,4.93307776897513,69.601,22.38
2000,4.69105126906084,75.758,21.728
2001,4.5542491248263,57.28,16.375
2002,6.90192230773859,65.863,22.252
2003,8.40683999008116,65.201,21.955
2004,7.58192146860154,70.324,22.963
2005,7.8375965138086,85.801,26.886
2006,7.99168353531794,78.569,24.86
2007,6.75528351580589,87.062,27.708
2008,7.10873638450151,96.226,29.525
2009,7.43827304943793,78.757,25.686
2010,6.42811036516231,92.683,26.737
2011,7.07196609453329,100.293,28.228
2012,6.85071004524198,120.664,29.819
2013,6.46541607120313,113.154,31.166
2014,6.55806078698959,103.916,32.261
2015,5.85488766328196,109.385,34.344
2016,6.03188039285496,120.169,33.907
2017,5.98102231520618,115.838,36.034
2018,5.97862148402603,116.926,34.59
2019,5.9777128883277,211.14,67.425
