"Year","CommDiv","Revenue.Millions","Catch.Millions"
1981,3.38398990340613,0.42,0.1
1982,4.05576227928804,0.368,0.1
1983,2.1729769029706,0.341,0.094
1984,1,1.734,0.3
1985,1,4.748,0.799
1986,1.06595833061252,5.148,1.192
1987,2.7445407538393,0.287,0.045
1988,1.18504665137606,2.133,0.345
1989,1.80611384253125,4.35,0.791
1990,1.90979690790357,3.655,0.69
1991,1.25972522396236,0.411,0.293
1992,2.10920582986298,2.346,0.702
1993,1.86401349169236,8.08,3.759
1994,1.24676349524235,1.325,1.907
1995,1.12623782645956,1.939,2.637
1996,1.08703099061961,2.077,4.545
1997,1.08619122279285,3.526,5.092
1998,1.14103257890856,3.427,6.409
1999,1.16224631451337,3.657,6.529
2000,1.11370330936612,1.72,3.368
2001,1.67741826630728,1.205,0.386
2002,10.7256760136669,3.838,1.167
2003,10.5011899475818,3.78,1.227
2004,10.4539557187766,3.187,1.034
2005,10.9736142155125,3.165,0.949
2006,9.87295306747252,3.002,0.909
2007,9.70353510233936,3.301,0.976
2008,11.751079145283,3.346,0.869
2009,11.086687848673,3.589,0.918
2010,10.8111484888533,3.971,1.077
2011,11.7375969731299,3.263,0.858
2012,11.7436600047354,3.847,0.989
2013,12.2997127420313,4.121,0.998
2014,11.9965686019503,3.619,0.892
2015,7.99622090642041,0.563,0.142
2016,9.76893377489827,3.394,0.856
2017,10.4878029887392,3.314,0.814
2018,9.84878481825188,2.767,0.683
2019,10.828267404963,5.541,1.508
