"Year","CommDiv","Revenue.Millions","Catch.Millions"
1981,4.82246967425788,44.489,13.396
1982,5.78807369081187,32.962,14.245
1983,3.09808580482915,39.358,28.829
1984,3.63925073658786,62.405,34.824
1985,6.7145066675926,45.307,16.987
1986,8.09130212846666,40.498,10.59
1987,6.87059036096561,53.781,15.566
1988,6.61849262527682,75.567,21.131
1989,8.69045100821536,86.174,24.397
1990,8.27022147683709,114.618,26.582
1991,7.02872753093681,98.413,27.662
1992,6.85368470372576,117.096,27.893
1993,7.20288635835706,112.531,34.582
1994,8.01506555727734,99.604,27.09
1995,8.79150457701795,93.489,29.892
1996,8.87764777971851,98.622,31.87
1997,7.63728478994328,103.592,36.568
1998,7.18019734045092,92.555,36.426
1999,7.67272989042941,94.902,36.907
2000,7.21261514966568,98.42,32.531
2001,6.28283742584224,76.766,23.87
2002,9.10242065760264,72.257,23.848
2003,10.9991801072409,71.361,23.562
2004,9.66933949950907,76.043,24.393
2005,9.57336706177551,90.99,28.146
2006,9.73225022244688,83.277,26.027
2007,8.22045360556425,91.921,28.938
2008,8.50040757747778,101.115,30.658
2009,9.13839817679444,84.202,26.913
2010,8.02136955084627,98.226,28.074
2011,8.46572291472187,104.819,29.295
2012,8.30840890962505,126.12,31.053
2013,7.86302587120039,119.19,32.453
2014,7.85656645743785,109.749,33.48
2015,6.14431268740638,110.976,34.625
2016,7.10044941865765,125.496,35.055
2017,6.97744280682654,121.348,37.166
2018,6.84055503224662,121.287,35.497
2019,6.92419504396376,219.501,69.369
