"","Group","RCatch.tot"
"1","ANCHOVIES",1104935
"2","BIGEYE",3447897
"3","BONEFISH",668575
"4","CARDINALFISHES",2495011
"5","CHUBS",592934
"6","DAMSELFISHES",1315148
"7","DOLPHINS",2356630
"8","GOATFISHES",11674075
"9","HAWAIIAN FLAGTAIL",3235817
"10","HAWAIIAN SURF SARDINE",558587
"11","HERRINGS",6702489
"12","JACKS",609005
"13","MULLETS",1272443
"14","PARROTFISHES",465097
"15","RAZORFISHES",1536745
"16","SCADS",26259381
"17","SNAPPERS",3231935
"18","SOLDIERFISHES",1929016
"19","SURGEONFISHES",3694354
"20","TANGS",4320654
"21","TREVALLY",2782679
"22","TUNA",9264664
"23","UNICORNFISHES",573109
"24","WAHOO",1112561
"25","WRASSES",786290
