"Year","Catch.Millions","CommDiv"
2003,0.030036,2.23981018399119
2004,0.072722,2.3594027710717
2005,0.021739,1.77161616469411
2006,0.083321,1.14910669045532
2007,0.003593,1
2008,0.021146,1
2009,0.046955,2.21968350240416
2010,0.108791,2.832494599468
2011,0.027529,2.39480764438865
2012,0.08411,2.25358877350085
2013,0.086752,3.06604437092477
2014,0.096764,2.97145406776808
2015,0.070684,2.46027642814824
2016,0.060591,2.55199781498574
2017,0.034535,1.96809283461744
2018,0.234289,1.8528184970912
2019,0.154621,1.85412647276901
2020,0.189401,1.84718678293495
