Species,Name Flipped,Habitat
ALBACORE,ALBACORE,Pelagic
GREATER AMBERJACK,AMBERJACK GREATER,Reef
HAWAIIAN ANCHOVIES,ANCHOVIES HAWAIIAN,Pelagic
SPECKLED BALOONFISH,BALOONFISH SPECKLED,Reef
GREAT BARRACUDA,BARRACUDA GREAT,Reef
HELLERS BARRACUDA,BARRACUDA HELLERS,Reef
HAWAIIAN BIGEYE,BIGEYE HAWAIIAN,Reef
SMALLMOUTH BONEFISH,BONEFISH SMALLMOUTH,Reef
STRIPED BONITO,BONITO STRIPED,Pelagic
SPOTTED BOXFISH,BOXFISH SPOTTED,Reef
LONGNOSE BUTTERFLYFISH,BUTTERFLYFISH LONGNOSE,Reef
RACOON BUTTERFLYFISH,BUTTERFLYFISH RACOON,Reef
TEARDROP BUTTERFLYFISH,BUTTERFLYFISH TEARDROP,Reef
THREADFIN BUTTERFLYFISH,BUTTERFLYFISH THREADFIN,Reef
BUTTERFLYFISHES,BUTTERFLYFISHES,Reef
BANDFIN CARDINALFISH,CARDINALFISH BANDFIN,Reef
IRIDESCENT CARDINALFISH,CARDINALFISH IRIDESCENT,Reef
CARDINALFISHES,CARDINALFISHES,Reef
SEA CHUB FAMILY,FAMILY: SEA CHUB,Reef
GRAY CHUB,CHUB GRAY,Reef
LOWFIN CHUB,CHUB LOWFIN,Reef
SEA CHUBS,CHUBS SEA,Reef
CIGAR,CIGAR,Reef
YELLOWSTRIPE CORIS,CORIS YELLOWSTRIPE,Reef
YELLOWTAIL CORIS,CORIS YELLOWTAIL,Reef
CORNETFISH,CORNETFISH,Reef
ROCK DAMSELFISH,DAMSELFISH ROCK,Reef
DOLPHIN,DOLPHIN,Pelagic
PINKTAIL DURGON,DURGON PINKTAIL,Reef
MUSTACHE CONGER EEL,EEL MUSTACHE CONGER ,Reef
STOUT MORAY EEL,EEL STOUT MORAY ,Reef
WHITEMOUTH MORAY EEL,EEL WHITEMOUTH MORAY ,Reef
YELLOWHEAD MORAY EEL,EEL YELLOWHEAD MORAY ,Reef
YELLOWMARGIN MORAY EEL,EEL YELLOWMARGIN MORAY ,Reef
ZEBRA MORAY EEL,EEL ZEBRA MORAY ,Reef
BIGEYE EMPEROR,EMPEROR BIGEYE,Reef
ANCHOVY FAMILY,FAMILY ANCHOVY,Pelagic
BIGEYE FAMILY,FAMILY BIGEYE,Reef
BILLFISH FAMILY,FAMILY BILLFISH,Pelagic
BUTTERFLYFISH FAMILY,FAMILY BUTTERFLYFISH,Reef
CARDINALFISH FAMILY,FAMILY CARDINALFISH,Reef
DAMSELFISH FAMILY,FAMILY DAMSELFISH,Reef
GOATFISH FAMILY,FAMILY GOATFISH,Reef
GOBY FAMILY,FAMILY GOBY,Reef
HAWKFISH FAMILY,FAMILY HAWKFISH,Reef
HERRING FAMILY,FAMILY HERRING,Reef
JACK FAMILY,FAMILY JACK,Reef
LIZARDFISH FAMILY,FAMILY LIZARDFISH,Reef
MACKEREL FAMILY,FAMILY MACKEREL,Pelagic
MORAY FAMILY,FAMILY MORAY,Reef
MULLET FAMILY,FAMILY MULLET,Freshwater
NEEDLEFISH FAMILY,FAMILY NEEDLEFISH,Reef
PARROTFISH FAMILY,FAMILY PARROTFISH,Reef
POMFRET FAMILY,FAMILY POMFRET,Reef
PORCUPINEFISH FAMILY,FAMILY PORCUPINEFISH,Reef
PUFFER FAMILY,FAMILY PUFFER,Reef
SCORPIONFISH FAMILY,FAMILY SCORPIONFISH,Reef
SQUIRRELFISH FAMILY,FAMILY SQUIRRELFISH,Reef
STINGRAY FAMILY,FAMILY STINGRAY,Reef
TRIGGERFISH FAMILY,FAMILY TRIGGERFISH,Reef
WRASSE FAMILY,FAMILY WRASSE,Reef
COMBTOOTH BLENNY FAMILY,FAMILY: COMBTOOTH BLENNY ,Reef
CONGER EEL FAMILY,FAMILY: CONGER EEL,Reef
EAGLE RAY FAMILY,FAMILY: EAGLE RAY ,Reef
HALFBEAK FISH FAMILY,FAMILY: HALFBEAK FISH ,Reef
LEFTEYE FLOUNDER FAMILY,FAMILY: LEFTEYE FLOUNDER ,Reef
REQUIEM SHARK FAMILY,FAMILY: REQUIEM SHARK ,Reef
SNAKE EEL FAMILY,FAMILY: SNAKE EEL ,Reef
SURGEON FISH FAMILY,FAMILY: SURGEON FISH ,Reef
BARRED FILEFISH,FILEFISH BARRED,Reef
SCRAWLED FILEFISH,FILEFISH SCRAWLED,Reef
HAWAIIAN FLAGTAIL,FLAGTAIL HAWAIIAN,Reef
FLOWERY FLOUNDER,FLOUNDER FLOWERY,Reef
RAZORFISH GENUS,GENUS RAZORFISH,Reef
GLASSEYE,GLASSEYE,Reef
BANDTAIL GOATFISH,GOATFISH BANDTAIL,Reef
BLUE GOATFISH,GOATFISH BLUE,Reef
DOUBLEBAR GOATFISH,GOATFISH DOUBLEBAR,Reef
MANYBAR GOATFISH,GOATFISH MANYBAR,Reef
