variable_code,description
residents_00,Number of residents - 2000
residents_10,Number of residents - 2010
residents_11,Number of residents - 2011
residents_12,Number of residents - 2012
residents_13,Number of residents - 2013
residents_14,Number of residents - 2014
residents_15,Number of residents - 2015
residents_16,Number of residents - 2016
residents_17,Number of residents - 2017
visitors_10,Number of visitors - 2010
visitors_11,Number of visitors - 2011
visitors_12,Number of visitors - 2012
visitors_13,Number of visitors - 2013
visitors_14,Number of visitors - 2014
visitors_15,Number of visitors - 2015
visitors_16,Number of visitors - 2016
visitors_17,Number of visitors - 2017
hcost_00,Median monthly housing cost for all owner occupied housing units - 2000
hhsize_00,Average household size - 2000
hu_00,Total occupied housing units - 2000
huown_00,Owner occupied housing units - 2000
hurent_00,Renter occupied housing units - 2000
kit_00,proportion of all HHs without complete kitchen facilities - 2000
medage_00,Median age - 2000
pct18_00,Percent of population18 years of age and under - 2000
pct5_00,Percent of population 5 years of age and under - 2000
pct65_00,Percent of population 65 years of age and over - 2000
pctfem_00,Percent of population that is female - 2000
rural_00,Population inside Rural areas - 2000
urban_00,Population in Urban areas - 2000
urbarea_00,Urban: Population Inside urbanized areas - 2000
urbclus_00,Urban: Population Inside urban clusters - 2000
hcost_10,Median monthly housing cost for all owner occupied housing units - 2010
hhsize_10,Average household size - 2010
hu_10,Total occupied housing units - 2010
huown_10,Owner occupied housing units - 2010
hurent_10,Renter occupied housing units - 2010
kit_10,proportion of all HHs without complete kitchen facilities - 2010
medage_10,Median age - 2010
pct18_10,Percent of population18 years of age and under - 2010
pct5_10,Percent of population 5 years of age and under - 2010
pct65_10,Percent of population 65 years of age and over - 2010
pctfem_10,Percent of population that is female - 2010
rural_10,Population inside Rural areas - 2010
urban_10,Population in Urban areas - 2010
urbarea_10,Urban: Population Inside urbanized areas - 2010
urbclus_10,Urban: Population Inside urban clusters - 2010
totalcommyield_05,total commercial fishery landings - 2005
totalcommyield_06,total commercial fishery landings - 2006
totalcommyield_07,total commercial fishery landings - 2007
totalcommyield_08,total commercial fishery landings - 2008
totalcommyield_09,total commercial fishery landings - 2009
totalcommyield_10,total commercial fishery landings - 2010
totalcommyield_11,total commercial fishery landings - 2011
totalcommyield_12,total commercial fishery landings - 2012
totalcommyield_13,total commercial fishery landings - 2013
totalcommyield_14,total commercial fishery landings - 2014
totalcommyield_15,total commercial fishery landings - 2015
totalcommyield_16,total commercial fishery landings - 2016
totalcommreefyield_05,total commercial fishery landings for reef and bottom fish species in addition to any other shellfish and marine life that depend on a coral reef or rocky hard bottom ecosystem - 2005
totalcommreefyield_06,total commercial fishery landings for reef and bottom fish species in addition to any other shellfish and marine life that depend on a coral reef or rocky hard bottom ecosystem - 2006
totalcommreefyield_07,total commercial fishery landings for reef and bottom fish species in addition to any other shellfish and marine life that depend on a coral reef or rocky hard bottom ecosystem - 2007
totalcommreefyield_08,total commercial fishery landings for reef and bottom fish species in addition to any other shellfish and marine life that depend on a coral reef or rocky hard bottom ecosystem - 2008
totalcommreefyield_09,total commercial fishery landings for reef and bottom fish species in addition to any other shellfish and marine life that depend on a coral reef or rocky hard bottom ecosystem - 2009
totalcommreefyield_10,total commercial fishery landings for reef and bottom fish species in addition to any other shellfish and marine life that depend on a coral reef or rocky hard bottom ecosystem - 2010
totalcommreefyield_11,total commercial fishery landings for reef and bottom fish species in addition to any other shellfish and marine life that depend on a coral reef or rocky hard bottom ecosystem - 2011
totalcommreefyield_12,total commercial fishery landings for reef and bottom fish species in addition to any other shellfish and marine life that depend on a coral reef or rocky hard bottom ecosystem - 2012
totalcommreefyield_13,total commercial fishery landings for reef and bottom fish species in addition to any other shellfish and marine life that depend on a coral reef or rocky hard bottom ecosystem - 2013
totalcommreefyield_14,total commercial fishery landings for reef and bottom fish species in addition to any other shellfish and marine life that depend on a coral reef or rocky hard bottom ecosystem - 2014
totalcommreefyield_15,total commercial fishery landings for reef and bottom fish species in addition to any other shellfish and marine life that depend on a coral reef or rocky hard bottom ecosystem - 2015
totalcommreefyield_16,total commercial fishery landings for reef and bottom fish species in addition to any other shellfish and marine life that depend on a coral reef or rocky hard bottom ecosystem - 2016
totalcommrev_05,total commercial fishery revenue - 2005
totalcommrev_06,total commercial fishery revenue - 2006
totalcommrev_07,total commercial fishery revenue - 2007
totalcommrev_08,total commercial fishery revenue - 2008
totalcommrev_09,total commercial fishery revenue - 2009
totalcommrev_10,total commercial fishery revenue - 2010
totalcommrev_11,total commercial fishery revenue - 2011
totalcommrev_12,total commercial fishery revenue - 2012
totalcommrev_13,total commercial fishery revenue - 2013
totalcommrev_14,total commercial fishery revenue - 2014
totalcommrev_15,total commercial fishery revenue - 2015
totalcommrev_16,total commercial fishery revenue - 2016
totalcommreefrev_05,total commercial fishery revenue for reef and bottom fish species in addition to any other shellfish and marine life that depend on a coral reef or rocky hard bottom ecosystem - 2005
totalcommreefrev_06,total commercial fishery revenue for reef and bottom fish species in addition to any other shellfish and marine life that depend on a coral reef or rocky hard bottom ecosystem - 2006
totalcommreefrev_07,total commercial fishery revenue for reef and bottom fish species in addition to any other shellfish and marine life that depend on a coral reef or rocky hard bottom ecosystem - 2007
totalcommreefrev_08,total commercial fishery revenue for reef and bottom fish species in addition to any other shellfish and marine life that depend on a coral reef or rocky hard bottom ecosystem - 2008
totalcommreefrev_09,total commercial fishery revenue for reef and bottom fish species in addition to any other shellfish and marine life that depend on a coral reef or rocky hard bottom ecosystem - 2009
totalcommreefrev_10,total commercial fishery revenue for reef and bottom fish species in addition to any other shellfish and marine life that depend on a coral reef or rocky hard bottom ecosystem - 2010
totalcommreefrev_11,total commercial fishery revenue for reef and bottom fish species in addition to any other shellfish and marine life that depend on a coral reef or rocky hard bottom ecosystem - 2011
totalcommreefrev_12,total commercial fishery revenue for reef and bottom fish species in addition to any other shellfish and marine life that depend on a coral reef or rocky hard bottom ecosystem - 2012
totalcommreefrev_13,total commercial fishery revenue for reef and bottom fish species in addition to any other shellfish and marine life that depend on a coral reef or rocky hard bottom ecosystem - 2013
totalcommreefrev_14,total commercial fishery revenue for reef and bottom fish species in addition to any other shellfish and marine life that depend on a coral reef or rocky hard bottom ecosystem - 2014
totalcommreefrev_15,total commercial fishery revenue for reef and bottom fish species in addition to any other shellfish and marine life that depend on a coral reef or rocky hard bottom ecosystem - 2015
totalcommreefrev_16,total commercial fishery revenue for reef and bottom fish species in addition to any other shellfish and marine life that depend on a coral reef or rocky hard bottom ecosystem - 2016
totalrecyield_05,total recreational fishery landings - 2005
totalrecyield_06,total recreational fishery landings - 2006
totalrecyield_07,total recreational fishery landings - 2007
totalrecyield_08,total recreational fishery landings - 2008
totalrecyield_09,total recreational fishery landings - 2009
totalrecyield_10,total recreational fishery landings - 2010
totalrecyield_11,total recreational fishery landings - 2011
totalrecyield_12,total recreational fishery landings - 2012
totalrecyield_13,total recreational fishery landings - 2013
totalrecyield_14,total recreational fishery landings - 2014
totalrecyield_15,total recreational fishery landings - 2015
totalrecyield_16,total recreational fishery landings - 2016
totalrecreefyield_05,total recreational fishery landings for reef and bottom fish species in addition to any other shellfish and marine life that depend on a coral reef or rocky hard bottom ecosystem - 2005
totalrecreefyield_06,total recreational fishery landings for reef and bottom fish species in addition to any other shellfish and marine life that depend on a coral reef or rocky hard bottom ecosystem - 2006
totalrecreefyield_07,total recreational fishery landings for reef and bottom fish species in addition to any other shellfish and marine life that depend on a coral reef or rocky hard bottom ecosystem - 2007
totalrecreefyield_08,total recreational fishery landings for reef and bottom fish species in addition to any other shellfish and marine life that depend on a coral reef or rocky hard bottom ecosystem - 2008
totalrecreefyield_09,total recreational fishery landings for reef and bottom fish species in addition to any other shellfish and marine life that depend on a coral reef or rocky hard bottom ecosystem - 2009
totalrecreefyield_10,total recreational fishery landings for reef and bottom fish species in addition to any other shellfish and marine life that depend on a coral reef or rocky hard bottom ecosystem - 2010
totalrecreefyield_11,total recreational fishery landings for reef and bottom fish species in addition to any other shellfish and marine life that depend on a coral reef or rocky hard bottom ecosystem - 2011
totalrecreefyield_12,total recreational fishery landings for reef and bottom fish species in addition to any other shellfish and marine life that depend on a coral reef or rocky hard bottom ecosystem - 2012
totalrecreefyield_13,total recreational fishery landings for reef and bottom fish species in addition to any other shellfish and marine life that depend on a coral reef or rocky hard bottom ecosystem - 2013
totalrecreefyield_14,total recreational fishery landings for reef and bottom fish species in addition to any other shellfish and marine life that depend on a coral reef or rocky hard bottom ecosystem - 2014
totalrecreefyield_15,total recreational fishery landings for reef and bottom fish species in addition to any other shellfish and marine life that depend on a coral reef or rocky hard bottom ecosystem - 2015
totalrecreefyield_16,total recreational fishery landings for reef and bottom fish species in addition to any other shellfish and marine life that depend on a coral reef or rocky hard bottom ecosystem - 2016
liv_res_GDP_05,total GDP produced by the living resources industry - 2005
liv_res_GDP_06,total GDP produced by the living resources industry - 2006
liv_res_GDP_07,total GDP produced by the living resources industry - 2007
liv_res_GDP_08,total GDP produced by the living resources industry - 2008
liv_res_GDP_09,total GDP produced by the living resources industry - 2009
liv_res_GDP_10,total GDP produced by the living resources industry - 2010
liv_res_GDP_11,total GDP produced by the living resources industry - 2011
liv_res_GDP_12,total GDP produced by the living resources industry - 2012
liv_res_GDP_13,total GDP produced by the living resources industry - 2013
liv_res_GDP_14,total GDP produced by the living resources industry - 2014
liv_res_GDP_15,total GDP produced by the living resources industry - 2015
liv_res_emp_05,total employment within living resources industry - 2005
liv_res_emp_06,total employment within living resources industry - 2006
liv_res_emp_07,total employment within living resources industry - 2007
liv_res_emp_08,total employment within living resources industry - 2008
liv_res_emp_09,total employment within living resources industry - 2009
liv_res_emp_10,total employment within living resources industry - 2010
liv_res_emp_11,total employment within living resources industry - 2011
liv_res_emp_12,total employment within living resources industry - 2012
liv_res_emp_13,total employment within living resources industry - 2013
liv_res_emp_14,total employment within living resources industry - 2014
liv_res_emp_15,total employment within living resources industry - 2015
liv_res_estbl_05,total establishments within living resources industry - 2005
liv_res_estbl_06,total establishments within living resources industry - 2006
liv_res_estbl_07,total establishments within living resources industry - 2007
liv_res_estbl_08,total establishments within living resources industry - 2008
liv_res_estbl_09,total establishments within living resources industry - 2009
liv_res_estbl_10,total establishments within living resources industry - 2010
liv_res_estbl_11,total establishments within living resources industry - 2011
liv_res_estbl_12,total establishments within living resources industry - 2012
liv_res_estbl_13,total establishments within living resources industry - 2013
liv_res_estbl_14,total establishments within living resources industry - 2014
liv_res_estbl_15,total establishments within living resources industry - 2015
liv_res_GDP_prop_05,Proportion of total GDP produced by living resources industry - 2005
liv_res_GDP_prop_06,Proportion of total GDP produced by living resources industry - 2006
liv_res_GDP_prop_07,Proportion of total GDP produced by living resources industry - 2007
liv_res_GDP_prop_08,Proportion of total GDP produced by living resources industry - 2008
liv_res_GDP_prop_09,Proportion of total GDP produced by living resources industry - 2009
liv_res_GDP_prop_10,Proportion of total GDP produced by living resources industry - 2010
liv_res_GDP_prop_11,Proportion of total GDP produced by living resources industry - 2011
liv_res_GDP_prop_12,Proportion of total GDP produced by living resources industry - 2012
liv_res_GDP_prop_13,Proportion of total GDP produced by living resources industry - 2013
liv_res_GDP_prop_14,Proportion of total GDP produced by living resources industry - 2014
liv_res_GDP_prop_15,Proportion of total GDP produced by living resources industry - 2015
liv_res_emp_prop_05,Proportion of total employees employed in living resources - 2005
liv_res_emp_prop_06,Proportion of total employees employed in living resources - 2006
liv_res_emp_prop_07,Proportion of total employees employed in living resources - 2007
liv_res_emp_prop_08,Proportion of total employees employed in living resources - 2008
liv_res_emp_prop_09,Proportion of total employees employed in living resources - 2009
liv_res_emp_prop_10,Proportion of total employees employed in living resources - 2010
liv_res_emp_prop_11,Proportion of total employees employed in living resources - 2011
liv_res_emp_prop_12,Proportion of total employees employed in living resources - 2012
liv_res_emp_prop_13,Proportion of total employees employed in living resources - 2013
liv_res_emp_prop_14,Proportion of total employees employed in living resources - 2014
liv_res_emp_prop_15,Proportion of total employees employed in living resources - 2015
liv_res_estbl_prop_05,Proportion of total estblishments dedicated to living resources - 2005
liv_res_estbl_prop_06,Proportion of total estblishments dedicated to living resources - 2006
liv_res_estbl_prop_07,Proportion of total estblishments dedicated to living resources - 2007
liv_res_estbl_prop_08,Proportion of total estblishments dedicated to living resources - 2008
liv_res_estbl_prop_09,Proportion of total estblishments dedicated to living resources - 2009
liv_res_estbl_prop_10,Proportion of total estblishments dedicated to living resources - 2010
liv_res_estbl_prop_11,Proportion of total estblishments dedicated to living resources - 2011
liv_res_estbl_prop_12,Proportion of total estblishments dedicated to living resources - 2012
liv_res_estbl_prop_13,Proportion of total estblishments dedicated to living resources - 2013
liv_res_estbl_prop_14,Proportion of total estblishments dedicated to living resources - 2014
liv_res_estbl_prop_15,Proportion of total estblishments dedicated to living resources - 2015
comm_license_rev_05,Commerical fishing license revenue - 2005
comm_license_rev_06,Commerical fishing license revenue - 2006
comm_license_rev_07,Commerical fishing license revenue - 2007
comm_license_rev_08,Commerical fishing license revenue - 2008
comm_license_rev_09,Commerical fishing license revenue - 2009
comm_license_rev_10,Commerical fishing license revenue - 2010
