"Year","State","Industry","Employment","Establishments","Wages.Thousands","Employment.Tot","Wages.Tot.Millions"
2001,"HI","Fishing",NA,NA,NA,NA,NA
2002,"HI","Fishing",223,101,6669,22523,673.569
2003,"HI","Fishing",NA,NA,NA,NA,NA
2004,"HI","Fishing",NA,87,NA,NA,NA
2005,"HI","Fishing",153,83,5170,12699,429.11
2006,"HI","Fishing",140,80,5107,11200,408.56
2007,"HI","Fishing",NA,78,NA,NA,NA
2008,"HI","Fishing",NA,76,NA,NA,NA
2009,"HI","Fishing",146,75,4600,10950,345
2010,"HI","Fishing",135,71,4835,9585,343.285
2011,"HI","Fishing",122,62,5037,7564,312.294
2012,"HI","Fishing",116,60,5444,6960,326.64
2013,"HI","Fishing",118,60,5843,7080,350.58
2014,"HI","Fishing",109,62,4985,6758,309.07
2015,"HI","Fishing",NA,60,NA,NA,NA
2016,"HI","Fishing",122,62,7656,7564,474.672
2017,"HI","Fishing",113,62,7082,7006,439.084
2018,"HI","Fishing",105,60,6646,6300,398.76
2019,"HI","Fishing",111,64,6650,7104,425.6
