"Year","Establishments","Sector"
2001,38,"Seaf Wholesale"
2002,41,"Seaf Wholesale"
2003,38,"Seaf Wholesale"
2004,32,"Seaf Wholesale"
2005,28,"Seaf Wholesale"
2006,28,"Seaf Wholesale"
2007,31,"Seaf Wholesale"
2008,30,"Seaf Wholesale"
2009,31,"Seaf Wholesale"
2010,32,"Seaf Wholesale"
2011,36,"Seaf Wholesale"
2012,39,"Seaf Wholesale"
2013,39,"Seaf Wholesale"
2014,37,"Seaf Wholesale"
2015,36,"Seaf Wholesale"
2016,34,"Seaf Wholesale"
2017,35,"Seaf Wholesale"
2018,32,"Seaf Wholesale"
2019,33,"Seaf Wholesale"
