"Year","Region","CPUE"
2003,"Hawai'i",5.03018117530208
2004,"Hawai'i",1.4238100230912
2005,"Hawai'i",1.71246270345365
2006,"Hawai'i",1.78552372610333
2007,"Hawai'i",1.2920015787813
2008,"Hawai'i",1.72072055695926
2009,"Hawai'i",2.6993854905119
2010,"Hawai'i",2.04712768227325
2011,"Hawai'i",1.81197035853321
2012,"Hawai'i",1.81854085060231
2013,"Hawai'i",2.41651860430068
2014,"Hawai'i",2.70542307398474
2015,"Hawai'i",3.24122251664514
2016,"Hawai'i",2.42462102054486
2017,"Hawai'i",2.35206549968591
2018,"Hawai'i",3.02914756846339
2019,"Hawai'i",3.20617938870081
2020,"Hawai'i",2.09830298575476
2021,"Hawai'i",2.77487730178896
