"Year","State","Industry","Establishments","Total.Receipts"
1997,"HI","Seaf Markets",29,2759
1998,"HI","Seaf Markets",37,2829
1999,"HI","Seaf Markets",29,2829
2000,"HI","Seaf Markets",23,3670
2001,"HI","Seaf Markets",34,2497
2002,"HI","Seaf Markets",NA,NA
2003,"HI","Seaf Markets",36,4753
2004,"HI","Seaf Markets",33,2875
2005,"HI","Seaf Markets",29,3487
2006,"HI","Seaf Markets",31,3627
2007,"HI","Seaf Markets",41,4353
2008,"HI","Seaf Markets",37,4394
2009,"HI","Seaf Markets",35,3666
2010,"HI","Seaf Markets",37,4124
2011,"HI","Seaf Markets",39,3558
2012,"HI","Seaf Markets",42,4086
2013,"HI","Seaf Markets",40,3764
2014,"HI","Seaf Markets",38,3727
2015,"HI","Seaf Markets",39,4053
2016,"HI","Seaf Markets",31,4025
2017,"HI","Seaf Markets",27,2106
2018,"HI","Seaf Markets",21,2364
