"Year","State","Industry","Establishments","Total.Receipts","nominal_revenue"
1997,"HI","Seaf Markets",29,4214.18778878886,2759
1998,"HI","Seaf Markets",37,4273.00468881364,2829
1999,"HI","Seaf Markets",29,4213.69104582767,2829
2000,"HI","Seaf Markets",23,5345.15638467972,3670
2001,"HI","Seaf Markets",34,3556.46136973252,2497
2002,"HI","Seaf Markets",NA,NA,NA
2003,"HI","Seaf Markets",36,6537.22852258113,4753
2004,"HI","Seaf Markets",33,3850.87639164746,2875
2005,"HI","Seaf Markets",29,4528.51501454311,3487
2006,"HI","Seaf Markets",31,4569.2053414042,3627
2007,"HI","Seaf Markets",41,5339.54153802975,4353
2008,"HI","Seaf Markets",37,5287.97057904631,4394
2009,"HI","Seaf Markets",35,4383.98781344467,3666
2010,"HI","Seaf Markets",37,4873.28600323414,4124
2011,"HI","Seaf Markets",39,4118.80700074368,3558
2012,"HI","Seaf Markets",42,4643.1140267104,4086
2013,"HI","Seaf Markets",40,4203.68669500479,3764
2014,"HI","Seaf Markets",38,4086.023348143,3727
2015,"HI","Seaf Markets",39,4399.24298998467,4053
2016,"HI","Seaf Markets",31,4325.58051008755,4025
2017,"HI","Seaf Markets",27,2221.15473342506,2106
2018,"HI","Seaf Markets",21,2435.0645935454,2364
