GEO_ID,GEO_ID2,SUMLEVEL,GEO_NAME,Geography,REGION,PRIMARY_LATITUDE,PRIMARY_LONGITUDE,TOTPOP,PCTMALES,PCTFEMALE,POPCHPCT,POPDENS,POP0_5PCT,POP85PCT,MEDAGE,POPWAPCT,POPBAPCT,POPNAPCT,POPAAPCT,POPPAPCT,POPHSPCT,POPWNPCT,TOTHU,PCTVACANT,HMOWNVAC,RENTVAC,PCTMBLHM,PCTBLT2014,PCTBLT2010_13,PCTBLT2000_09,PCTBLT2005,PCTBLT2000_04,PCTBLT2010,HUMNR,PCTOWNER,PCTRENTER,MOV2015,MOV2010_14,MOV2000_09,MOV2005,MOV2000_04,MOV2010,PCTNOVHCL,HOUSHEATFUEL,PCTNOPLBG,MEDHOMVAL,MED_MTMRG,OWNRMTHLYCST,MED_GRRNT,RENTRMTHLYCST,TOTHH,PCTHFOFMNOHS,PCTHHUNDR18,PCTHHUOVER65,AVGHHSZE,PCTMALESEPARATD,PCTMALEDIVORCD,PCTFEMALESEPARATD,PCTFEMALEDIVORCD,PCTPOP9THGRD,PCTNODIPLOMA,PCTPOPHSGRD,PCTBATCHLRS,PCTLIVESMHS,PCTLIVEDRCO,PCTLIVDFST,PCTFORBRN,PCTSPKENGNTWL,PCTLABFORCE,PCTEMPLOYED,PCTUNEMPLD,PCTLABFEMALE,PCTEMPFEMA,MEANTRAVTIM,PCTSERVOCC,PCTFRMFSHOCC,PCTAGRFRFSH,PCTSERVIND,PCTSLFEMP,PCTHHHUNDR10K,PCTHH200K,MEDHHINC,MEANHHINC,PCTRECSOC,PCTRECRET,MEANRETINC,PCTRECSSI,PUBLICASSIST,PERCPHHINC,PCTFMINPOV,PCTPOV,PCTCHLDPOV,PCT65POV,MEDDWELLAGE,MDYRSRESID,HASMORTGAGE,HSMORTGAGELON,PCTGRPQRTRS,GINIINDX,PCTCHGRNT,PCTCHGMRG,PCTCHNGHOMVAL,PCTCHGRENTER,PCTCHGUNEM,PCTCHGRAVTIM,PCTWTRCVG,NEARCTYPOP,CSTOFLIVNG,MARINANUM,NUMBOTRMPS,EPAREGFAC,CRIMINDEX,HAILRSKAVG,HURRSKAVG,TORNRSKAVG,WNDRSKAVG,POUNDS_13,VALUE_13,DEALERNUM_13,COMMPMT_13,PNDSPRPOP_13,VALUPRPOP_13,DEALERNUMPRPOP_13,COMMPRPOP_13,RECPSSRMODESH_13,RECPSSRMODECH,RECPSSRMODEPR_13,RECPSSRMODESHPOP_13,RECPSSRMODECHPOP_13,RECPSSRMODEPRPOP_13
0600000US1500190630,1500190630,60,"Hilo, HI","Hilo CCD, Hawaii County, Hawaii",Hawaii,19.6869881,-155.2335958,46631,49.5,50.5,9.913965822,156.327728,5.3,3.3,40.9,18,0.6,0.3,33.3,12.6,10.3,16.2,18412,12.9,1.2,11.1,0.4,,,8.3,,,0.3,5,65.4,34.6,,,37.3,,,11.8,6.7,0,0.8,304600,1629,27.9,898,48.6,16045,14.4,28.8,35.4,2.79,3,9.6,2,10.8,2.8,5.4,30.4,18.4,87,1.1,2.5,7,4.7,58.2,52.8,5.2,57,52.7,18.1,20,0.98386462,2.2,9.2,6.7,9,3.4,52881,69449,39.5,26.1,25375,5.8,5.1,25658,12,16.3,26.3,9.1,36,13,61.5,1.095655488,4.059531213,0.4564,64.7706422,42.02266783,98.17826936,-10.47870813,-13.33333333,1.117318436,8.412159105,209.3,95.1,1,1,661,122,0,34,4,0,513522,1373894,8,117,11012.45952,29463.10394,0.171559692,2.509060496,77,53,59,1.651262036,1.13658296,1.265252729
0600000US1500190720,1500190720,60,"Honokaa-Kukuihaele, HI","Honokaa-Kukuihaele CCD, Hawaii County, Hawaii",Hawaii,20.1072972,-155.5725782,4507,52.2,47.8,15.71245186,39.0723204,6,3.2,38.2,27.8,0,0.7,31.6,9.4,6.7,26.6,1466,13.1,1.6,6,0,,,11.5,,,0,5,66.6,33.4,,,36.4,,,10.5,5.6,0.2,2.4,383100,2037,55.4,1029,43.8,1274,18.4,39.1,39.2,3.47,0.8,11.1,2.2,9.1,5.3,4.1,40.2,11,89.1,0.9,0.2,16.6,5,63.8,55.1,8.7,61.5,54.6,39.4,32.5,1.83299389,7.9,24.3,11.5,6.8,1.8,57563,64342,43.9,35.3,22235,3.8,3.6,21212,8.2,10.6,18.6,3.7,41,14,57.4,0.353773585,2.019081429,0.3883,68.96551724,93.81541389,144.3239796,6.170048309,123.0769231,22.74143302,37.75082261,175,96.5,0,0,58,137,0,31,0,0,16424,11979,0,17,3644.109164,2657.865542,0,3.771910362,0,1,0,0,0.22187708,0
0600000US1500191170,1500191170,60,"Kau, HI","Kau CCD, Hawaii County, Hawaii",Hawaii,19.2356053,-155.5438316,7532,50.6,49.4,29.2603398,8.059374987,5.7,3.5,46.5,36.4,0.1,0.1,19.5,7.4,9.2,35.4,4107,31.4,9.5,6.7,1,,,30.3,,,0,3.9,71.5,28.5,,,52.8,,,11.3,6.5,0,10.4,165400,1277,40.8,742,54.5,2818,6.9,20.7,37.4,2.66,1.6,14.1,0.3,8.3,6.2,5.8,42.3,9.6,91.7,0,2.4,18.3,6.7,51.7,46,5.7,48.1,43,46.6,24.2,7.412790698,16.2,13.6,21.8,17.9,1.5,39167,53338,41.4,21.5,13156,8.7,3.3,20971,19.5,26.9,41.6,7.8,21,10,40.5,1.34061569,0.305363781,0.5401,72.15777262,70.49399199,90.7727797,10.64411248,-33.72093023,9.647058824,21.89899403,209.1,105.9,0,2,92,145,0,29,0,0,162303,450804,3,32,21548.4599,59851.83218,0.398300584,4.248539565,16,3,0,2.124269782,0.398300584,0
0600000US1500191350,1500191350,60,"Keaau-Mountain View, HI","Keaau-Mountain View CCD, Hawaii County, Hawaii",Hawaii,19.5585499,-155.0949534,31460,50,50,38.3586947,135.5707097,6.5,1.6,38.5,34.5,1.4,0.4,21.8,18.7,16.8,30.6,13641,17.4,3.5,5.9,0.3,,,27.5,,,1.7,4.6,67.9,32.1,,,50.3,,,14.1,3.5,0,4.7,226000,1346,40.1,1047,56.6,11271,15,31.8,24,2.78,5.3,10.7,3.3,13.4,4.4,6.9,31.6,14.5,89.5,1.7,2.1,11,8,55.6,48.5,7,54.6,50.2,30.6,24.5,3.814736842,5.8,14.1,12.5,18.4,1.1,36982,49198,27.9,14.5,25031,6.8,10.6,18759,24.4,29.2,41.2,18.7,21,10,61.4,1.006141382,0.403687222,0.4943,67.52,49.72191324,106.5813528,16.00265886,14.75409836,-0.649350649,14.50650501,214.9,93.9,0,0,132,80,0,33,4,0,452539,1275688,0,60,14384.5836,40549.5232,0,1.907183725,3,0,0,0.095359186,0,0
0600000US1500192430,1500192430,60,"North Hilo, HI","North Hilo CCD, Hawaii County, Hawaii",Hawaii,19.617504,-155.4204305,2201,51.1,48.9,27.96511628,6.917154341,8.1,0.7,33.8,23.8,0,0.2,36.9,10,10.6,21.8,861,23,0,20.4,1,,,14.2,,,3.5,5.1,77.1,22.9,,,29.6,,,9.5,0.3,0,0,275300,2098,23.9,853,31.3,663,10.1,50.2,32.6,3.32,0,5.5,0,7,2.4,8.3,23.5,25.4,98.7,0,0,12.6,2.2,64.6,56.6,7.6,60.3,54.6,40.8,36.6,0.510204082,4.3,19.5,7.3,2.4,0.5,65507,71962,33.9,29.7,12351,5,2.4,23485,8.5,11.6,13,13.6,33,17,46.6,0,0,0.3155,18.30790569,157.1078431,149.365942,7.648031496,230.4347826,8.8,13.39553178,193,108.3,0,1,37,,0,33,4,0,19144,51702,0,6,8697.864607,23490.23171,0,2.726033621,1,0,0,0.454338937,0,0
0600000US1500192520,1500192520,60,"North Kohala, HI","North Kohala CCD, Hawaii County, Hawaii",Hawaii,20.176362,-155.8227292,6579,50,50,8.959920503,46.6695524,6.2,2.3,38.2,19.5,0.3,0,17.1,12.5,14.6,18,2476,20.8,4.1,1.9,0,,,16,,,0.9,4.9,72.4,27.6,,,35.2,,,10.1,3.8,0,1.3,353500,1556,41.7,1205,45.6,1961,15.1,39.8,37.4,3.34,2,9.5,2,9.2,2,4.8,44.3,16.1,93.2,0.1,0.4,6.6,2.1,62.1,54.8,7.3,55.8,51.4,30.7,38.1,3.319808189,5.6,36.4,7.7,4.3,2.5,58673,68545,45.8,25.8,20737,2.9,2.5,22167,11.4,18.1,24.9,16.8,30,15,50.5,0,0.364797082,0.4159,63.05818674,24.97991968,99.83041266,-6.883236994,180.7692308,2.675585284,46.52489486,151.7,98.7,0,0,40,172,0,26,0,0,39875,58116,2,25,6060.951512,8833.561332,0.303997568,3.7999696,2,0,0,0.303997568,0,0
0600000US1500192610,1500192610,60,"North Kona, HI","North Kona CCD, Hawaii County, Hawaii",Hawaii,19.6685679,-155.9187231,40823,50,50,43.02280769,84.04895165,6.9,1.7,41.5,44.9,0.7,0.2,12.9,11.3,12.7,43.6,19722,27.2,3,8.4,0.2,,,21.9,,,0.2,4.5,60.7,39.3,,,49.9,,,21.1,4.6,0.1,0.3,444700,2218,53.3,1181,45.9,14350,11,29.6,26.7,2.8,2.2,10.3,1.9,12.4,2.4,6.6,31.9,17.8,80.8,0.5,4.6,14.4,7.3,68.6,61.7,6.8,63.8,58.9,20.4,27.1,0.814564012,2.7,22.1,13.3,5.4,4.3,61655,78263,30.6,17.4,34673,2.4,4.4,29747,8.7,13.5,18.2,8.7,28,9,72.6,1.423487544,1.702471646,0.4452,58.52348993,55.86788475,90.12398461,-5.244133822,151.8518519,-0.487804878,19.64255743,165.5,103.4,1,6,486,61,0,25,0,0,1693046,4379285,14,362,41472.84619,107274.943,0.342943929,8.867550156,50,3667,106,1.224799745,89.82681332,2.59657546
0600000US1500192700,1500192700,60,"Paauhau-Paauilo, HI","Paauhau-Paauilo CCD, Hawaii County, Hawaii",Hawaii,19.8281713,-155.4950401,3019,51.8,48.2,36.42114776,6.504337503,7.8,1.7,36.1,35.5,0,0,31.3,10,3.7,34.1,1019,9.8,3.4,0,0,,,12.1,,,0,5.1,68.7,31.3,,,40.2,,,10,2.5,0.3,1.3,379500,1690,44.2,929,15.9,919,7.9,35.4,29.2,3.29,0.7,8.9,1.3,9,5,1.9,32.2,20.5,94.1,0,2.2,15.1,6.5,67.2,62.5,4.6,64,59.1,42.5,29.9,3.925619835,3.7,22.3,5.9,2.4,3,54258,70451,34.3,29.9,12150,1.1,2.1,23461,6.5,9.5,15.2,0.9,26,13,53.7,2.06022187,0,0.3787,51.05691057,73.68961973,234.6560847,36.40397727,-2.127659574,7.594936709,8.606505118,181.3,109.2,0,0,45,148,0,29,0,0,25230,43306,1,12,8357.071878,14344.48493,0.331235508,3.974826101,0,0,0,0,0,0
0600000US1500192790,1500192790,60,"Pahoa-Kalapana, HI","Pahoa-Kalapana CCD, Hawaii County, Hawaii",Hawaii,19.427903,-155.0891095,10262,49.5,50.5,19.36722112,38.30247353,4.9,1.8,47.2,34.5,0.8,1.1,18.9,14.8,16,31.7,5165,23.3,4.9,10.2,0.8,,,28.2,,,0.6,4.6,68.1,31.9,,,46.1,,,13.5,6,0.1,4.4,175700,1347,38.6,961,68.8,3963,12.6,24.6,35,2.59,2.1,14,2.4,14.5,3.2,7.5,32.6,13.3,84.8,0.6,5.1,12.7,5.7,49,39.5,9.4,46.7,40,35.4,20.4,2.757979548,6.4,8.4,20,16.2,0.2,31259,42054,47.5,26.9,17877,12.3,10.4,17546,24.6,31.7,44.8,9,24,11,43.2,0.111111111,0.126680959,0.4667,58.05921053,84.01639344,103.8283063,0.270938446,0,12.38095238,29.4727872,226.6,107.1,0,1,76,96,0,33,2,0,217866,758387,0,36,21230.36445,73902.45566,0,3.508088092,5,2,0,0.487234457,0.194893783,0
0600000US1500192880,1500192880,60,"Papaikou-Wailea, HI","Papaikou-Wailea CCD, Hawaii County, Hawaii",Hawaii,19.8307533,-155.1516688,5416,53.2,46.8,9.171537996,55.79805413,4.4,4,44.2,36.9,0.9,0,25.8,9.8,10.7,33,2080,12.5,3.6,11.6,0.4,,,10.9,,,0.2,5.1,68,32,,,40.5,,,11.9,7,0,1.5,299400,1750,44.8,917,39,1820,12.9,26.5,40.5,2.93,1.3,5.9,2.2,9.4,5.1,6.3,29.1,21.5,94.1,0.4,1.4,13,7,55.4,50.1,5.3,48.8,44.8,25.8,16.9,2.141608392,7.8,12.4,13.3,10.1,0.4,42135,55967,41.4,24.3,26992,5.8,6.6,21257,17.3,19.5,27.8,7.7,40,12,46.5,0.403877221,1.550960118,0.428,87.90983607,82.29166667,122.4368499,16.46435845,29.26829268,3.2,29.71233571,202.7,107.5,0,0,61,80,0,33,4,0,4544,12262,0,9,838.9955687,2264.032496,0,1.661742984,2,0,0,0.369276219,0,0
