Estimate Status,Year,Region,Angler Trips,PSE
PRELIMINARY,1981,SOUTHERN CALIFORNIA,"5,058,081",3.9
PRELIMINARY,1981,NORTHERN CALIFORNIA,"2,874,682",2.2
PRELIMINARY,1981,PACIFIC NORTHWEST,"2,816,912",2.3
FINAL,1981,NORTH ATLANTIC,"13,767,770",3.8
FINAL,1981,MID-ATLANTIC,"30,324,337",4.2
FINAL,1981,SOUTH ATLANTIC,"43,097,652",6.3
FINAL,1981,GULF OF MEXICO,"26,083,323",5.3
FINAL,1981,TEXAS,"3,100,808",10.6
PRELIMINARY,1982,SOUTHERN CALIFORNIA,"5,726,181",2.2
PRELIMINARY,1982,NORTHERN CALIFORNIA,"2,551,113",1.6
PRELIMINARY,1982,PACIFIC NORTHWEST,"2,524,118",2.7
FINAL,1982,NORTH ATLANTIC,"15,181,354",4.6
FINAL,1982,MID-ATLANTIC,"31,644,464",3.1
FINAL,1982,SOUTH ATLANTIC,"54,611,177",4.6
FINAL,1982,GULF OF MEXICO,"32,460,051",3.6
FINAL,1982,TEXAS,"2,792,944",9.4
PRELIMINARY,1983,SOUTHERN CALIFORNIA,"5,136,765",6.6
PRELIMINARY,1983,NORTHERN CALIFORNIA,"2,998,078",9.2
PRELIMINARY,1983,PACIFIC NORTHWEST,"2,400,677",6.4
FINAL,1983,NORTH ATLANTIC,"14,061,239",3.5
FINAL,1983,MID-ATLANTIC,"30,560,095",3.2
FINAL,1983,SOUTH ATLANTIC,"56,811,404",4.6
FINAL,1983,GULF OF MEXICO,"38,132,044",5.6
FINAL,1983,TEXAS,"669,126",.
PRELIMINARY,1984,SOUTHERN CALIFORNIA,"5,571,853",3.4
PRELIMINARY,1984,NORTHERN CALIFORNIA,"2,714,572",2.5
PRELIMINARY,1984,PACIFIC NORTHWEST,"1,807,152",4.8
FINAL,1984,NORTH ATLANTIC,"13,634,818",4.2
FINAL,1984,MID-ATLANTIC,"30,295,214",3.7
FINAL,1984,SOUTH ATLANTIC,"56,040,453",4.1
FINAL,1984,GULF OF MEXICO,"39,670,443",3.7
FINAL,1984,TEXAS,"735,321",.
PRELIMINARY,1985,SOUTHERN CALIFORNIA,"5,272,635",6.6
PRELIMINARY,1985,NORTHERN CALIFORNIA,"2,527,595",9.1
PRELIMINARY,1985,PACIFIC NORTHWEST,"2,080,038",7.7
FINAL,1985,NORTH ATLANTIC,"14,379,844",4.3
FINAL,1985,MID-ATLANTIC,"30,866,310",3.1
FINAL,1985,SOUTH ATLANTIC,"54,775,548",4.6
FINAL,1985,GULF OF MEXICO,"38,983,565",4.9
FINAL,1985,TEXAS,"873,072",.
PRELIMINARY,1986,SOUTHERN CALIFORNIA,"6,116,583",6.8
PRELIMINARY,1986,NORTHERN CALIFORNIA,"2,757,379",10.4
PRELIMINARY,1986,PACIFIC NORTHWEST,"2,065,080",6
FINAL,1986,NORTH ATLANTIC,"13,760,055",5.1
FINAL,1986,MID-ATLANTIC,"31,541,972",3
FINAL,1986,SOUTH ATLANTIC,"57,528,133",6.6
FINAL,1986,GULF OF MEXICO,"34,074,142",3.9
FINAL,1986,TEXAS,"930,542",.
PRELIMINARY,1987,SOUTHERN CALIFORNIA,"5,186,954",10.7
PRELIMINARY,1987,NORTHERN CALIFORNIA,"2,414,278",10.9
PRELIMINARY,1987,PACIFIC NORTHWEST,"2,346,313",8
FINAL,1987,NORTH ATLANTIC,"13,230,893",4.3
FINAL,1987,MID-ATLANTIC,"30,435,713",3
FINAL,1987,SOUTH ATLANTIC,"59,273,450",6.4
FINAL,1987,GULF OF MEXICO,"34,660,257",3.7
FINAL,1987,TEXAS,"1,137,530",.
PRELIMINARY,1988,SOUTHERN CALIFORNIA,"5,996,394",7.7
PRELIMINARY,1988,NORTHERN CALIFORNIA,"3,939,188",11.8
PRELIMINARY,1988,PACIFIC NORTHWEST,"2,402,183",8.6
FINAL,1988,NORTH ATLANTIC,"13,650,378",2.9
FINAL,1988,MID-ATLANTIC,"30,217,553",2.5
FINAL,1988,SOUTH ATLANTIC,"55,391,411",4.4
FINAL,1988,GULF OF MEXICO,"39,594,243",3.3
FINAL,1988,TEXAS,"1,071,143",.
PRELIMINARY,1989,SOUTHERN CALIFORNIA,"4,643,045",9.9
PRELIMINARY,1989,NORTHERN CALIFORNIA,"2,407,665",9.3
PRELIMINARY,1989,PACIFIC NORTHWEST,"2,328,597",9.3
FINAL,1989,NORTH ATLANTIC,"13,930,140",2.9
FINAL,1989,MID-ATLANTIC,"29,605,787",2.2
FINAL,1989,SOUTH ATLANTIC,"56,241,364",4.7
FINAL,1989,GULF OF MEXICO,"41,721,012",3.7
FINAL,1989,TEXAS,"957,645",.
FINAL,1990,NORTH ATLANTIC,"15,154,683",3.2
FINAL,1990,MID-ATLANTIC,"31,182,245",2.3
FINAL,1990,SOUTH ATLANTIC,"57,823,411",4.1
FINAL,1990,GULF OF MEXICO,"40,340,968",3.4
FINAL,1990,TEXAS,"871,125",.
FINAL,1991,NORTH ATLANTIC,"15,286,321",3.2
FINAL,1991,MID-ATLANTIC,"32,684,151",2.3
FINAL,1991,SOUTH ATLANTIC,"59,750,560",4.1
FINAL,1991,GULF OF MEXICO,"48,080,331",3.8
FINAL,1991,TEXAS,"901,102",.
PRELIMINARY,1992,PACIFIC NORTHWEST,"33,402",1.4
FINAL,1992,NORTH ATLANTIC,"15,325,639",3.7
FINAL,1992,MID-ATLANTIC,"31,960,757",2.1
FINAL,1992,SOUTH ATLANTIC,"61,367,749",3.2
FINAL,1992,GULF OF MEXICO,"41,787,336",2.7
FINAL,1992,TEXAS,"1,030,374",.
PRELIMINARY,1993,SOUTHERN CALIFORNIA,"4,037,547",4
PRELIMINARY,1993,NORTHERN CALIFORNIA,"2,151,764",4.8
PRELIMINARY,1993,PACIFIC NORTHWEST,"925,721",4.2
FINAL,1993,NORTH ATLANTIC,"15,904,378",3
FINAL,1993,MID-ATLANTIC,"34,616,241",2.2
FINAL,1993,SOUTH ATLANTIC,"59,819,746",3.2
FINAL,1993,GULF OF MEXICO,"46,701,443",2.9
FINAL,1993,TEXAS,"1,050,415",.
PRELIMINARY,1994,SOUTHERN CALIFORNIA,"4,734,690",3.5
PRELIMINARY,1994,NORTHERN CALIFORNIA,"1,968,081",5.5
PRELIMINARY,1994,PACIFIC NORTHWEST,"536,240",4.2
FINAL,1994,NORTH ATLANTIC,"16,680,994",3.2
FINAL,1994,MID-ATLANTIC,"35,193,457",2.1
FINAL,1994,SOUTH ATLANTIC,"59,443,691",2.7
FINAL,1994,GULF OF MEXICO,"46,292,424",2.5
FINAL,1994,TEXAS,"1,185,798",.
PRELIMINARY,1995,SOUTHERN CALIFORNIA,"4,272,472",4.4
PRELIMINARY,1995,NORTHERN CALIFORNIA,"2,344,545",4.5
PRELIMINARY,1995,PACIFIC NORTHWEST,"698,889",4.1
FINAL,1995,NORTH ATLANTIC,"16,848,715",3.1
FINAL,1995,MID-ATLANTIC,"36,061,832",2.5
FINAL,1995,SOUTH ATLANTIC,"55,741,060",2.8
FINAL,1995,GULF OF MEXICO,"44,176,445",2.4
FINAL,1995,TEXAS,"1,153,270",.
PRELIMINARY,1996,SOUTHERN CALIFORNIA,"3,410,041",4.3
PRELIMINARY,1996,NORTHERN CALIFORNIA,"1,965,353",4.5
PRELIMINARY,1996,PACIFIC NORTHWEST,"1,917,419",6.5
FINAL,1996,NORTH ATLANTIC,"17,010,048",3
FINAL,1996,MID-ATLANTIC,"36,619,544",2.5
