"Region","Year","fit","se.fit","dec.trend","threshold","se.threshold"
"California Current",1981,34685.0544050815,2390.49019016217,34685.0544050815,NA,NA
"California Current",1981.07815631263,34560.7210594315,2361.82615080534,34560.7210594315,NA,NA
"California Current",1981.15631262525,34436.3893830454,2333.47846950828,34436.3893830454,NA,NA
"California Current",1981.23446893788,34312.0610451869,2305.46226896632,34312.0610451869,NA,NA
"California Current",1981.3126252505,34187.7377151206,2277.79239030682,34187.7377151206,NA,NA
"California Current",1981.39078156313,34063.42106211,2250.48335688106,34063.42106211,NA,NA
"California Current",1981.46893787575,33939.1127554193,2223.54933691042,33939.1127554193,NA,NA
"California Current",1981.54709418838,33814.8144643118,2197.00410509017,33814.8144643118,NA,NA
"California Current",1981.625250501,33690.5278580524,2170.86100328625,33690.5278580524,NA,NA
"California Current",1981.70340681363,33566.2546059046,2145.13290049065,33566.2546059046,NA,NA
"California Current",1981.78156312625,33441.9963771323,2119.83215223781,33441.9963771323,NA,NA
"California Current",1981.85971943888,33317.7548409991,2094.97055971936,33317.7548409991,NA,NA
"California Current",1981.9378757515,33193.5316667697,2070.55932887412,33193.5316667697,NA,NA
"California Current",1982.01603206413,33069.328525293,2046.60903129993,33069.328525293,33069.328525293,2046.60903129993
"California Current",1982.09418837675,32945.1474025439,2023.12985222594,32945.1474025439,NA,NA
"California Current",1982.17234468938,32820.9909775596,2000.13180642698,32820.9909775596,NA,NA
"California Current",1982.250501002,32696.8620216201,1977.62403528953,32696.8620216201,NA,NA
"California Current",1982.32865731463,32572.7633060045,1955.61466816223,32572.7633060045,NA,NA
"California Current",1982.40681362725,32448.6976019922,1934.11078029208,32448.6976019922,NA,NA
"California Current",1982.48496993988,32324.6676808625,1913.11835474526,32324.6676808625,NA,NA
"California Current",1982.56312625251,32200.6763138945,1892.64224904035,32200.6763138945,NA,NA
"California Current",1982.64128256513,32076.7262723682,1872.68616723789,32076.7262723682,NA,NA
"California Current",1982.71943887776,31952.8203275626,1853.25263823294,31952.8203275626,NA,NA
"California Current",1982.79759519038,31828.961250757,1834.34300099158,31828.961250757,NA,NA
"California Current",1982.87575150301,31705.1518132307,1815.95739744863,31705.1518132307,NA,NA
"California Current",1982.95390781563,31581.3947862635,1798.09477375142,31581.3947862635,NA,NA
"California Current",1983.03206412826,31457.692949391,1780.75290363569,31457.692949391,NA,NA
"California Current",1983.11022044088,31334.0493844954,1763.9289034123,31334.0493844954,NA,NA
"California Current",1983.18837675351,31210.4675557675,1747.61951611294,31210.4675557675,NA,NA
"California Current",1983.26653306613,31086.9509519254,1731.82062452922,31086.9509519254,NA,NA
"California Current",1983.34468937876,30963.5030616857,1716.52723187501,30963.5030616857,30963.5030616857,1716.52723187501
"California Current",1983.42284569138,30840.1273737656,1701.73348593762,30840.1273737656,30840.1273737656,1701.73348593762
"California Current",1983.50100200401,30716.8273768819,1687.43270984996,30716.8273768819,NA,NA
"California Current",1983.57915831663,30593.6065597525,1673.61743957461,30593.6065597525,30593.6065597525,1673.61743957461
"California Current",1983.65731462926,30470.4684110942,1660.27946812614,30470.4684110942,NA,NA
"California Current",1983.73547094188,30347.4164196241,1647.40989649683,30347.4164196241,NA,NA
"California Current",1983.81362725451,30224.454074059,1634.99919118938,30224.454074059,NA,NA
"California Current",1983.89178356713,30101.5848631168,1623.03724820401,30101.5848631168,NA,NA
"California Current",1983.96993987976,29978.8122755142,1611.51346327505,29978.8122755142,29978.8122755142,1611.51346327505
"California Current",1984.04809619238,29856.1398259036,1600.41691175679,29856.1398259036,29856.1398259036,1600.41691175679
"California Current",1984.12625250501,29733.571394308,1589.73782369009,29733.571394308,29733.571394308,1589.73782369009
"California Current",1984.20440881764,29611.1111308401,1579.46739495677,29611.1111308401,NA,NA
"California Current",1984.28256513026,29488.7631919453,1569.59680056359,29488.7631919453,NA,NA
"California Current",1984.36072144289,29366.5317340681,1560.11718528758,29366.5317340681,NA,NA
"California Current",1984.43887775551,29244.4209136532,1551.01968011716,29244.4209136532,NA,NA
"California Current",1984.51703406814,29122.434887145,1542.29541970208,29122.434887145,29122.434887145,1542.29541970208
"California Current",1984.59519038076,29000.5778109889,1533.93556076346,29000.5778109889,NA,NA
"California Current",1984.67334669339,28878.8538416295,1525.9313014131,28878.8538416295,28878.8538416295,1525.9313014131
"California Current",1984.75150300601,28757.2671355114,1518.27390133095,28757.2671355114,28757.2671355114,1518.27390133095
"California Current",1984.82965931864,28635.8218490791,1510.95470274844,28635.8218490791,NA,NA
"California Current",1984.90781563126,28514.5221387779,1503.96515218597,28514.5221387779,28514.5221387779,1503.96515218597
"California Current",1984.98597194389,28393.3721610525,1497.29682289332,28393.3721610525,28393.3721610525,1497.29682289332
"California Current",1985.06412825651,28272.3761573987,1490.94171067583,28272.3761573987,28272.3761573987,1490.94171067583
"California Current",1985.14228456914,28151.5389580874,1484.89385231724,28151.5389580874,28151.5389580874,1484.89385231724
"California Current",1985.22044088176,28030.8656424707,1479.14818263062,28030.8656424707,NA,NA
"California Current",1985.29859719439,27910.3612907899,1473.69968475011,27910.3612907899,NA,NA
"California Current",1985.37675350701,27790.0309832869,1468.54334064686,27790.0309832869,27790.0309832869,1468.54334064686
