"Year","Region","CPUE"
1996,"Alaska",1.40251816592372
1997,"Alaska",1.3065407259798
1998,"Alaska",1.44859720065746
1999,"Alaska",1.33085079689203
2000,"Alaska",1.24222586426714
2001,"Alaska",1.50465616368102
2002,"Alaska",1.53364264530707
2003,"Alaska",1.60086054950752
2004,"Alaska",1.56734760727793
2005,"Alaska",1.67860346989213
2006,"Alaska",1.39519834694053
2007,"Alaska",1.58550909125454
2008,"Alaska",1.5355079268984
2009,"Alaska",1.56737815287907
2010,"Alaska",1.63383650341995
2011,"Alaska",1.81283598731947
2012,"Alaska",1.65126026405533
2013,"Alaska",1.77946773995741
2014,"Alaska",1.69111999507123
2015,"Alaska",1.8237116042681
2016,"Alaska",1.76714422842185
2017,"Alaska",1.7312026486575
2018,"Alaska",1.56821636293137
2019,"Alaska",1.64417109889011
2020,"Alaska",1.61792202649091
1981,"California Current",3.47858907362316
1982,"California Current",3.24367221618803
1983,"California Current",2.701224998861
1984,"California Current",3.08108681392137
1985,"California Current",2.62991833824751
1986,"California Current",2.80919736847157
1987,"California Current",2.45334471972733
1988,"California Current",2.36656963396531
1989,"California Current",2.58686329384463
1992,"California Current",3.51260403568649
1993,"California Current",2.587743807758
1994,"California Current",2.07529674979082
1995,"California Current",2.0592683940991
1996,"California Current",2.67230134654488
1997,"California Current",2.19942175622743
1998,"California Current",2.6309970474572
1999,"California Current",2.05505861986684
2000,"California Current",1.83978471601028
2004,"California Current",2.35637863802199
2005,"California Current",2.83791754664114
2006,"California Current",2.55700607438035
2007,"California Current",2.0673344677806
2008,"California Current",2.13393334986929
2009,"California Current",1.96438781606526
2010,"California Current",1.89928352651664
2011,"California Current",2.61565060445242
2012,"California Current",2.00592135072776
2013,"California Current",2.06673884901957
2014,"California Current",2.10029721401215
2015,"California Current",2.46270362174475
2016,"California Current",2.1604666516939
2017,"California Current",2.32208032933115
2018,"California Current",3.00173140935706
2019,"California Current",3.10788854380897
2020,"California Current",2.85252682247612
2021,"California Current",2.15376864860253
1981,"Gulf of Mexico",4.70745536332742
1982,"Gulf of Mexico",3.82061424851988
1983,"Gulf of Mexico",3.91760930842093
1984,"Gulf of Mexico",4.20435671309394
1985,"Gulf of Mexico",2.85686109275978
1986,"Gulf of Mexico",3.67248214741829
1987,"Gulf of Mexico",2.86112055932395
1988,"Gulf of Mexico",2.53622715141686
1989,"Gulf of Mexico",3.05593196794788
1990,"Gulf of Mexico",3.20608698998578
1991,"Gulf of Mexico",4.07156693949433
1992,"Gulf of Mexico",3.57221823910097
1993,"Gulf of Mexico",3.55291886148516
1994,"Gulf of Mexico",3.2881596054298
1995,"Gulf of Mexico",3.52843093142746
1996,"Gulf of Mexico",3.05456768999788
1997,"Gulf of Mexico",3.50048533521981
1998,"Gulf of Mexico",2.93349667005766
1999,"Gulf of Mexico",3.04758842036233
2000,"Gulf of Mexico",2.7823774841586
2001,"Gulf of Mexico",2.83981816575095
2002,"Gulf of Mexico",3.20714268363449
2003,"Gulf of Mexico",2.67240983735339
2004,"Gulf of Mexico",2.94313835419928
2005,"Gulf of Mexico",2.25496301828117
2006,"Gulf of Mexico",3.01584175860342
2007,"Gulf of Mexico",2.32986480136468
2008,"Gulf of Mexico",2.97548614617926
2009,"Gulf of Mexico",3.07123085011436
2010,"Gulf of Mexico",2.49664000248626
2011,"Gulf of Mexico",2.29363648438066
2012,"Gulf of Mexico",2.52558646323713
2013,"Gulf of Mexico",2.89713158421466
2014,"Gulf of Mexico",3.27255519105014
2015,"Gulf of Mexico",3.70159341841699
2016,"Gulf of Mexico",3.43864792843699
2017,"Gulf of Mexico",2.85984723760204
2018,"Gulf of Mexico",2.61797488468382
2019,"Gulf of Mexico",2.61894619543492
2020,"Gulf of Mexico",1.72353746751959
2021,"Gulf of Mexico",1.83975129062217
1981,"Northeast",4.05755792074078
1982,"Northeast",3.14557432824772
1983,"Northeast",3.56639590828907
1984,"Northeast",3.27482909641404
1985,"Northeast",3.73174780778052
1986,"Northeast",4.05034825483637
1987,"Northeast",3.37051379720237
1988,"Northeast",2.62671444431697
1989,"Northeast",2.88414412308253
1990,"Northeast",2.36123698144167
1991,"Northeast",2.86089177942631
1992,"Northeast",2.36549537418754
1993,"Northeast",1.94908807431675
1994,"Northeast",2.2997040489161
1995,"Northeast",1.62367775181005
1996,"Northeast",1.48407796949117
1997,"Northeast",1.53711096922029
1998,"Northeast",1.40981762933462
1999,"Northeast",1.33683799914522
2000,"Northeast",2.07103136311265
2001,"Northeast",1.20730270516985
2002,"Northeast",1.2625602063409
2003,"Northeast",1.44943466772829
2004,"Northeast",1.20856323292488
2005,"Northeast",1.06408507768678
2006,"Northeast",1.20475697068072
2007,"Northeast",1.43477586968092
2008,"Northeast",1.19909791483516
2009,"Northeast",0.980688407447332
2010,"Northeast",1.28398841239305
2011,"Northeast",1.2173972662649
2012,"Northeast",1.32494591085252
2013,"Northeast",1.50362004691453
2014,"Northeast",1.54233937803051
2015,"Northeast",1.47391271962198
2016,"Northeast",1.4453958482864
2017,"Northeast",1.7525968971026
2018,"Northeast",1.34824332608071
2019,"Northeast",1.38562763797778
2020,"Northeast",1.46196893253803
2021,"Northeast",1.76190842514976
1981,"Southeast",3.2426124049635
1982,"Southeast",3.01572729333411
1983,"Southeast",2.49350339942312
1984,"Southeast",2.46948619419618
1985,"Southeast",2.93648448756734
1986,"Southeast",2.82139083150847
1987,"Southeast",1.58785562507328
1988,"Southeast",1.7302271646411
1989,"Southeast",1.62102327390211
1990,"Southeast",1.55279635786273
1991,"Southeast",1.69529524074753
1992,"Southeast",1.71360375300714
1993,"Southeast",1.47047377967803
1994,"Southeast",1.51934187599488
1995,"Southeast",1.33417439496127
1996,"Southeast",1.21814745739177
1997,"Southeast",1.12441765021807
1998,"Southeast",1.30725850242588
1999,"Southeast",2.19968772275776
2000,"Southeast",1.90235430635605
2001,"Southeast",1.971221927434
2002,"Southeast",2.18309410175526
2003,"Southeast",2.22801243136015
2004,"Southeast",1.9466436860698
2005,"Southeast",1.52701751560903
2006,"Southeast",1.62877013683623
2007,"Southeast",1.54728998563256
2008,"Southeast",1.60940802884428
2009,"Southeast",1.87587452483141
2010,"Southeast",1.3138938995055
2011,"Southeast",1.80835782938913
2012,"Southeast",1.61500017163311
2013,"Southeast",2.04689959361345
2014,"Southeast",1.94219636093517
2015,"Southeast",1.80275572207775
2016,"Southeast",1.81123726832184
2017,"Southeast",1.48641710766904
2018,"Southeast",1.3883738164702
2019,"Southeast",1.55991187467685
2020,"Southeast",1.93293259465528
2021,"Southeast",1.30875877568488
2004,"Hawai'i",1.4238100230912
2005,"Hawai'i",1.71246270345365
2006,"Hawai'i",1.78552372610333
2007,"Hawai'i",1.2920015787813
2008,"Hawai'i",1.72072055695926
2009,"Hawai'i",2.6993854905119
2010,"Hawai'i",2.04712768227325
