"Year","Region","RCatch","SE"
1996,"Alaska",1043.632,0
1997,"Alaska",1066.75,0
1998,"Alaska",1018.81,0
1999,"Alaska",1230.494,0
2000,"Alaska",1215,0
2001,"Alaska",1337.856,0
2002,"Alaska",1311.95,0
2003,"Alaska",1389.627,0
2004,"Alaska",1578.993,0
2005,"Alaska",1769.99,0
2006,"Alaska",1312.604,0
2007,"Alaska",1669.002,0
2008,"Alaska",1435.574,0
2009,"Alaska",1432.22,0
2010,"Alaska",1325.244,0
2011,"Alaska",1336.41,0
2012,"Alaska",1213.422,0
2013,"Alaska",1596.058,0
2014,"Alaska",1482.243,0
2015,"Alaska",1623.355,0
2016,"Alaska",1382.573,0
2017,"Alaska",1405.534,0
2018,"Alaska",1213.329,0
2019,"Alaska",1364.2,0
2020,"Alaska",915.142,0
1981,"California Current",37393.702,1800560.885
1982,"California Current",35036.24,1761695.558
1983,"California Current",28458.81,1623679.87
1984,"California Current",31099.187,1698129.624
1985,"California Current",25984.298,1424154.586
1986,"California Current",30729.928,2119529.475
1987,"California Current",24404.757,1390833.803
1988,"California Current",29198.18,1529524.438
1989,"California Current",24262.985,1748827.493
1992,"California Current",117.328,1407.936
1993,"California Current",18411.88,802941.532
1994,"California Current",15023.096,683583.355
1995,"California Current",15065.414,711529.598
1996,"California Current",19488.594,1656889.566
1997,"California Current",16112.911,830837.084
1998,"California Current",18324.484,1932444.919
1999,"California Current",12436.253,961263.889
2000,"California Current",14736.464,1004434.473
2001,"California Current",17724.187,1800268.356
2002,"California Current",17748.831,1634631.506
2003,"California Current",16882.628,987053.051
2004,"California Current",938.449,0
2005,"California Current",12354.437,0
2006,"California Current",11205.67,0
2007,"California Current",7765.545,0
2008,"California Current",7803.105,0
2009,"California Current",8203.588,0
2010,"California Current",7306.614,0
2011,"California Current",9040.175,0
2012,"California Current",8938.203,0
2013,"California Current",9007.687,0
2014,"California Current",8139.328,0
2015,"California Current",9487.381,0
2016,"California Current",7974.6,0
2017,"California Current",8676.553,0
2018,"California Current",7092.536,0
2019,"California Current",7394.161,0
2020,"California Current",5146.198,0
2021,"California Current",7269.947,0
1981,"Gulf of Mexico",137382.994,16217897.754
1982,"Gulf of Mexico",134688.095,5796299.427
1983,"Gulf of Mexico",151562.706,9680716.24
1984,"Gulf of Mexico",169413.633,16803777.3
