"Region","Year","fit","se.fit","inc.trend","dec.trend","threshold","se.threshold"
"Northeast",1981,45048.4886860742,1949.76663682651,NA,NA,NA,NA
"Northeast",1981.07815631263,45044.7367171458,1901.1861259035,NA,NA,NA,NA
"Northeast",1981.15631262525,45040.9651503615,1853.43625875709,NA,NA,NA,NA
"Northeast",1981.23446893788,45037.1543878687,1806.59991782496,NA,NA,NA,NA
"Northeast",1981.3126252505,45033.2848318119,1760.76171316787,NA,NA,NA,NA
"Northeast",1981.39078156313,45029.3368843356,1716.00777743735,NA,NA,NA,NA
"Northeast",1981.46893787575,45025.2909475855,1672.4254804127,NA,NA,NA,NA
"Northeast",1981.54709418838,45021.1274237069,1630.10304773667,NA,NA,NA,NA
"Northeast",1981.625250501,45016.8267148452,1589.12906780013,NA,NA,NA,NA
"Northeast",1981.70340681363,45012.3692231449,1549.59187089374,NA,NA,NA,NA
"Northeast",1981.78156312625,45007.7353507525,1511.57876616536,NA,NA,NA,NA
"Northeast",1981.85971943888,45002.9054998121,1475.17512501111,NA,NA,NA,NA
"Northeast",1981.9378757515,44997.8600724699,1440.46330472837,NA,NA,NA,NA
"Northeast",1982.01603206413,44992.5794764477,1407.52141842866,NA,NA,NA,NA
"Northeast",1982.09418837675,44987.0452281867,1376.42276682436,NA,NA,NA,NA
"Northeast",1982.17234468938,44981.2412825531,1347.23480288978,NA,NA,NA,NA
"Northeast",1982.250501002,44975.1519189524,1320.01531967666,NA,NA,NA,NA
"Northeast",1982.32865731463,44968.7614167881,1294.81043557715,NA,NA,NA,NA
"Northeast",1982.40681362725,44962.054055465,1271.65292725729,NA,NA,NA,NA
"Northeast",1982.48496993988,44955.0141143878,1250.5607131792,NA,NA,NA,NA
"Northeast",1982.56312625251,44947.6258729606,1231.53557995018,NA,NA,NA,NA
"Northeast",1982.64128256513,44939.8736105876,1214.56223968071,NA,NA,NA,NA
"Northeast",1982.71943887776,44931.741606674,1199.6077931505,NA,NA,NA,NA
"Northeast",1982.79759519038,44923.2141406238,1186.6216514043,NA,NA,NA,NA
"Northeast",1982.87575150301,44914.2754918415,1175.53593951503,NA,NA,NA,NA
"Northeast",1982.95390781563,44904.9099397315,1166.2663740526,NA,NA,NA,NA
"Northeast",1983.03206412826,44895.1020258458,1158.71366735129,NA,NA,NA,NA
"Northeast",1983.11022044088,44884.8458912676,1152.7687992743,NA,NA,NA,NA
"Northeast",1983.18837675351,44874.1478154602,1148.31718661871,NA,NA,NA,NA
"Northeast",1983.26653306613,44863.0148565825,1145.23717281014,NA,NA,NA,NA
"Northeast",1983.34468937876,44851.4540727938,1143.40158110664,NA,NA,NA,NA
"Northeast",1983.42284569138,44839.4725222528,1142.67950461389,NA,NA,NA,NA
"Northeast",1983.50100200401,44827.077263119,1142.93802058691,NA,NA,NA,NA
"Northeast",1983.57915831663,44814.2753535514,1144.04378434271,NA,NA,NA,NA
"Northeast",1983.65731462926,44801.0738517095,1145.86447209138,NA,NA,NA,NA
"Northeast",1983.73547094188,44787.4798157521,1148.27005533308,NA,NA,NA,NA
"Northeast",1983.81362725451,44773.5003038379,1151.13390121377,NA,NA,NA,NA
"Northeast",1983.89178356713,44759.1423741269,1154.3337028727,NA,NA,NA,NA
"Northeast",1983.96993987976,44744.4130847776,1157.75225116933,NA,NA,NA,NA
"Northeast",1984.04809619238,44729.3206367479,1161.27891162161,NA,NA,NA,NA
"Northeast",1984.12625250501,44713.8893306117,1164.82140108498,NA,NA,NA,NA
"Northeast",1984.20440881764,44698.1553681156,1168.30353178023,NA,NA,NA,NA
"Northeast",1984.28256513026,44682.1552300095,1171.65663024247,NA,NA,NA,NA
"Northeast",1984.36072144289,44665.9253970436,1174.81905244369,NA,NA,NA,NA
"Northeast",1984.43887775551,44649.5023499679,1177.73589451517,NA,NA,NA,NA
"Northeast",1984.51703406814,44632.9225695326,1180.35870605672,NA,NA,NA,NA
"Northeast",1984.59519038076,44616.2225364878,1182.64521459002,NA,NA,NA,NA
"Northeast",1984.67334669339,44599.4387315833,1184.55906781386,NA,NA,NA,NA
"Northeast",1984.75150300601,44582.6076355693,1186.06959875258,NA,NA,NA,NA
"Northeast",1984.82965931864,44565.7657291957,1187.15161762942,NA,NA,NA,NA
"Northeast",1984.90781563126,44548.9494932128,1187.78523329229,NA,NA,NA,NA
"Northeast",1984.98597194389,44532.1954083704,1187.95570623565,NA,NA,NA,NA
"Northeast",1985.06412825651,44515.5418732365,1187.65535732895,NA,NA,NA,NA
"Northeast",1985.14228456914,44499.0405626197,1186.89519118772,NA,NA,NA,NA
