Estimate Status,Year,Region,Common Name,Total Harvest (A+B1),PSE Harvest,Released (B2),PSE Released
PRELIMINARY,1981,SOUTHERN CALIFORNIA,ALL SPECIES,"14,000,111",1.5,"10,021,012",1.9
PRELIMINARY,1981,NORTHERN CALIFORNIA,ALL SPECIES,"12,778,774",6.3,"1,632,043",4.6
PRELIMINARY,1981,PACIFIC NORTHWEST,ALL SPECIES,"10,614,817",7.4,"1,593,700",3.4
FINAL,1981,NORTH ATLANTIC,ALL SPECIES,"66,975,477",9.8,"19,913,804",13.5
FINAL,1981,MID-ATLANTIC,ALL SPECIES,"111,930,801",7,"48,631,089",10.3
FINAL,1981,SOUTH ATLANTIC,ALL SPECIES,"139,748,981",12.3,"69,980,440",9
FINAL,1981,GULF OF MEXICO,ALL SPECIES,"128,142,358",10.5,"92,541,200",9.9
FINAL,1981,TEXAS,ALL SPECIES,"9,240,636",29.9,.,.
PRELIMINARY,1982,SOUTHERN CALIFORNIA,ALL SPECIES,"16,404,619",1.9,"14,543,002",4.7
PRELIMINARY,1982,NORTHERN CALIFORNIA,ALL SPECIES,"9,041,293",4.9,"1,956,810",15.3
PRELIMINARY,1982,PACIFIC NORTHWEST,ALL SPECIES,"9,590,328",10.5,"1,487,159",5
FINAL,1982,NORTH ATLANTIC,ALL SPECIES,"58,089,044",7.3,"24,803,299",23.6
FINAL,1982,MID-ATLANTIC,ALL SPECIES,"89,205,047",6.2,"40,237,271",7.4
FINAL,1982,SOUTH ATLANTIC,ALL SPECIES,"164,692,417",11.7,"53,980,520",7.8
FINAL,1982,GULF OF MEXICO,ALL SPECIES,"130,657,396",4.1,"100,618,101",4.9
FINAL,1982,TEXAS,ALL SPECIES,"4,030,699",10.9,.,.
PRELIMINARY,1983,SOUTHERN CALIFORNIA,ALL SPECIES,"12,532,756",2.7,"12,620,826",4.2
PRELIMINARY,1983,NORTHERN CALIFORNIA,ALL SPECIES,"9,437,382",7.5,"2,141,169",7.9
PRELIMINARY,1983,PACIFIC NORTHWEST,ALL SPECIES,"6,488,672",8.9,"1,300,587",5.9
FINAL,1983,NORTH ATLANTIC,ALL SPECIES,"45,876,952",9.8,"11,577,492",7.5
FINAL,1983,MID-ATLANTIC,ALL SPECIES,"113,260,391",5.6,"61,389,435",5.1
FINAL,1983,SOUTH ATLANTIC,ALL SPECIES,"141,659,429",5.3,"64,709,951",5.8
FINAL,1983,GULF OF MEXICO,ALL SPECIES,"148,934,096",6.5,"125,929,978",6.2
FINAL,1983,TEXAS,ALL SPECIES,"2,225,263",.,.,.
PRELIMINARY,1984,SOUTHERN CALIFORNIA,ALL SPECIES,"14,203,769",1.8,"12,373,476",1.9
PRELIMINARY,1984,NORTHERN CALIFORNIA,ALL SPECIES,"13,059,008",9.9,"2,200,777",3.7
PRELIMINARY,1984,PACIFIC NORTHWEST,ALL SPECIES,"3,836,410",3.9,"1,165,362",4.8
FINAL,1984,NORTH ATLANTIC,ALL SPECIES,"39,177,972",6.8,"14,438,931",7.7
FINAL,1984,MID-ATLANTIC,ALL SPECIES,"104,685,375",6.5,"66,184,910",5.8
FINAL,1984,SOUTH ATLANTIC,ALL SPECIES,"138,391,125",7.1,"61,387,173",6.8
FINAL,1984,GULF OF MEXICO,ALL SPECIES,"168,037,773",10,"119,181,977",6.5
FINAL,1984,TEXAS,ALL SPECIES,"1,687,200",.,.,.
PRELIMINARY,1985,SOUTHERN CALIFORNIA,ALL SPECIES,"13,811,739",2.3,"13,792,983",3.3
PRELIMINARY,1985,NORTHERN CALIFORNIA,ALL SPECIES,"8,296,533",10.3,"2,199,187",8.7
PRELIMINARY,1985,PACIFIC NORTHWEST,ALL SPECIES,"3,876,026",6.5,"1,202,287",5.4
FINAL,1985,NORTH ATLANTIC,ALL SPECIES,"51,213,212",8.1,"16,337,196",9.3
FINAL,1985,MID-ATLANTIC,ALL SPECIES,"117,634,024",5.5,"64,294,630",4.6
FINAL,1985,SOUTH ATLANTIC,ALL SPECIES,"160,847,547",12.9,"57,347,273",13.1
FINAL,1985,GULF OF MEXICO,ALL SPECIES,"111,248,176",6.9,"89,600,418",5.6
FINAL,1985,TEXAS,ALL SPECIES,"1,982,193",.,.,.
PRELIMINARY,1986,SOUTHERN CALIFORNIA,ALL SPECIES,"15,570,393",3,"19,763,159",4.3
PRELIMINARY,1986,NORTHERN CALIFORNIA,ALL SPECIES,"7,978,404",6.4,"3,248,607",9.5
PRELIMINARY,1986,PACIFIC NORTHWEST,ALL SPECIES,"7,181,131",15.9,"1,570,798",5.1
FINAL,1986,NORTH ATLANTIC,ALL SPECIES,"57,818,893",9.5,"17,435,080",9.2
FINAL,1986,MID-ATLANTIC,ALL SPECIES,"125,670,093",5.4,"82,191,846",4.6
FINAL,1986,SOUTH ATLANTIC,ALL SPECIES,"162,309,347",15,"83,046,897",12.6
FINAL,1986,GULF OF MEXICO,ALL SPECIES,"125,634,770",8,"85,503,316",3.7
FINAL,1986,TEXAS,ALL SPECIES,"2,315,314",.,.,.
PRELIMINARY,1987,SOUTHERN CALIFORNIA,ALL SPECIES,"13,787,344",4.2,"16,984,307",7.4
PRELIMINARY,1987,NORTHERN CALIFORNIA,ALL SPECIES,"6,297,663",8.5,"2,964,982",8.5
PRELIMINARY,1987,PACIFIC NORTHWEST,ALL SPECIES,"4,319,750",6.4,"2,032,064",8.3
FINAL,1987,NORTH ATLANTIC,ALL SPECIES,"43,256,726",8.8,"15,068,628",8.5
FINAL,1987,MID-ATLANTIC,ALL SPECIES,"103,922,172",5.6,"69,152,270",6.1
FINAL,1987,SOUTH ATLANTIC,ALL SPECIES,"94,117,681",16.8,"60,219,155",22.2
FINAL,1987,GULF OF MEXICO,ALL SPECIES,"99,209,701",4.5,"113,507,277",7.2
FINAL,1987,TEXAS,ALL SPECIES,"2,516,331",.,.,.
PRELIMINARY,1988,SOUTHERN CALIFORNIA,ALL SPECIES,"14,153,194",3.8,"14,724,840",4
PRELIMINARY,1988,NORTHERN CALIFORNIA,ALL SPECIES,"9,077,632",5.6,"4,317,233",6.7
PRELIMINARY,1988,PACIFIC NORTHWEST,ALL SPECIES,"5,967,354",8.1,"2,981,726",7.7
FINAL,1988,NORTH ATLANTIC,ALL SPECIES,"37,392,426",6.8,"12,982,048",6
FINAL,1988,MID-ATLANTIC,ALL SPECIES,"77,836,102",6,"59,163,305",5.7
FINAL,1988,SOUTH ATLANTIC,ALL SPECIES,"95,839,724",6.7,"45,231,437",5.3
FINAL,1988,GULF OF MEXICO,ALL SPECIES,"100,500,609",4.3,"120,225,173",3.7
FINAL,1988,TEXAS,ALL SPECIES,"2,138,000",.,.,.
PRELIMINARY,1989,SOUTHERN CALIFORNIA,ALL SPECIES,"10,569,045",4.7,"12,458,139",6.5
PRELIMINARY,1989,NORTHERN CALIFORNIA,ALL SPECIES,"5,830,694",6.1,"2,661,592",5.6
PRELIMINARY,1989,PACIFIC NORTHWEST,ALL SPECIES,"7,863,246",11.4,"1,907,718",8.5
FINAL,1989,NORTH ATLANTIC,ALL SPECIES,"42,227,565",7.5,"13,277,357",6.2
FINAL,1989,MID-ATLANTIC,ALL SPECIES,"83,336,323",4.3,"66,729,734",4.4
FINAL,1989,SOUTH ATLANTIC,ALL SPECIES,"91,168,560",6.5,"51,154,825",5.1
FINAL,1989,GULF OF MEXICO,ALL SPECIES,"128,130,563",6.1,"143,786,481",5.3
FINAL,1989,TEXAS,ALL SPECIES,"1,743,589",.,.,.
FINAL,1990,NORTH ATLANTIC,ALL SPECIES,"28,573,893",8.9,"13,148,004",6.7
