"Year","Count","Dollars","Category"
2005,95164,6078624103.82,"Tourism"
2006,97029,6303728847.91,"Tourism"
2007,98871,6351512974.94,"Tourism"
2008,96449,5894958018.09,"Tourism"
2009,90955,5260889025.56,"Tourism"
2010,90777,5453596171.43,"Tourism"
2011,93206,5848280218.27,"Tourism"
2012,96508,6256115545.2,"Tourism"
2013,99989,6566590723.52,"Tourism"
2014,101922,6725741370.14,"Tourism"
2015,103512,7167820752.45,"Tourism"
2016,110729,NA,"Tourism"
2005,67687479,14385719922.7,"Visitors"
2006,69145854,14673464902.73,"Visitors"
2007,69135310,14681112325.07,"Visitors"
2008,63130133,12802195242.41,"Visitors"
2009,60255061,11128730192.78,"Visitors"
2010,64951433,12317241392.08,"Visitors"
2011,67825871,13254377091.01,"Visitors"
2012,73663903,15320708039.6,"Visitors"
2013,74049772,15225957008.02,"Visitors"
2014,75269197,15418217750.63,"Visitors"
2015,78086081,15388839684.87,"Visitors"
2016,79669135,16052814059.64,"Visitors"
2005,2090,68572497.27,"Living Resources"
2006,2001,69149955.14,"Living Resources"
2007,2033,68321001.88,"Living Resources"
2008,1974,60329977.32,"Living Resources"
2009,1908,58699650.84,"Living Resources"
2010,1931,67970254.35,"Living Resources"
2011,2040,70284249.9,"Living Resources"
2012,2135,72940463.6,"Living Resources"
2013,2129,74685736.8,"Living Resources"
2014,2159,70978308.8,"Living Resources"
2015,2219,88833635.52,"Living Resources"
2016,NA,NA,"Living Resources"
