GEO_ID,GEO_ID2,SUMLEVEL,GEO_NAME,Geography,REGION,PRIMARY_LATITUDE,PRIMARY_LONGITUDE,TOTPOP,PCTMALES,PCTFEMALE,POPCHPCT,POPDENS,POP0_5PCT,POP85PCT,MEDAGE,POPWAPCT,POPBAPCT,POPNAPCT,POPAAPCT,POPPAPCT,POPHSPCT,POPWNPCT,TOTHU,PCTVACANT,HMOWNVAC,RENTVAC,PCTMBLHM,PCTBLT2014,PCTBLT2010_13,PCTBLT2000_09,PCTBLT2005,PCTBLT2000_04,PCTBLT2010,HUMNR,PCTOWNER,PCTRENTER,MOV2015,MOV2010_14,MOV2000_09,MOV2005,MOV2000_04,MOV2010,PCTNOVHCL,HOUSHEATFUEL,PCTNOPLBG,MEDHOMVAL,MED_MTMRG,OWNRMTHLYCST,MED_GRRNT,RENTRMTHLYCST,TOTHH,PCTHFOFMNOHS,PCTHHUNDR18,PCTHHUOVER65,AVGHHSZE,PCTMALESEPARATD,PCTMALEDIVORCD,PCTFEMALESEPARATD,PCTFEMALEDIVORCD,PCTPOP9THGRD,PCTNODIPLOMA,PCTPOPHSGRD,PCTBATCHLRS,PCTLIVESMHS,PCTLIVEDRCO,PCTLIVDFST,PCTFORBRN,PCTSPKENGNTWL,PCTLABFORCE,PCTEMPLOYED,PCTUNEMPLD,PCTLABFEMALE,PCTEMPFEMA,MEANTRAVTIM,PCTSERVOCC,PCTFRMFSHOCC,PCTAGRFRFSH,PCTSERVIND,PCTSLFEMP,PCTHHHUNDR10K,PCTHH200K,MEDHHINC,MEANHHINC,PCTRECSOC,PCTRECRET,MEANRETINC,PCTRECSSI,PUBLICASSIST,PERCPHHINC,PCTFMINPOV,PCTPOV,PCTCHLDPOV,PCT65POV,MEDDWELLAGE,MDYRSRESID,HASMORTGAGE,HSMORTGAGELON,PCTGRPQRTRS,GINIINDX,PCTCHGRNT,PCTCHGMRG,PCTCHNGHOMVAL,PCTCHGRENTER,PCTCHGUNEM,PCTCHGRAVTIM,PCTWTRCVG,NEARCTYPOP,CSTOFLIVNG,MARINANUM,NUMBOTRMPS,EPAREGFAC,CRIMINDEX,HAILRSKAVG,HURRSKAVG,TORNRSKAVG,WNDRSKAVG,POUNDS_15,VALUE_15,DEALERNUM_15,COMMPMT_15,PNDSPRPOP_15,VALUPRPOP_15,DEALERNUMPRPOP_15,COMMPRPOP_15,RECPSSRMODESH_15,RECPSSRMODECH,RECPSSRMODEPR_15,RECPSSRMODESHPOP_15,RECPSSRMODECHPOP_15,RECPSSRMODEPRPOP_15
0600000US1500190630,1500190630,60,"Hilo, HI","Hilo CCD, Hawaii County, Hawaii",Hawaii,19.6869881,-155.2335958,47409,49.5,50.5,11.74779022,158.9359286,5.1,3.6,40.6,18.6,0.8,0.2,32.6,10,10.9,16.3,18602,13.1,1.7,9.4,0.4,0,0.9,8.8,,,,5.1,64.1,35.9,0.8,23.7,30.3,,,,6.3,0,0.9,296800,1577,25.2,934,47.8,16166,13.8,28.5,36,2.82,2,9.3,1.3,10.2,2.4,5.7,31.1,19.4,89.8,1,2.2,7.5,4.2,55.4,51.4,3.7,53.5,49.9,17.4,19.1,1.341378279,2.5,9.3,6.1,8.9,2.6,53614,67066,39.6,28.6,25012,5.5,5,24859,12,18.3,27.5,8.4,36,13,59.2,0.849011095,3.69339155,0.4505,71.37614679,37.48910201,93.10344828,-7.115191388,-38.33333333,-2.793296089,8.412162609,209.3,5,1,1,661,93.87879,0,34.09091,4,0,456063,1421499,8,104,9619.755743,29983.73727,0.168744331,2.193676306,75,28,79,1.581978105,0.590605159,1.666350271
0600000US1500190720,1500190720,60,"Honokaa-Kukuihaele, HI","Honokaa-Kukuihaele CCD, Hawaii County, Hawaii",Hawaii,20.1072972,-155.5725782,4171,51.7,48.3,7.086007702,36.15945148,5.2,3.3,42.7,35.5,0,0.4,27.7,9.7,6.4,34.2,1396,17.3,4,2.7,0.7,0,1.6,16.5,,,,5.1,70.1,29.9,0,18.4,29.9,,,,5.1,0.3,0,362600,1780,36,1045,52.7,1154,18.8,37,45.8,3.57,1.2,6.8,2.4,8.9,6.4,3.9,35.6,12.7,90.3,0.3,0.3,16.6,5.6,62,57.5,4.5,60.4,56.3,34.4,28.4,8.989334688,16.5,24.1,10,10.3,5.7,59419,70611,52.8,39.1,18697,5.2,2.5,22342,7.6,15.6,23.7,11.6,36,16,66.9,1.73053152,1.342603692,0.4181,71.59277504,69.36251189,131.25,-4.955555556,15.38461538,7.165109034,37.75082254,175,5,0,0,58,114.66667,0,31.66667,0,0,9245,10511,0,16,2216.494845,2520.01918,0,3.836010549,0,0,0,0,0,0
0600000US1500191170,1500191170,60,"Kau, HI","Kau CCD, Hawaii County, Hawaii",Hawaii,19.2356053,-155.5438316,7942,49.3,50.7,36.29655054,8.498082398,7.4,2,47.2,33.2,0.2,0.3,16.2,9.6,15.3,32.3,4285,34,10.5,8.7,1.9,0,1.6,34.1,,,,3.9,73.3,26.7,1.6,19.6,47.6,,,,6,0.1,10.6,148100,1128,39.4,738,64.9,2829,7.2,22.7,40.7,2.8,0.7,10.3,1,8.6,5.3,5.2,44.8,11.2,93.3,0.3,3,18.5,7.1,49.5,43.9,5.5,46,41.8,42.6,25.6,9.258562288,17.2,12.9,20.9,20.3,1.6,34104,47408,43.5,23.6,14399,6.4,5.4,18176,26,35.7,58.9,13.3,22,11,43.3,0,0.428103752,0.5203,71.22969838,50.60080107,70.8189158,3.656063269,-36.04651163,0.235294118,21.89899446,209.1,5,0,2,92,113,0,30,0,0,454789,1707745,3,35,57263.78746,215027.0713,0.377738605,4.40695039,18,3,0,2.266431629,0.377738605,0
0600000US1500191350,1500191350,60,"Keaau-Mountain View, HI","Keaau-Mountain View CCD, Hawaii County, Hawaii",Hawaii,19.5585499,-155.0949534,34124,50.7,49.3,50.07476471,147.0506963,5.7,2.1,41,33.9,1,0.6,23.7,18.5,17.7,29.5,14302,15.5,2.4,4.9,0.4,0,2.1,31.3,,,,4.8,70.9,29.1,1,22.6,42.4,,,,3.5,0,3.6,218500,1312,35.6,1033,52.5,12087,14,29.1,26.6,2.82,5.3,10.1,2.1,13.8,4,6.6,32.6,15.3,91,1.4,2.7,12.3,8.3,50.9,46.9,4,50.2,47.6,30.6,21.8,3.426503427,5.4,12.5,12.5,17.7,1.3,41781,51297,31.7,16.8,26896,7.6,8.1,19538,21.4,26.8,38,15.9,22,11,62.3,0.467016929,0.152385418,0.4828,65.28,45.93993326,99.72577697,5.161288869,-34.42622951,-0.649350649,14.50650503,214.9,5,0,0,132,98.26667,0,33.46667,3.2,0,446409,1269202,0,66,13081.96577,37193.82253,0,1.934122612,3,0,0,0.087914664,0,0
0600000US1500192430,1500192430,60,"North Hilo, HI","North Hilo CCD, Hawaii County, Hawaii",Hawaii,19.617504,-155.4204305,1661,50.3,49.7,-3.430232558,5.220078777,6.1,1.4,40.2,35.7,0,0.1,30.9,5.1,13.4,30,871,33.2,1.8,26.4,0.9,0,4.5,19.9,,,,5.1,74.4,25.6,1.4,18.9,37.1,,,,0.5,0,0,271800,1932,36.8,807,55.8,582,6.9,45.7,31.8,2.85,0,6.6,0.7,7.5,2.2,8.2,25,17.7,96.4,0,1.7,17.6,1.9,58.9,52,6.2,55.2,50.7,46.9,28.2,0,3.3,24.9,5.8,3.4,0.5,48409,57408,41.6,27,20108,6.2,2.6,22041,11.8,12.5,10.8,16.6,31,13,43.9,0,0,0.3779,11.92787795,136.7647059,146.1956522,20.34015748,169.5652174,25.06666667,13.39553181,193,5,0,1,37,192,0,33.5,3.5,0,1648,3991,0,2,992.1733895,2402.769416,0,1.204093919,1,0,0,0.60204696,0,0
0600000US1500192520,1500192520,60,"North Kohala, HI","North Kohala CCD, Hawaii County, Hawaii",Hawaii,20.176362,-155.8227292,6490,51,49,7.485922491,46.03821137,6.1,1.9,39.8,22.8,0.1,0,17.4,15.7,12.4,21.2,2554,25,4,6.7,0,0.2,0.8,21.3,,,,5,70.2,29.8,0,22,27.9,,,,3.1,0,2.3,346400,1435,22.3,1194,31.9,1915,13.2,38.2,40.6,3.38,0.6,7.4,1.7,9,2.6,5.2,43.7,16.4,92,0.1,0.8,7.7,3.2,62.4,56.4,6,57.9,55,31.8,43.5,3.902092941,6.8,38.5,10.4,3.4,4,63879,73483,45.1,27.6,22689,3.7,2.1,23428,15.8,21.7,34.4,14.7,27,15,51.3,0,0.32357473,0.4065,61.56968877,15.26104418,95.81684568,0.53911368,130.7692308,6.35451505,46.52489489,151.7,5,0,0,40,127.5,0,25.5,0,0,40753,118155,2,21,6279.352851,18205.70108,0.30816641,3.235747304,8,0,0,1.232665639,0,0
0600000US1500192610,1500192610,60,"North Kona, HI","North Kona CCD, Hawaii County, Hawaii",Hawaii,19.6685679,-155.9187231,41213,50.7,49.3,44.38916722,84.85190837,7,1.9,40.1,45.8,0.6,0.5,14.4,13.5,13.4,43,19804,29.6,1.9,15,0.1,0,1.1,24.5,,,,4.6,60.7,39.3,2.2,36.2,36.4,,,,4.1,0,0.2,428800,2034,43.5,1174,42.1,13946,8.6,30.4,32.4,2.89,1.2,10.5,1.2,13.1,1.8,7.3,30.2,19.3,79.5,0.6,4.6,14.5,7.4,66.6,61.4,5.1,62,57.7,19.9,27.4,1.030273438,2.7,21.7,11.4,5.7,3.5,63176,77842,34.8,19.3,36047,2.6,4.2,28507,10.9,15,22.1,7.1,29,8,69.3,1.34751773,2.164365613,0.4299,57.58389262,42.93745608,83.32620778,-5.244133822,88.88888889,-2.926829268,19.64255496,165.5,5,1,6,486,104.95,0,25.2,0,0,1314738,2932621,16,298,31901.05064,71157.6687,0.388227016,7.230728168,59,3880,142,1.431587121,94.14505132,3.445514765
0600000US1500192700,1500192700,60,"Paauhau-Paauilo, HI","Paauhau-Paauilo CCD, Hawaii County, Hawaii",Hawaii,19.8281713,-155.4950401,3270,49.7,50.3,47.76321735,7.045108908,8.8,2.4,36.2,31,0,0,36.3,6.4,4.9,28.6,1021,18.1,8.1,0,1.5,0,0,14.5,,,,5.1,72.1,27.9,0,21.1,31.8,,,,1.7,0,1.2,317400,1658,31.2,1103,23.8,836,10.3,37.6,34.3,3.91,2.9,4.8,0.6,7.9,5.8,6.5,33.1,14.8,93.5,0,1.9,16.3,7,66.4,62.3,4,66.9,64,41,31.9,5.997474747,6.3,27.2,5.6,2.8,5.9,49963,76646,41.1,33.1,14010,3.5,1.2,22614,9.9,10.3,14.7,0.9,36,14,63.8,2.487562189,0,0.4072,79.3495935,70.4008222,179.8941799,21.58693182,-14.89361702,3.797468354,8.606505177,181.3,5,0,0,45,78,0,29,0,0,19075,44360,1,12,5833.333333,13565.74924,0.305810398,3.669724771,0,0,0,0,0,0
0600000US1500192790,1500192790,60,"Pahoa-Kalapana, HI","Pahoa-Kalapana CCD, Hawaii County, Hawaii",Hawaii,19.427903,-155.0891095,10226,48.6,51.4,18.9484704,38.16808528,5.3,1.1,47.5,42.1,0.7,2.3,14.8,13.7,16,40.3,5447,25.7,3.2,7,0.1,0,1.4,29.4,,,,4.7,67.4,32.6,1.9,22.4,37.9,,,,7.4,0.1,3.7,190700,1236,42.4,1033,64.2,4045,14.8,22.8,38.6,2.52,3.2,18.6,1.8,15.7,1.8,5.6,29.1,13.5,81.9,0.5,5.2,10.2,5.5,46.7,38.2,8.5,42.2,34.7,32.7,19.6,2.667952427,5.6,11.3,15.9,16.9,1.2,29641,43328,47.3,30.3,20140,9.6,11.2,18598,23,31.6,49,8.7,24,12,38.4,0.110051357,0.176021905,0.4912,69.90131579,68.85245902,121.2296984,2.471241171,-9.574468085,3.80952381,29.47277556,226.6,5,0,1,76,107.16667,0,32.5,2.666667,0,269744,934070,0,36,26378.25152,91342.65597,0,3.520438099,4,1,3,0.391159789,0.097789947,0.293369842
0600000US1500192880,1500192880,60,"Papaikou-Wailea, HI","Papaikou-Wailea CCD, Hawaii County, Hawaii",Hawaii,19.8307533,-155.1516688,4877,49.9,50.1,-1.693207015,50.24503448,3.9,3.6,46.2,33.9,0.8,0,27,7.9,9.5,30,2067,17.9,3.6,9.8,0.9,0,0.5,13.2,,,,5.1,69.3,30.7,0.2,23.4,30.2,,,,4.7,0,3.3,276800,1816,48.8,979,41,1698,12.5,25.7,43.1,2.86,1.1,4.8,1.4,6.8,3.9,4.6,30.6,23.1,94.5,1.1,1,15,7.8,55.5,51.7,3.8,51.7,48.5,25.9,16.5,2.207293666,4.8,10.4,9.8,7.2,0.6,48393,59477,41.3,26.6,32290,6.9,6.7,22644,13.3,17.5,27.6,8.6,42,14,49.4,0.169923534,0.451096986,0.407,100.6147541,89.16666667,105.6463596,11.73299389,-7.317073171,3.6,29.71232995,202.7,5,0,0,61,108.5,0,32.75,4,0,7323,21254,0,6,1501.537831,4358.006971,0,1.230264507,2,0,0,0.410088169,0,0
