GEO_ID,GEO_ID2,SUMLEVEL,GEO_NAME,Geography,REGION,PRIMARY_LATITUDE,PRIMARY_LONGITUDE,TOTPOP,PCTMALES,PCTFEMALE,POPCHPCT,POPDENS,POP0_5PCT,POP85PCT,MEDAGE,POPWAPCT,POPBAPCT,POPNAPCT,POPAAPCT,POPPAPCT,POPHSPCT,POPWNPCT,TOTHU,PCTVACANT,HMOWNVAC,RENTVAC,PCTMBLHM,PCTBLT2014,PCTBLT2010_13,PCTBLT2000_09,HUMNR,PCTOWNER,PCTRENTER,MOV2017,MOV2015_2016,MOV2010_14,MOV2000_09,PCTNOVHCL,HOUSHEATFUEL,PCTNOPLBG,MEDHOMVAL,MED_MTMRG,OWNRMTHLYCST,MED_GRRNT,RENTRMTHLYCST,TOTHH,PCTHFOFMNOHS,PCTHHUNDR18,PCTHHUOVER65,AVGHHSZE,PCTMALESEPARATD,PCTMALEDIVORCD,PCTFEMALESEPARATD,PCTFEMALEDIVORCD,PCTPOP9THGRD,PCTNODIPLOMA,PCTPOPHSGRD,PCTBATCHLRS,PCTLIVESMHS,PCTLIVEDRCO,PCTLIVDFST,PCTFORBRN,PCTSPKENGNTWL,PCTLABFORCE,PCTEMPLOYED,PCTUNEMPLD,PCTLABFEMALE,PCTEMPFEMA,MEANTRAVTIM,PCTSERVOCC,PCTFRMFSHOCC,PCTAGRFRFSH,PCTSERVIND,PCTSLFEMP,PCTHHHUNDR10K,PCTHH200K,MEDHHINC,MEANHHINC,PCTRECSOC,PCTRECRET,MEANRETINC,PCTRECSSI,PUBLICASSIST,PERCPHHINC,PCTFMINPOV,PCTPOV,PCTCHLDPOV,PCT65POV,MEDDWELLAGE,MDYRSRESID,HASMORTGAGE,HSMORTGAGELON,PCTGRPQRTRS,GINIINDX,PCTCHGRNT,PCTCHGMRG,PCTCHNGHOMVAL,PCTCHGRENTER,PCTCHGUNEM,PCTCHGRAVTIM,PCTWTRCVG,NEARCTYPOP,CSTOFLIVNG,MARINANUM,NUMBOTRMPS,EPAREGFAC,CRIMINDEX,HAILRSKAVG,HURRSKAVG,TORNRSKAVG,WNDRSKAVG,POUNDS_18,VALUE_18,DEALERNUM_18,COMMPMT_18,PNDSPRPOP_18,VALUPRPOP_18,DEALERNUMPRPOP_18,COMMPRPOP_18,RECPSSRMODESH_18,RECPSSRMODECH,RECPSSRMODEPR_18,RECPSSRMODESHPOP_18,RECPSSRMODECHPOP_18,RECPSSRMODEPRPOP_18
0600000US1500190630,1500190630,60,Hilo,Hawaii County,Hawaii,19.6868952,-155.2344328,48774,49.3,50.7,14.96523276,163.5502746,5.2,3.6,40.4,18.9,0.7,0.3,32.2,10.1,10.6,16.3,19198,12,1.6,5.6,0.2,0.5,1.8,8.9,5.1,61.4,38.6,2.9,10.1,24.6,23,6.7,0.1,0.9,318700,1507,22,1016,46.3,16900,14.6,27.7,38.7,2.76,1.7,8,1.4,11.6,1.8,5.6,29.9,22.3,90.4,0.9,2,8.3,5,55.8,52.2,3.3,54,50.7,17.2,19.6,1.012900143,2.7,10.8,8.1,8.6,3.4,59725,74308,40.8,28.1,28229,8,5.5,27635,12.5,19,27.6,9.3,40,13,56.7,0.347121782,4.309673187,0.461,86.42201835,31.38622493,107.3519844,-0.129425837,-45,-3.910614525,8.413965574,209.3,5,1,1,661,93.87879,0,34.09091,4,0,210443,661727,12,95,4314.655349,13567.20794,0.246032722,1.947759052,27,1,9,0.553573625,0.020502727,0.184524542
0600000US1500190720,1500190720,60,Honokaa-Kukuihaele,Hawaii County,Hawaii,20.1072972,-155.5725782,4152,49.8,50.2,6.598202824,35.99473593,6,1.9,43.5,28.3,0.2,0,30.6,8.9,14.1,25.5,1445,18.1,3.2,1.4,0.6,0.3,1.5,11,5.1,71.2,28.8,2.7,4.6,18.8,25.8,5.2,0,1.9,358300,1636,28.9,863,36.8,1184,22.9,35.5,52.6,3.47,1,8.6,3.9,12.8,6.1,3.6,42.6,11.9,86.9,0.3,0.2,19.2,10.1,62.6,57.4,5.2,60.5,56.8,39.9,35.8,11.28307539,14,29.7,6.2,4.7,4.7,64000,76639,53.4,34.2,14664,4.4,2.2,25023,6.1,14.3,22.6,9.8,45,17,64.8,1.18623962,1.180154143,0.3917,41.70771757,55.66127498,128.5076531,-8.452173913,33.33333333,24.29906542,37.75079312,175,5,0,0,58,114.66667,0,31.66667,0,0,19454,45410,0,11,4685.452794,10936.89788,0,2.649325626,0,2,0,0,0.481695568,0
0600000US1500191170,1500191170,60,Kau,Hawaii County,Hawaii,19.2356053,-155.5438316,9473,49.9,50.1,62.57079114,10.18908955,10.9,1.6,39.3,34.6,0.8,0.3,15.8,12.6,19.7,31.2,4171,26.6,4.8,7.3,1.3,0.9,7.5,31.6,4.1,76.6,23.4,3.8,8.9,29.3,24.2,4.7,0.2,6.8,166900,1076,28.9,960,76.6,3060,12.8,32.2,38.6,3.08,1.5,10,3.6,10.9,4.5,5.1,41.8,13.1,88.8,0.2,5.6,13.5,10.4,49.1,41.9,7.2,41.4,36,35.6,22,9.836065574,20.2,7.4,14.1,21.9,1.7,36667,49057,53.2,21.2,19189,8.7,2.6,17683,29.1,34.7,47,16.8,24,11,46,0,0.380027446,0.5173,122.737819,43.65821095,92.50288351,-9.155360281,-16.27906977,-16.23529412,21.98805961,209.1,5,0,2,92,113,0,30,0,0,78783,312573,2,30,8316.583976,32996.19973,0.211126359,3.166895387,30,0,0,3.166895387,0,0
0600000US1500191350,1500191350,60,Keaau-Mountain View,Hawaii County,Hawaii,19.5585499,-155.0949534,35553,49.8,50.2,56.35939836,152.8878275,4.9,2.4,41.4,34.1,0.3,0.8,18.9,15.8,18.4,30.7,15005,16.5,1.5,2.2,0.4,0.9,1.7,28.3,4.8,75.7,24.3,3.6,9.1,22.7,35.4,3.3,0,2.7,232200,1367,30.6,1076,52.7,12532,13.8,28.7,34.4,2.83,1.7,11.6,1.8,13.9,2.6,4.9,34.1,15.4,93.1,0.6,1.5,9.1,6,50.9,48.1,2.7,50.2,48.2,29.8,21.8,2.864357864,4.8,14.1,11.3,10.4,2.1,47156,60928,37.7,19.9,23512,8.6,4,22963,14.9,20.3,25.2,11.4,26,12,57,0.179192579,0.154698619,0.4524,72.16,52.05784205,112.2486289,-12.18490311,-55.73770492,-3.246753247,14.48086002,214.9,5,0,0,132,98.26667,0,33.46667,3.2,0,276675,1055134,1,55,7782.043709,29677.77684,2.81E-02,1.54698619,6,0,0,0.16876213,0,0
0600000US1500192430,1500192430,60,North Hilo,Hawaii County,Hawaii,19.5103591,-155.5478792,1510,52.4,47.6,-12.20930233,4.708485173,3.9,4.4,53.2,35.2,0.8,2.4,40,0.5,14.4,29.5,857,31.7,3.3,11.6,0.8,0,2.5,16.1,5,80.3,19.7,5,5.6,21,31.8,4.4,0,0,307100,1840,70.3,1004,41.9,585,7.5,19.3,38.1,2.58,4,10.2,0.6,10.6,1,7,31.5,18.1,87.7,0,4.9,20.3,7.3,50.4,47.7,2.8,49.7,47.7,39.5,29.6,6.953642384,11.4,23.2,17.2,3.2,4.8,45101,67768,48.9,22.1,29564,6.5,0.7,29469,19.3,17.2,25.2,12,47,14,46.6,0,0,0.5149,39.25104022,125.4901961,178.1702899,-7.394488189,21.73913043,5.333333333,13.30479419,193,5,0,1,37,192,0,33.5,3.5,0,2031,7293,0,3,1345.033113,4829.801325,0,1.986754967,9,1,0,5.960264901,0.662251656,0
0600000US1500192520,1500192520,60,North Kohala,Hawaii County,Hawaii,20.176362,-155.8227292,6045,48.3,51.7,0.115932428,42.88150754,6.1,2.4,43.5,35.6,0.2,0,20.8,12.5,12.7,33.1,2576,21.9,1.2,6.7,0,0.7,1.9,25.2,5,68.2,31.8,5.8,5.6,26,33.8,3.9,0,1.6,422900,1788,27.1,1250,32.8,2013,13.7,31.7,37.7,2.99,0.7,9.9,2.8,12.1,2.8,2.3,37.9,20.3,86.5,1,1.9,14.7,6.8,65.5,60.1,5.3,65.2,58.7,31.9,40.7,2.017094017,6.3,35.4,16.5,3.5,5.6,73482,81133,40.7,21.5,18729,3.8,0.7,28883,10,15.5,22.4,3.5,28,12,62.2,0,0.347394541,0.3899,69.14749662,43.61445783,139.0616167,7.286705202,103.8461538,6.688963211,46.52466569,151.7,5,0,0,40,127.5,0,25.5,0,0,43153,173577,2,11,7138.626964,28714.14392,0.330851944,1.819685691,2,0,0,0.330851944,0,0
0600000US1500192610,1500192610,60,North Kona,Hawaii County,Hawaii,19.6685679,-155.9187231,43631,51.6,48.4,52.86059629,89.32153271,6.6,1.8,43.4,43.9,0.9,0.3,19.7,13.2,11.3,40.1,20447,26.3,3.3,16.8,0.2,0.8,2.8,24.1,4.6,61.8,38.2,5,15.6,32,25.9,4.9,0.1,0.4,517000,2281,32.1,1367,35.3,15073,8,27,37.8,2.84,1.7,10.6,0.7,12.4,1.9,6.3,26.6,21.8,84.5,0.7,5.1,15.7,7.8,65.3,62.9,2.2,62.6,59.6,19.9,25.7,1.008523361,1.8,19,10.9,4.2,6.9,75406,95562,39,20.5,38958,3.4,2.6,35717,7.1,9.6,11,7.1,30,8,63.6,0.30052592,1.838142605,0.4371,83.48993289,60.29515109,121.0346302,-7.896333639,-18.51851852,-2.926829268,19.55319744,165.5,5,1,6,486,104.95,0,25.2,0,0,738267,2296056,14,216,16920.69859,52624.41842,0.320872774,4.950608512,106,3220,555,2.429465288,73.80073801,12.72031354
0600000US1500192700,1500192700,60,Paauhau-Paauilo,Hawaii County,Hawaii,19.8281671,-155.4950421,2520,49.4,50.6,13.87257117,5.4249411,9.4,4.8,45.5,32.3,0,0,31.4,4,12.3,26.3,1045,20.2,6.6,0,1.3,0,2.1,14.9,5.1,74.5,25.5,2.8,3.7,30.5,21.7,3.1,0,1,347900,1611,29.4,1144,59.4,834,12.5,32.9,48,3.02,4.4,7.7,1,5.8,5.9,8.7,37.1,9.2,93.4,0,0.6,12.5,5.4,61.1,57,4,62.4,62,40.6,29,5.952380952,8.1,21.5,11.1,4.6,5.5,50645,68645,51.4,32.6,16204,5.6,0.2,24854,11.6,10.8,23.1,2.6,55,14,52,0,0,0.4394,86.01626016,65.57040082,206.7901235,11.12784091,-14.89361702,2.784810127,8.600098177,181.3,5,0,0,45,78,0,29,0,0,23826,96615,1,8,9454.761905,38339.28571,0.396825397,3.174603175,0,0,0,0,0,0
0600000US1500192790,1500192790,60,Pahoa-Kalapana,Hawaii County,Hawaii,19.427903,-155.0891095,11215,50.9,49.1,30.45248342,41.8612778,6.9,1.4,48.1,51.7,0.7,1.5,8,13.1,16.3,46.5,5755,21.9,0.1,3.3,0.3,0.7,5.3,25.5,4.8,74.3,25.7,6.4,10.9,25.1,30.9,7.8,0,5.2,203700,1286,34.8,1118,58.7,4495,13.5,20.9,41.7,2.49,3.8,15.9,0.9,14.5,1,5.7,26.7,16.1,80.3,0.7,6.5,9.3,5.9,50.2,42.5,7.7,50.2,41.7,31.8,23.3,4.507680685,4.9,8.1,17.1,14.6,2.9,40545,52819,46.1,27,25384,6.3,9.2,22681,18.3,24.3,37.3,16.9,27,10,43,0.149790294,0.169415961,0.4861,83.88157895,75.68306011,136.3109049,-19.21745711,-18.08510638,0.952380952,29.47387301,226.6,5,0,1,76,107.16667,0,32.5,2.666667,0,108801,396036,0,25,9701.382078,35313.06286,0,2.229157379,6,0,0,0.534997771,0,0
0600000US1500192880,1500192880,60,Papaikou-Wailea,Hawaii County,Hawaii,19.8307533,-155.1516688,4162,46.9,53.1,-16.10562387,42.87878021,5.4,5.6,52.6,27.7,0.2,0.2,35.1,8.3,12.3,24,2174,24.9,0.5,7.4,1.1,0.7,0.3,10,5,71.4,28.6,1.7,8,26,18.1,5.6,0,2.8,266700,1652,37,722,31.2,1632,13.2,20.1,48.9,2.54,2.2,10,1,8.3,2.3,6.9,34.3,18.6,93.8,1.7,1,18.9,8.9,51.4,50,1.5,51.3,49.8,31.1,25,1.435956347,5.1,13.6,8.7,8.3,2.9,52719,70761,45.2,25.2,25414,10,4.5,28978,14.6,21.7,39,16.6,45,16,44.7,0,0.552618933,0.4946,47.95081967,72.08333333,98.14264487,4.090020367,-63.41463415,24.4,29.71223063,202.7,5,0,0,61,108.5,0,32.75,4,0,5017,13885,0,6,1205.430082,3336.136473,0,1.441614608,0,0,0,0,0,0
