V1,V2,V3
-160.5,22.5,-4501
-160.483286908078,22.5,-4504
-160.466573816156,22.5,-4505
-160.449860724234,22.5,-4534
-160.433147632312,22.5,-4513
-160.41643454039,22.5,-4520
-160.399721448468,22.5,-4519
-160.383008356546,22.5,-4522
-160.366295264624,22.5,-4520
-160.349582172702,22.5,-4520
-160.33286908078,22.5,-4510
-160.316155988858,22.5,-4510
-160.299442896936,22.5,-4534
-160.282729805014,22.5,-4534
-160.266016713092,22.5,-4495
-160.24930362117,22.5,-4495
-160.232590529248,22.5,-4489
-160.215877437326,22.5,-4484
-160.199164345404,22.5,-4478
-160.182451253482,22.5,-4470
-160.16573816156,22.5,-4467
-160.149025069638,22.5,-4477
-160.132311977716,22.5,-4486
-160.115598885794,22.5,-4501
-160.098885793872,22.5,-4501
-160.08217270195,22.5,-4506
-160.065459610028,22.5,-4506
-160.048746518106,22.5,-4494
-160.032033426184,22.5,-4494
-160.015320334262,22.5,-4429
-159.99860724234,22.5,-4429
-159.981894150418,22.5,-4446
-159.965181058496,22.5,-4357
-159.948467966574,22.5,-4306
-159.931754874652,22.5,-4252
-159.91504178273,22.5,-4208
-159.898328690808,22.5,-4166
-159.881615598886,22.5,-4129
-159.864902506964,22.5,-4054
-159.848189415042,22.5,-4054
-159.83147632312,22.5,-3989
-159.814763231198,22.5,-3989
-159.798050139276,22.5,-3925
-159.781337047354,22.5,-3925
-159.764623955432,22.5,-3864
-159.74791086351,22.5,-3864
-159.731197771588,22.5,-3834
-159.714484679666,22.5,-3797
-159.697771587744,22.5,-3736
-159.681058495822,22.5,-3672
-159.6643454039,22.5,-3576
-159.647632311978,22.5,-3482
-159.630919220056,22.5,-3401
-159.614206128134,22.5,-3367
-159.597493036212,22.5,-3367
-159.58077994429,22.5,-3472
-159.564066852368,22.5,-3472
-159.547353760446,22.5,-3339
-159.530640668524,22.5,-3339
-159.513927576602,22.5,-2970
-159.49721448468,22.5,-2970
-159.480501392758,22.5,-2931
-159.463788300836,22.5,-2779
-159.447075208914,22.5,-2540
-159.430362116992,22.5,-2614
-159.41364902507,22.5,-2635
-159.396935933148,22.5,-2691
-159.380222841226,22.5,-2799
-159.363509749304,22.5,-2879
-159.346796657382,22.5,-2879
-159.33008356546,22.5,-3292
-159.313370473538,22.5,-3292
-159.296657381616,22.5,-3363
-159.279944289694,22.5,-3363
-159.263231197772,22.5,-3407
-159.24651810585,22.5,-3407
-159.229805013928,22.5,-3420
-159.213091922006,22.5,-3400
-159.196378830084,22.5,-3396
-159.179665738162,22.5,-3431
-159.16295264624,22.5,-3459
-159.146239554318,22.5,-3485
-159.129526462396,22.5,-3513
-159.112813370474,22.5,-3571
-159.096100278552,22.5,-3571
-159.07938718663,22.5,-3628
-159.062674094708,22.5,-3628
-159.045961002786,22.5,-3688
-159.029247910864,22.5,-3688
-159.012534818942,22.5,-3850
-158.995821727019,22.5,-3850
-158.979108635098,22.5,-3910
-158.962395543175,22.5,-3871
-158.945682451253,22.5,-3889
-158.928969359331,22.5,-3926
-158.912256267409,22.5,-3965
-158.895543175487,22.5,-4006
-158.878830083565,22.5,-4051
-158.862116991643,22.5,-4162
-158.845403899721,22.5,-4162
-158.828690807799,22.5,-4278
-158.811977715877,22.5,-4278
-158.795264623955,22.5,-4372
-158.778551532033,22.5,-4372
-158.761838440111,22.5,-4473
-158.745125348189,22.5,-4473
-158.728412256267,22.5,-4563
-158.711699164345,22.5,-4639
-158.694986072423,22.5,-4663
-158.678272980501,22.5,-4669
-158.661559888579,22.5,-4686
-158.644846796657,22.5,-4669
-158.628133704735,22.5,-4700
-158.611420612813,22.5,-4840
-158.594707520891,22.5,-4840
-158.577994428969,22.5,-4894
-158.561281337047,22.5,-4894
-158.544568245125,22.5,-4883
-158.527855153203,22.5,-4883
-158.511142061281,22.5,-4894
-158.494428969359,22.5,-4894
-158.477715877437,22.5,-4911
-158.461002785515,22.5,-4928
-158.444289693593,22.5,-4931
-158.427576601671,22.5,-4922
-158.410863509749,22.5,-4910
-158.394150417827,22.5,-4913
-158.377437325905,22.5,-4913
-158.360724233983,22.5,-4915
-158.344011142061,22.5,-4915
-158.327298050139,22.5,-4914
-158.310584958217,22.5,-4914
-158.293871866295,22.5,-4867
-158.277158774373,22.5,-4867
-158.260445682451,22.5,-4833
-158.243732590529,22.5,-4833
-158.227019498607,22.5,-4828
-158.210306406685,22.5,-4823
-158.193593314763,22.5,-4820
-158.176880222841,22.5,-4818
-158.160167130919,22.5,-4815
-158.143454038997,22.5,-4814
-158.126740947075,22.5,-4813
-158.110027855153,22.5,-4811
-158.093314763231,22.5,-4811
-158.076601671309,22.5,-4821
-158.059888579387,22.5,-4821
-158.043175487465,22.5,-4822
-158.026462395543,22.5,-4822
-158.009749303621,22.5,-4824
-157.993036211699,22.5,-4824
-157.976323119777,22.5,-4858
-157.959610027855,22.5,-4863
-157.942896935933,22.5,-4860
-157.926183844011,22.5,-4860
-157.909470752089,22.5,-4864
-157.892757660167,22.5,-4865
-157.876044568245,22.5,-4867
-157.859331476323,22.5,-4864
-157.842618384401,22.5,-4864
-157.825905292479,22.5,-4863
-157.809192200557,22.5,-4863
-157.792479108635,22.5,-4861
-157.775766016713,22.5,-4861
-157.759052924791,22.5,-4857
-157.742339832869,22.5,-4857
-157.725626740947,22.5,-4853
-157.708913649025,22.5,-4848
-157.692200557103,22.5,-4844
-157.675487465181,22.5,-4839
-157.658774373259,22.5,-4835
-157.642061281337,22.5,-4830
-157.625348189415,22.5,-4826
-157.608635097493,22.5,-4814
-157.591922005571,22.5,-4814
-157.575208913649,22.5,-4801
-157.558495821727,22.5,-4801
-157.541782729805,22.5,-4792
-157.525069637883,22.5,-4792
-157.508356545961,22.5,-4786
-157.491643454039,22.5,-4786
-157.474930362117,22.5,-4783
-157.458217270195,22.5,-4780
-157.441504178273,22.5,-4779
-157.424791086351,22.5,-4783
-157.408077994429,22.5,-4787
-157.391364902507,22.5,-4784
-157.374651810585,22.5,-4779
-157.357938718663,22.5,-4761
-157.341225626741,22.5,-4761
-157.324512534819,22.5,-4751
-157.307799442897,22.5,-4751
-157.291086350975,22.5,-4751
-157.274373259053,22.5,-4751
-157.257660167131,22.5,-4744
-157.240947075209,22.5,-4744
-157.224233983287,22.5,-4730
-157.207520891365,22.5,-4713
-157.190807799443,22.5,-4705
-157.174094707521,22.5,-4693
-157.157381615599,22.5,-4689
-157.140668523677,22.5,-4685
-157.123955431755,22.5,-4649
-157.107242339833,22.5,-4646
-157.090529247911,22.5,-4646
-157.073816155989,22.5,-4661
-157.057103064067,22.5,-4661
-157.040389972145,22.5,-4598
-157.023676880223,22.5,-4598
-157.006963788301,22.5,-4558
-156.990250696379,22.5,-4558
-156.973537604457,22.5,-4625
-156.956824512535,22.5,-4590
-156.940111420613,22.5,-4605
-156.923398328691,22.5,-4564
-156.906685236769,22.5,-4526
-156.889972144847,22.5,-4599
-156.873259052925,22.5,-4667
-156.856545961003,22.5,-4653
-156.839832869081,22.5,-4653
-156.823119777159,22.5,-4681
-156.806406685237,22.5,-4681
-156.789693593315,22.5,-4616
-156.772980501393,22.5,-4616
-156.756267409471,22.5,-4652
-156.739554317549,22.5,-4652
-156.722841225627,22.5,-4659
-156.706128133705,22.5,-4655
-156.689415041783,22.5,-4649
-156.672701949861,22.5,-4641
-156.655988857939,22.5,-4637
-156.639275766017,22.5,-4634
-156.622562674095,22.5,-4628
-156.605849582173,22.5,-4616
-156.589136490251,22.5,-4616
-156.572423398329,22.5,-4605
-156.555710306407,22.5,-4605
-156.538997214485,22.5,-4585
-156.522284122563,22.5,-4585
-156.505571030641,22.5,-4569
-156.488857938719,22.5,-4569
-156.472144846797,22.5,-4565
-156.455431754875,22.5,-4556
-156.438718662953,22.5,-4546
-156.422005571031,22.5,-4544
-156.405292479109,22.5,-4547
-156.388579387187,22.5,-4552
-156.371866295265,22.5,-4556
-156.355153203343,22.5,-4551
-156.338440111421,22.5,-4551
-156.321727019499,22.5,-4548
-156.305013927577,22.5,-4548
-156.288300835655,22.5,-4536
-156.271587743733,22.5,-4536
-156.254874651811,22.5,-4522
-156.238161559889,22.5,-4522
-156.221448467967,22.5,-4524
-156.204735376045,22.5,-4525
-156.188022284123,22.5,-4524
-156.171309192201,22.5,-4522
-156.154596100279,22.5,-4514
-156.137883008357,22.5,-4507
-156.121169916435,22.5,-4506
-156.104456824513,22.5,-4507
-156.087743732591,22.5,-4507
-156.071030640669,22.5,-4498
-156.054317548747,22.5,-4498
-156.037604456825,22.5,-4498
-156.020891364902,22.5,-4498
-156.004178272981,22.5,-4493
-155.987465181058,22.5,-4493
-155.970752089136,22.5,-4483
-155.954038997214,22.5,-4477
-155.937325905292,22.5,-4474
-155.92061281337,22.5,-4473
-155.903899721448,22.5,-4473
-155.887186629526,22.5,-4468
-155.870473537604,22.5,-4464
-155.853760445682,22.5,-4459
-155.83704735376,22.5,-4459
-155.820334261838,22.5,-4452
-155.803621169916,22.5,-4452
-155.786908077994,22.5,-4454
-155.770194986072,22.5,-4454
-155.75348189415,22.5,-4443
-155.736768802228,22.5,-4443
-155.720055710306,22.5,-4436
-155.703342618384,22.5,-4433
-155.686629526462,22.5,-4430
-155.66991643454,22.5,-4430
-155.653203342618,22.5,-4425
-155.636490250696,22.5,-4420
-155.619777158774,22.5,-4418
-155.603064066852,22.5,-4409
-155.58635097493,22.5,-4409
-155.569637883008,22.5,-4403
-155.552924791086,22.5,-4403
-155.536211699164,22.5,-4410
-155.519498607242,22.5,-4410
-155.50278551532,22.5,-4416
-155.486072423398,22.5,-4416
-155.469359331476,22.5,-4415
-155.452646239554,22.5,-4409
-155.435933147632,22.5,-4402
-155.41922005571,22.5,-4400
-155.402506963788,22.5,-4401
-155.385793871866,22.5,-4409
-155.369080779944,22.5,-4417
-155.352367688022,22.5,-4419
-155.3356545961,22.5,-4419
-155.318941504178,22.5,-4433
-155.302228412256,22.5,-4433
-155.285515320334,22.5,-4431
-155.268802228412,22.5,-4431
-155.25208913649,22.5,-4423
-155.235376044568,22.5,-4423
-155.218662952646,22.5,-4415
-155.201949860724,22.5,-4411
-155.185236768802,22.5,-4422
-155.16852367688,22.5,-4436
-155.151810584958,22.5,-4425
-155.135097493036,22.5,-4412
-155.118384401114,22.5,-4411
-155.101671309192,22.5,-4439
-155.08495821727,22.5,-4439
-155.068245125348,22.5,-4511
-155.051532033426,22.5,-4511
-155.034818941504,22.5,-4569
-155.018105849582,22.5,-4569
-155.00139275766,22.5,-4577
-154.984679665738,22.5,-4577
-154.967966573816,22.5,-4577
-154.951253481894,22.5,-4566
-154.934540389972,22.5,-4561
-154.91782729805,22.5,-4554
-154.901114206128,22.5,-4541
-154.884401114206,22.5,-4522
-154.867688022284,22.5,-4500
-154.850974930362,22.5,-4495
-154.83426183844,22.5,-4495
