"GDPDEF","Year"
12.2575,1947
12.9455,1948
12.92575,1949
13.079,1950
14.013,1951
14.255,1952
14.4295,1953
14.56225,1954
14.807,1955
15.3125,1956
15.82125,1957
16.1795,1958
16.4025,1959
16.62725,1960
16.803,1961
17.00825,1962
17.20275,1963
17.4655,1964
17.78375,1965
18.28275,1966
18.81325,1967
19.613,1968
20.577,1969
21.66325,1970
22.75975,1971
23.74125,1972
25.0445,1973
27.30475,1974
29.8215,1975
31.4675,1976
33.4185,1977
35.76175,1978
38.7415,1979
42.247,1980
46.244,1981
49.1005,1982
51.012,1983
52.85775,1984
54.5315,1985
55.6325,1986
57.00375,1987
59.01325,1988
61.33125,1989
63.6315,1990
65.7795,1991
67.27675,1992
68.87275,1993
70.3425,1994
71.81975,1995
73.133,1996
74.39475,1997
75.23225,1998
76.29125,1999
78.02075,2000
79.782,2001
81.02425,2002
82.61875,2003
84.8365,2004
87.4985,2005
90.201,2006
92.638,2007
94.4225,2008
95.02275,2009
96.1615,2010
98.161,2011
99.9985,2012
101.7475,2013
103.6485,2014
104.6895,2015
105.73675,2016
107.74175,2017
110.31675,2018
112.29025,2019
113.633,2020
118.342,2021
